#CODE;ENGLISH;x

EVT_TITLE_LT_60001;A Town is Born;x
EVT_TITLE_LT_60101;[target_wonder.GetName];x
EVT_TITLE_LT_60201;Fountain of Youth;x
EVT_TITLE_LT_60301;Evening at the Tavern;x
EVT_TITLE_LT_60302;Another!;x
EVT_TITLE_LT_60401;Deadly Traps;x
EVT_TITLE_LT_60601;Crumbling Masterwork;x
EVT_TITLE_LT_60701;Herbs in the [target_province.GetName];x

EVTDESC_LT_60001;The [target_wonder.GetName] has become a center for travelers and commerce, and some people have decided to settle close to the [target_wonder.GetWonderAdj] construction. The latest reports mention children, dogs, and cattle — they are obviously putting down deep roots.;x
EVTDESC_LT_60101;My scribes have been frequenting the [target_wonder.GetName] during their toil to finish my book. As they present me with a new extract it is clear that it has been a great help – the quality of the text is beyond reproach!;x
EVTDESC_LT_60201_1;I kneel beside a fountain in the [target_wonder.GetName] and lower a cup into the water. As I drink deeply a tingling sensation spreads in my whole body, and I am left with energy and vigor I haven't felt in years!;x
EVTDESC_LT_60201_2;I jump into the [target_wonder.GetName], laughing with glee, and I am soon choking on the life-giving water as I swallow mouthful after mouthful. As I drag myself up onto the ledge with shaking arms I soon stop smiling...;x
EVTDESC_LT_60301;Warm light, accompanied by the lively murmur of conversation, spills out of the tavern close to the [target_wonder.GetName] as [drinking_buddy.GetTitledName] and I walk past.\n\n"What do you say about a cup of something soothing?";x
EVTDESC_LT_60302;After my initial visit to the tavern close to the [target_wonder.GetName] I have not been able to keep away. More often than not I find myself seeking the comfort of a big cup of [Root.GetAlcohol] after a long day.;x
EVTDESC_LT_60401;While exploring the depths of the [target_wonder.GetName], both [target_courtier.GetTitledName] and [target_courtier_2.GetTitledName] were caught in one of the deadly traps spread within the structure. What we recovered was barely enough to recognize them by...;x
EVTDESC_LT_60402;Word has reached me that the traps I installed in the depths of the [target_wonder.GetName] have claimed [target_courtier.GetTitledName] and [target_courtier_2.GetTitledName] as victims! Apparently they were both mangled almost past recognition.;x
EVTDESC_LT_60501;[target_vassal.GetTitledName], I want to express my admiration and satisfaction in your handling of the [target_wonder.GetName]!\n\nSincerely,\n[target_liege.GetBestName];x
EVTDESC_LT_60502;My liege, the [target_wonder.GetName] is bringing prosperity and fame to the area, and I am grateful that you entrusted such a magnificent structure to my province.\n\nSincerely,\n[target_vassal.GetBestName];x
EVTDESC_LT_60601;A piece of the [target_wonder.GetName] has fallen off – almost hitting a bystander in the head! Certain areas of the magnificent structure seem to be in dire need of upkeep.;x
EVTDESC_LT_60701;The soothing sounds of the [target_wonder.GetName] embrace me as I walk through the greenery. Reportedly some local herbs have sprouted in the garden, but a secluded patch of grass present an alternative end to this excursion.;x

EVTOPTA_LT_60001;They are welcome to stay in [target_province.GetName]!;x
EVTOPTA_LT_60101;My scribes will shine with this [target_wonder.GetWonderAdj] construction's help!;x
EVTOPTA_LT_60201;The years fall off me as I drink.;x
EVTOPTA_LT_60301;Lead the way!;x
EVTOPTA_LT_60301_TT;There might be consequences to this;x
EVTOPTA_LT_60302;Pour me another one!;x
EVTOPTA_LT_60401;Curse you, [old_owner.GetFirstName]!;x
EVTOPTA_LT_60402;Hah! That's what you get!;x
EVTOPTA_LT_60501;It's all due to your guidance, my liege.;x
EVTOPTA_LT_60502;I am glad!;x
EVTOPTA_LT_60601;Repairs will be started at once!;x
EVTOPTA_LT_60701;I will get the herbs.;x
EVTOPTA_TT_LT_60101;You encourage your scribes to use the [target_wonder.GetName], guaranteeing a better quality of work;x

EVTOPTB_LT_60001;Drive out the rabble and confiscate their possessions!;x
EVTOPTB_LT_60201;I've never felt this old before!;x
EVTOPTB_LT_60301;I am more interested in continuing our discussion.;x
EVTOPTB_LT_60501;I have done good, haven't I!;x
EVTOPTB_LT_60601;Hm, I bet these pieces would fetch a decent price...;x
EVTOPTB_LT_60701;A restful nap is exactly what I need!;x
