obj_amass_wealth_desc;[This.GetTitledFirstName] wants to amass a substantial amount of wealth;x
obj_amass_wealth_title;Amass Wealth;x
obj_become_chancellor_desc;[This.GetTitledFirstName] would like to treat with foreign dignitaries in the court of [This.GetPossPronoun] liege.;x
obj_become_chancellor_title;Become [This.GetChancellorName];x
obj_become_council_member_desc;[This.GetTitledFirstName] would like a seat on the [This.Liege.GetCouncilName] of [This.GetHerHis] liege.;x
obj_become_council_member_title;Become a Councillor;x
obj_become_exalted_desc;[This.GetTitledFirstName] wants [This.GetHerHis] name to live forever in the annals of history.;x
obj_become_exalted_title;Become Exalted among Men;x
obj_become_heir_desc;With the current heir being ill fit to rule, [This.GetTitledFirstName] thinks [This.GetSubjectPronoun] should be the prime candidate in line.;x
obj_become_heir_title;Become Heir;x
obj_become_king_desc;[This.GetTitledFirstName] wants to become [Root.GetKingQueen] of [This.Capital.Kingdom.GetName]. If pagan, with succession laws set to Elective Gavelkind, it allows [This.GetObjectPronoun] the unlimited use of the Subjugation Casus Belli within the kingdom. If the Fabricate Claims councilor mission is available, it may acquire a claim on [This.Capital.Kingdom.GetName] with this ambition. There is also a reduced cost for creating the [This.Capital.Kingdom.GetTier] if it does not yet exist.;x
obj_become_king_title;Become [Root.GetKingQueen] of [This.Capital.Kingdom.GetName];x
obj_become_marshal_desc;[This.GetTitledFirstName] dreams of leading troops in the service of [This.GetPossPronoun] liege.;x
obj_become_marshal_title;Become [This.GetMarshalName];x
obj_become_paragon_of_enlightenment_desc;[This.GetTitledFirstName] strives to improve [This.GetHerHis] [This.Religion.GetPietyName] and become enlightened, an inspiration to all of [This.GetHerHis] faith.;x
obj_become_paragon_of_enlightenment_title;Become Paragon of Enlightenment;x
obj_become_paragon_of_virtue_desc;[This.GetTitledFirstName] strives to become a beacon of chivalry and honor - a paragon of virtue.;x
obj_become_paragon_of_virtue_title;Become Paragon of Virtue;x
obj_become_spiritual_desc;[This.GetTitledFirstName] would like to advise [This.GetPossPronoun] liege in spiritual matters.;x
obj_become_spiritual_title;Become [This.GetLordSpiritualName];x
obj_become_spymaster_desc;[This.GetTitledFirstName] loves intrigue and would like to put [This.GetPossPronoun] skills to formal use.;x
obj_become_spymaster_title;Become [This.GetSpymasterName];x
obj_become_treasurer_desc;[This.GetTitledFirstName] thinks [This.GetSubjectPronoun] would make a great [This.GetTreasurerName].;x
obj_become_treasurer_title;Become [This.GetTreasurerName];x
obj_buddhist_abstain_sexual_excess_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to abstain from excesses of the flesh.;x
obj_buddhist_abstain_sexual_excess_title;Learn to Abstain from Excesses of the Flesh;x
obj_buddhist_defeat_fear_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to defeat [This.GetHerHis] fear of the world and of the designs of others.;x
obj_buddhist_defeat_fear_title;Defeat Fear;x
obj_buddhist_reject_cruelty_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to reject cruelty.;x
obj_buddhist_reject_cruelty_title;Reject Cruelty;x
obj_buddhist_reject_empty_pleasures_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to reject emply pleasures.;x
obj_buddhist_reject_empty_pleasures_title;Learn to Reject Empty Pleasures;x
obj_buddhist_reject_envy_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to reject the poison that envy brings to the mind.;x
obj_buddhist_reject_envy_title;Learn to Reject Envy;x
obj_buddhist_reject_greed_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to reject the poison that greed brings to the mind.;x
obj_buddhist_reject_greed_title;Learn to Reject the Poison of Greed;x
obj_buddhist_reject_hate_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to reject the poison that hate and anger brings to the mind.;x
obj_buddhist_reject_hate_title;Learn to Reject Hate;x
obj_buddhist_reject_pride_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to reject pride.;x
obj_buddhist_reject_pride_title;Learn to Reject Pride;x
obj_buddhist_stop_drinking_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to abandon [This.GetHerHis] harmful drinking habits.;x
obj_buddhist_stop_drinking_title;Stop Drinking;x
obj_buddhist_temperance_food_desc;[This.GetTitledFirstName], as a devoted [buddhist.GetName], is trying to learn to eat without excess.;x
obj_buddhist_temperance_food_title;Learn Temperance with Food;x
obj_build_a_war_chest_desc;[This.GetTitledFirstName] wants to build a war chest and prepare [This.GetHerHis] realm for war!;x
obj_build_a_war_chest_title;Build a War Chest;x
