#CODE;ENGLISH;x

EVTDESC_ADV_3_A;To the respectable [Root.GetTitledFirstName],\nMy [Root.GetLordLady], you are a [Root.GetManWoman] blessed with prosperous lands and a beautiful family! It would honor me greatly to take care of either the county of [selling_province.GetName] or your [marriage_child.GetDaughterSon], [marriage_child.GetTitledFirstName]. This would ensure a lasting peace between us.\n\nSigned,\n[raiding_adventurer.GetTitledName];x
EVTDESC_ADV_3_B;To the respectable [Root.GetTitledFirstName],\nMy [Root.GetLordLady], your prosperous lands mark you as a [Root.GetTitle] of impressive abilities. I have an offer for you which would ensure a lasting peace between us. Let me rule the county of [selling_province.GetName] in your name, and no one shall dare to touch it again.\n\nSigned,\n[raiding_adventurer.GetTitledName];x
EVTDESC_ADV_3_C;To the respectable [Root.GetTitledFirstName],\nMy [Root.GetLordLady], you are a [Root.GetManWoman] blessed with a beautiful family! It would honor me greatly to take care of your [marriage_child.GetDaughterSon], [marriage_child.GetTitledFirstName]. This would ensure a lasting peace between us.\n\nSigned,\n[raiding_adventurer.GetTitledName];x
EVTOPTA_ADV_3;[selling_province.GetName] is a fine county, indeed. It can be yours for the right price.;x
EVTOPTA_ADV_3_TT;Offer your county §Y[selling_province.GetName]§! to the adventurer §Y[raiding_adventurer.GetTitledFirstName]§! for the price of §G[local_price.GetValue]§!¤. If [raiding_adventurer.GetSheHe] accepts, [raiding_adventurer.GetSheHe] will become your vassal and you will be protected from raiding adventurers for 10 years.\n;x
EVTOPTB_ADV_3_TT;Offer the county §Y[selling_province.GetName]§!, which is ruled by your vassal §Y[selling_province.Holder.GetTitledFirstName]§!, to the adventurer §Y[raiding_adventurer.GetTitledFirstName]§! for the price of §G[local_price.GetValue]§!¤. If [raiding_adventurer.GetSheHe] accepts, [raiding_adventurer.GetSheHe] will become your vassal and you will be protected from raiding adventurers for 10 years.\n\nHowever, your remaining vassals will be displeased, resulting in the following effect:\n;x
EVTOPTC_ADV_3;[marriage_child.GetFirstName] will make you an excellent [marriage_child.GetHusbandWife].;x
EVTOPTC_ADV_3_TT;Through the marriage, you form a non-aggression pact with §Y[raiding_adventurer.GetTitledFirstName]§!.;x
EVTOPTA_ADV_5_tooltip;All other vassals opinion of §Y[Root.GetTitledFirstName]§! changes by §R-15§! for §Y5§! years. §Y(Sold Vassal County)§!\n;x

EVTDESC_ADV_4;To the wise and noble [Root.GetTitledFirstName],\nI would be a fool not to accept such a generous offer. I will proudly serve as your vassal, and [selling_province.GetName] shall prosper in my care. This I swear!\n\nSigned,\n[From.GetTitledName];x
EVTDESC_ADV_5;To the clever [Root.GetTitledFirstName],\nI have considered your offer together with my closest advisors, and I am afraid to say I am not entirely pleased with the terms. [selling_province.GetName] is a fine county, but not worth the price you demand. May I suggest a more reasonable sum of [local_province_offer.GetValue] gold pieces?\n\nSigned,\n[From.GetTitledName];x
EVTDESC_ADV_5_B;To the clever [Root.GetTitledFirstName],\nI have considered your offer together with my closest advisors, and I am afraid to say I cannot accept these terms. [selling_province.GetName] is a fine county, but I think you will agree that the benefits of granting it to me peacefully far outweigh the sum of gold you request.\n\nSigned,\n[From.GetTitledName];x
EVTDESC_ADV_21;To my new liege, [Root.GetTitledNameWithNick],\n\nBlessings upon your house! I have decided to convert to the [Root.Religion.GetName] faith so that I may rule my new subjects as wisely as you rule yours.\n\nSigned,\n[From.GetTitledName];x

EVTOPTA_ADV_4;I am glad we managed to solve this peacefully.;x
EVTOPTA_ADV_5;If it will ensure peace, I must agree.;x

EVTOPTD_ADV_3;A threat dressed up in compliments is still a threat, [GetEventTarget1Insult]!;x
EVTOPTD_ADV_3_TT;Refuse to make a deal with the adventurer §Y[raiding_adventurer.GetTitledFirstName]§!.\n;x
EVTOPTD_ADV_5;Outrageous! We will meet again on the battlefield!;x

EVTOPTE_ADV_3;What? Absolutely not!;x
EVTOPTE_ADV_3_TT;§Y[raiding_adventurer.GetFullName]§! continues Raiding;x
EVTOPTE_ADV_5;An insulting proposition - no deal!;x

EVTTITLE_ADV_4;Sale of Province;x
