#CODE;ENGLISH;x

EVTDESC94000;The art of leading men into battle has always fascinated you. To study this critical science, you have ordered the construction of a miniature army in wood. Dear [Root.Spouse.GetFirstName] scoffs at you for playing with "toys," but truly, what do womenfolk know of war?;x
EVTDESC94001;You have learned of other enthusiasts in [Root.Location.GetName] who share your interest in miniature armies and pitting them against each other in glorious battle. They will soon be holding a tournament to establish once and for all who the greatest general is. Perhaps you should grace them with your presence?;x
EVTDESC94002;You make your way to the small hovel where the gaming enthusiasts have gathered. Your bodyguards kick open the shack's ramshackle door and announce your presence to the bewildered peasant teenagers inside. They are already sitting around a table, in the midst of a battle with their own painted little armies.;x
EVTDESC94003;As your armored guards stand at silent attention along the walls of the hut, you do battle with your wooden army. The dice do not roll your way, but at least you have gained several valuable tactical insights. With his miniature cavalry surrounding the last of your army, one of the trembling teenagers asks in a meek voice:\n "D-do you y-yield, m'lord?";x
EVTDESC94004;As your armored guards stand at silent attention along the walls of the hut, you do battle with your wooden army. The dice roll your way and soon your army is the last to remain standing on the table. The frightened striplings watch in silence as you gather up your wooden soldiers and turn to leave with your bodyguard.;x
EVTDESC94005;As you make your way home late one night escorted by your bodyguard, you run into several drunken peasants having a fistfight in the middle of the street. Your guards attempt to steer you away, but you have an idea. Would this not be a perfect sparring opportunity in which to improve your martial ability?;x
EVTDESC94006;After ordering your guards back, you join the wild melee. You get several blows in before the ruffians react to your presence, but things go poorly when you fight one of them on even terms. Soon you lie bruised in the mud, with the taste of blood in your mouth. Your smiling opponent offers his hand to help you up.;x
EVTDESC94007;After ordering your guards back, you join the wild melee. As the ruffians become aware of your presence they gang up on you, but you are still able to hold your own. You dodge their blows and land several of your own. Soon the peasants are lying unconscious at your feet in the mud.;x
EVTDESC94010;It is rumored that a great warrior from the distant east is currently passing through [Root.Location.GetName]. He is said to have taken part in a hundred battles or more, and his legendary fighting skills are supposedly without peer. Perhaps he could be persuaded to pass on some of his knowledge to you...;x
EVTDESC94011;After a long search you find the fabled warrior you had been looking for at a local inn. Reeking of spirits, the old man is soundly asleep under a table. His sword is of an unfamiliar make and the man's appearance certainly betrays his eastern origins, but could this really be the legendary fighter you seek? The innkeeper will not let him leave until someone pays his bill.;x
EVTDESC94012;As the old man struggles to recover from his hangover, you explain, in a quiet voice, your quest to improve your martial ability. You ask if he would teach you. He breaks into laughter and winces from the headache this produces. Then it dawns on him that you aren't joking. "Very well, [Root.GetFirstName]-san. I promise teach, you promise learn. I say, you do, no questions.";x
EVTDESC94013;The old warrior from the east has settled down in your castle, and your training is proceeding well. One day as you walk into his room, you see the man trying to catch a fly with the pair of small wooden sticks he insists on using whenever he eats. You inquire why, and he explains: "Man who catch fly with chopstick accomplish anything.";x
EVTDESC94014;You take a boat trip with your old warrior teacher on a nearby lake. As he fishes, you stand up in the boat and practise the moves he has taught you. "When am I going to learn how to punch?" you ask. The man rocks the boat and you lose your footing, falling into the water. You resurface to his roaring laughter. "Learn how punch, after you learn how keep dry! You all wet behind ear!";x
EVTDESC94015;As dusk falls after an intense day of sparring, you watch the setting sun from the castle ramparts together with your warrior mentor. "I teach you many things, [Root.GetFirstName]-san," your mentor says, "but most important lesson in fight... is no get hit." The next morning, your training concluded, the old warrior has departed your castle. No one saw him leave.;x
EVTDESC94016;You have decided to join your personal guard in their daily training regimen at dawn. Things were a bit stiff at first, but when they realized you wouldn't have them beheaded for scoring hits on you with their wooden practise swords, they taught you many valuable lessons. Your martial skill has improved.;x
EVTDESC94017;You have been studying the art of mounted combat under the tutelage of a skilled local horseman. The bruises you have incurred from falling off your horse will heal in time and they are a small price to pay for your increased horsemanship.;x
EVTDESC94018;History is a subject that has always fascinated you, and you have spent the last few weeks studying the campaigns of Alexander the Great. There are many lessons to be learned from his conquests in the east.;x
EVTDESC94018_india;History is a subject that has always fascinated you, and you have spent the last few weeks studying the campaigns of Ashoka the Great. There are many lessons to be learned from his conquests.;x
EVTDESC_94019;After many months studying the campaigns of Alexander the Great you have acquired many fascinating insights and gained new wisdom in military matters. You realize that the Art of War might be well worth studying.;x
EVTDESC_94019_india;After spending many months studying the campaigns of Ashoka the Great you have gained some fascinating insights and acquired new wisdom in military matters. You realize that the Art of War might be well worth studying.;x
EVTDESC94050;As you travel by carriage on a road in [Root.Location.GetName], you pass by what appears to be an old shuttered inn. The sight of it fills you with questions. What forced them to close down? Could you do a better job than the previous owners? Perhaps this would be a golden opportunity to improve your stewardship...;x
EVTDESC94051;The vagrants in your new inn have been evicted, the holes in the roof have been patched and the whole building has been thoroughly aired out to cleanse it of the most offensive odors. New staff has been hired, and the time has come for you to decide on a name for your inn.;x
EVTDESC94052;Things are very busy at your new inn, with everyone preparing for the grand opening night. Guests will be able to sample turnips for free, but if you added a generous amount of salt to them, people might become more thirsty and mead sales would increase...;x
EVTDESC94053;Your inn will soon open to the public, but one last detail demands your attention before the opening night. Some form of act or spectable will need to be booked to keep the guests around. After scouring the lands for what passes for entertainment, you conclude that the following options are available to you:;x
EVTDESC94054;Probably not your brightest idea, but you invite the clergyman to speak at the grand opening of your inn. He conducted a sermon on the importance of leading a righteous and temperate life. The sermon lasted for some time, until the clergyman was too drunk to remain coherent... or stand upright.;x
EVTDESC94055;The bard you hired for your inn's opening night was from far away and spoke a peculiar language, yet despite this there was a strangely compelling elegance and rythm to his poetry and song. At least people seemed to think so. Sales were good, so you see no reason to complain.;x
EVTDESC94056;The eunuch's castrato singing was quite unlike anything you had heard before, but unfortunately a large fight errupted near the stage as people crowded around it to see where the shrill wailing was coming from. Your ears are still ringing from the singer's high-pitched shrieks when the fighting spilled onto the stage...;x
EVTDESC94057;The wild ass sat on the grand stage of your inn for the better part of an hour, and although it relieved itself twice on the wooden floor, no speech or poetry was forthcoming. To your horror, the agitated animal then ran amok amongst the audience, resulting in fleeing customers and four broken tables.;x
EVTDESC94058;Well, that was a disaster. The people who sampled your turnips suffered violent bouts of illness, and the rest cleared out in short order after the first guests hurled their stomach contents on your floor.;x
EVTDESC94059;The salt trick actually seems to have worked! Who would have thought? The thirst of your guests seemed unquenchable and mead sales exceeded expections!;x
EVTDESC94060;The opening night of your inn has concluded, and the time has come for you to move on from this venture and resume your other duties. Whatever else can be said, you have learned many valuable lessons on running a business. A buyer is ready to take the inn off your hands, at a tidy little profit for you.;x
EVTDESC94065;It has been brought to your attention that the large garden outside your castle is, frankly, a mess. Last week one of your courtiers got lost in that wilderness, and the man did not emerge for two days. Tackling this garden problem head on could be an excellent project with which to improve your stewardship.;x
EVTDESC94066;Together with your gardeners, you have redesigned your castle garden into a more managable form. You have organized the digging of a small canal system to keep your plants watered, the weeds have been removed and the hedge maze now actually has an exit. The skeletal remains strewn about the maze's dead ends have also been cleared out.;x
EVTDESC94070;To improve your stewardship and better learn how to administrate a realm, it strikes you that it might be a good idea to conduct a survey of the land. Trustworthy men would have to be sent out to every corner of your domains and record their findings. This information will then be collected into a single, great tome.;x
EVTDESC94071;The men you sent out to survey the land have returned. You now have a precise count of the households, down to how many cows they own. This was a wise initiative, and your stewardship ability has increased.;x
EVTDESC94072;Bookkeeping is an unappreciated art, and you have taken it upon yourself to master it. You have gained a clearer picture of the realm's finances and your stewardship has improved as a result.;x
EVTDESC94073;An important part of ruling a realm is learning how to delegate. This is something you have finally realized, and your stewardship has improved as a direct consequence.;x
EVTDESC94074;Managing the large staff of servants in your castle is in many ways like managing a small realm. There are many duties to be performed, and getting things to run smoothly is a true challenge. You have spent some time reorganizing your household, and your stewardship has improved.;x
EVTDESC94080;As you watch some birds darting nimbly through the air, you find yourself wondering why it is that man cannot do the same. There have been unsuccessful attempts to make flying contraptions in the past, but clearly those designs were all conceived by fools. Building a machine that can fly will help improve your learning...;x
EVTDESC94081;In your quest to build a flying machine, you spend countless hours with dusty old tomes and parchments in an effort to learn about all the failed attempts to fly, lest you repeat their mistakes. You are finally at the point where you feel you have learned enough to begin construction of a prototype.;x
EVTDESC94082;The prototype of your flying machine is nearing completion, but it would probably be ill-advised to pilot the thing yourself on its maiden flight. Fortunately, you know of several promising candidates who could probably be persuaded to take this historic leap of faith on your behalf.;x
EVTDESC94083;You find a suitably steep cliff from which to launch the maiden flight of your flying machine. Otis agrees to be strapped into the contraption, especially after you bribe him with sweets. You give him a gentle push over the cliff and leave the rest to fate and the wind. He plummets down like a sack of stones, trailing debris.;x
EVTDESC94084;You find a suitably steep cliff from which to launch the maiden flight of your flying machine. Meldrick hesitates, but after a combination of threats and cajoling he agrees to be strapped into the contraption. You push him over the cliff and hope for the best. He plummets down like a sack of stones, trailing debris.;x
EVTDESC94085;You find a suitably steep cliff from which to launch the maiden flight of your flying machine. Before you can strap the dog into the contraption, the furious blacksmith, an ogre of a man, approaches with his crying daughter. You quickly decide to take the dog's place. As you dive off the cliff, the machine disintegrates around you.;x
EVTDESC94086;After carefully examining the wreckage of your flying machine, you conclude that the physique of Otis was simply too much for its delicate frame to bear. At any rate, the ungrateful boy now refuses to have anything to do with your machines. It looks like you will have to fly the next prototype yourself.;x
EVTDESC94087;Meldrick is bruised and battered, but alive. Your flying machine was a failure, and to make matters worse, another scholar in [Root.Location.GetName] has allegedly made his own functioning prototype. Just as you are about to surrender to despair, Meldrick gives you a toothless smile and says: "I have a cunning plan.";x
EVTDESC94088;As you lie in your bedchamber, bruised and battered but still alive, you contemplate the nature of your plummet from the cliff. Your flying machine has been destroyed and you may never see a human soaring through the air, but this experience has taught you much about the value of science and scholarly research.;x
EVTDESC94089;With a new and improved flying machine, you return to the cliff. Otis waits below, as you will take the fateful plunge yourself this time. You close your eyes and leap into the air from the cliff. For a few seconds you feel the wind rushing past your face until something soft breaks your fall. It is Otis.;x
EVTDESC94090;How he did it will forever remain a mystery, but Meldrick has managed to steal the rival scholar's flying machine. He gleefully brings it to the cliff, but his grin vanishes when you inform him he will be flying again. You send him over the cliff and Meldrick enters a brief, spiraling dive before slamming into the ground.;x
EVTDESC94091;Despite your efforts, it seems the secrets of flight will have to be uncovered by future generations. Your attempts may have been unsuccessful, but you have learned much about the value of science and scholarly research. Your learning has improved.;x
EVTDESC94092;You find a suitably steep cliff from which to launch the maiden flight of your flying machine. al-Otis agrees to be strapped into the contraption, especially after you bribe him with sweets. You give him a gentle push over the cliff and leave the rest to fate and the wind. He plummets down like a sack of stones, trailing debris.;x
EVTDESC94093;You find a suitably steep cliff from which to launch the maiden flight of your flying machine. Ba'ah al-Drik hesitates, but after a combination of threats and cajoling he agrees to be strapped into the contraption. You push him over the cliff and hope for the best. He plummets down like a sack of stones, trailing debris.;x
EVTDESC94094;After carefully examining the wreckage of your flying machine, you conclude that the physique of al-Otis was simply too much for its delicate frame to bear. At any rate, the ungrateful boy now refuses to have anything to do with your machines. It looks like you will have to fly the next prototype yourself.;x
EVTDESC94095;Ba'ah al-Drik is bruised and battered, but alive. Your flying machine was a failure, and to make matters worse, another scholar in [Root.Location.GetName] has allegedly made his own functioning prototype. Just as you are about to surrender to despair, Ba'ah al-Drik gives you a toothless smile and says: "I have a cunning plan.";x
