#CODE;ENGLISH;x

EVTDESC242;Alas! [Root.GetBestName] has died bravely on the field of battle.;x
EVTDESC243;[Root.GetBestName] was wounded in the thick of battle.;x
EVTDESC244;[Root.GetBestName] was maimed in battle by a valiant foeman.;x
EVTDESC245;[Root.GetBestName] received a crushing blow to the head in battle and will not stir from [Root.GetPossPronoun] repose.;x
EVTDESC246;Combat is the best teacher! [Root.GetBestName] has become a more proficient commander.;x
EVTDESC247;You have increased your Martial skill (§G+1§!) while leading troops in battle in §Y[Root.Location.GetName]§!.;x
EVTDESC248;We have gained a better understanding of military matters during this battle.;x
EVTDESC249;In the chaos of battle, your men have managed to corner [From.GetTitledFirstName]! [From.GetSheHeCap] resisted bravely before they slew [From.GetHerHim].;x
EVTDESC250;In spite of my efforts, I have been captured by the armies of [From.GetBestName]!;x
EVTDESC251;Our enemy has died, the war has ended.;x
EVTDESC253;My commander [From.GetTitledFirstName] was cornered and slain by the enemy on the battlefield. [From.GetSheHeCap] fought bravely right until the end.;x
EVTDESC255;There are less cruel people who would say that my use of unnecessary violence is appalling. Then I would remind them that this is war and war means that there are no such thing as 'unnecessary violence'.;x
EVTDESC256;I interrupted Marshal [From.GetTitledFirstName] while [From.GetSheHe] was interrogating an prisoner to find out where our enemy would attack next. The soldier who brought me to [From.GetTitledFirstName] accused [From.GetHerHim] of using unnecessary violence and looked at me for support.;x
EVTDESC261;A noble has distinguished himself in this battle. Perhaps I can make use of him...;x
EVTDESC261_bad_battle_omen;A skillful soldier almost singlehandedly took down the enemy army in a battle today. It makes me doubt the troublesome vision I had.;x
EVTDESC261_good_battle_omen;A soldier has distinguished himself on the battlefield. Such an asset! This must be what the vision was about!;x
EVTDESC262;During the battle, you fearlessly charged ahead on horseback directly into the enemy ranks. Members of your personal guard riding beside you tumbled off their horses as enemy arrows found their marks, but your charge plowed straight into the enemy skirmishers and your sword ran red with their blood.;x
EVTDESC263;While riding ahead with your personal guard, you suddenly found yourselves isolated on the battlefield and surrounded by enemy soldiers. A violent melee ensued but you gave a good account of yourself and managed to return to the main body of your army in time to lead it to victory.;x
EVTDESC264;You were in the thick of it during the battle, and your tally of slain enemy soldiers has impressed even the most grizzled sergeants in your army. As you clean the blood splatter off your sword and armor, the men cheer you for the bravery you displayed in securing this victory.;x
EVTDESC265;Using your foot as leverage, you pull your sword out of the dead corpse of the last foeman to fall by your hand in the battle. All around you, the men are cheering as the routing enemy soldiers flee in wild panic. Victory has been achieved, in large part thanks to your heroic efforts!;x
EVTDESC266;Your commanding presence on the battlefield was felt during the recent victory, by friends and foes alike. You bolstered the spirits of the men when it was needed most, and you personally led the final charge that broke the back of the enemy army.;x
EVTDESC267;As the enemy scurries away from the battlefield like frightened rabbits, you wipe the sweat off your brow and watch in silence. It was a hard-fought melee, and you were in the thick of it, personally leading your men to victory. Not only have you won this battle, but also a great deal of respect.;x
EVTDESC270;This battle has shown my true mettle. I am Brave!;x
EVTDESC271;Swords are sharp and dangerous. I can lead better from inside my own castle.;x
EVTDESC272;Attack! Attack! Attack now! CHARGE!;x
EVTDESC273;My careful maneuvers in this battle have shown our patient nature to everyone.;x

EVTOPTA249;Good riddance!;x
EVTOPTA255;Especially when it is used against your enemies...;x
EVTOPTA256;That's the cruelty of war;x
EVTOPTA262;Songs will be sung of this day.;x

EVTOPTB256;I disapprove of [From.GetHerHis] conduct too;x
EVTOPTC256;[From.GetSheHeCap]'s right, we should terrorise our enemy;x

EVTDESC96500;Your experience in matters of war has increased and there are many things you will do differently in future battles. What will you focus on?;x

EVTOPTA96500;Master Rough Terrain.;x
EVTOPTB96500;Master Flat Terrain.;x
EVTOPTC96500;Master Mountain Terrain.;x
EVTOPTD96500;Master Desert Terrain.;x
EVTOPTE96500;Focus on Cavalry.;x
EVTOPTF96500;Focus on Light Foot.;x
EVTOPTG96500;Focus on Heavy Infantry.;x
EVTOPTH96500;Focus on the Attack.;x
EVTOPTI96500;Focus on the Defense.;x
EVTOPTJ96500;Learn to Inspire.;x
EVTOPTK96500;Master Jungle Terrain.;x
EVTOPTL96500;Focus on War Elephants.;x
EVTOPTM96500;Master Winter Terrain.;x

EVTOPTH96501;Experiment with tactics.;x
EVTOPTI96501;Focus on the Flank.;x
EVTOPTJ96501;Focus on mastering defensive terrain.;x
EVTOPTK96501;Focus on siege tactics.;x

EVTOPTA96502;Study Organization.;x
EVTOPTB96502;Focus on the Center.;x
EVTOPTC96502;Fight with Religious Fervour.;x
EVTOPTD96502;Never Surrender.;x

245.d2;[Root.GetBestName] received a crushing blow to the head in battle and suffered terrible injury to [Root.GetPossPronoun] face.;x
261_OPTA;I knew something good was going to happen!;x
261_OPTB;I suppose I could have misunderstood the vision...;x
