#CODE;ENGLISH;x

bear.1.a;I shall request that [bear_character.GetFirstName] relocate.;x
bear.1.b;It would be rude to insist.;x
bear.1.desc;I really must request that my [bear_character.GetRootRelation] [bear_character.GetFirstName] take up quarters not immediately adjacent to my own. I love [bear_character.GetHerHim] dearly, but the sheer volume of [bear_character.GetHerHis] snoring is becoming quite unbearable.;x
bear.1.title;Troubled Sleep;x
bear.2.a;Good thing it doesn't run in the family.;x
bear.2.b;Well, it must be practical in the winter season.;x
bear.2.desc;I brushed past [bear_character.GetFirstName] on my way to the royal stables this afternoon. Though it was an impolite thought, the close contact left me struck with just how hirsute my [bear_character.GetRootRelation]'s figure is.;x
bear.2.title;A Hairy Situation;x
bear.3.a;I will seek [Root.Spouse.GetFirstName]'s company instead.;x
bear.3.b;I will seek [family_member.GetFirstName]'s company instead.;x
bear.3.c;I will seek the clergy's council instead.;x
bear.3.desc;[bear_character.GetFirstName] is known to be a [bear_character.GetManWoman] of few words. No words, in fact. They say silence is golden, but sometimes a [Root.GetManWoman] finds [Root.GetHerselfHimself] in dire need of a good conversation!;x
bear.3.title;Tongue-Tied;x
bear.4.a;I trust my Marshal to find the thief.;x
bear.4.b;I trust my Spymaster to get to the bottom of this.;x
bear.4.c;Sin is its own punishment.;x
bear.4.desc;A mysterious honey-thief has been terrorizing the court of late. At seemingly random intervals, all of the honey in our royal kitchen will go missing, often with the pantry cupboards left open and the jars smashed. Thus far, no one has been able to determine the identity of this syrup stealer.;x
bear.4.title;Sweet Thief;x
bear.5.a;We all have our flaws.;x
bear.5.b;Some might call it stately.;x
bear.5.desc;[bear_character.GetFirstName] sat for a portrait this week. The colours are quite vivid, but poor [bear_character.GetFirstName]'s nose came out distractingly prominent in the likeness. I had a mind to complain to the painter about their lack of proportion, but [bear_character.GetFirstName] does have a rather unusually generous nose, come to think of it.;x
bear.5.title;Poignant Portraitry;x
bear.6.a;Is this the work of a foul sorcerer?;x
bear.6.b;Has [bear_character.GetSheHe] always been a bear?;x
bear.6.c;We need a tailor capable of beclothing the ursine form.;x
bear.6.d;This explains all that missing honey...;x
bear.6.desc;At the latest banquet, after polishing off four pots of stew, three whole trout, and an entire shank of lamb, [bear_character.GetFirstName] was, as is [bear_character.GetHerHis] wont, trundling off to [bear_character.GetHerHis] chambers to retire - when [bear_character.GetHerHis] vestments caught on the raw edge of a table! Before a courtier could come to [bear_character.GetHerHis] assistance, the cloth was torn open, ripping straight up to the collar and leaving poor [bear_character.GetFirstName] utterly exposed before the entire hall!\nIf that wasn't scandal enough, the party-goers were struck mute with an astonishing realization: [bear_character.GetFirstName] was most irrefutably not a [bear_character.GetManWoman] at all... but a bear.;x
bear.6.e;It's going to eat me! Unless I eat it first...;x
bear.6.f;Shoot it and mount its head on a wall.;x
bear.6.title;Bearly Legal;x
bear.6.undo;This is unbearable!;x
UNDO_BEAR_TRANSFORMATION;Waking up, everything is back to normal. Maybe all of this was just a dream...;x
