#CODE;ENGLISH;x

EVTDESC21001;I have thought it over, and I cannot be the father of my [GetFromFromRelation] [FromFrom.GetFirstName]'s baby. As it grows in her belly, I have trouble sleeping. I must put this matter to rest!;x
EVTDESC21003;The maid I paid to spy on my [GetFromRelation] has confirmed my suspicions - [From.FatherOfUnborn.GetTitledName] is [From.GetFirstName]'s lover and the real father of the child!;x
EVTDESC21003_CONF;When asked outright, my [GetFromRelation] [From.GetFirstName] broke down and tearfully admitted to having an affair with [From.FatherOfUnborn.GetTitledName], blubbering about mercy and forgiveness!;x
EVTDESC21003_CONF_CR;When asked outright, my [GetFromRelation] [From.GetFirstName] broke down and tearfully admitted to having an affair with [From.FatherOfUnborn.GetTitledName] - her own [GetFromVsFatherOfUnbornRelation]!;x
EVTDESC21003_CR;The woman I hired to spy on my [GetFromRelation] [From.GetFirstName] has found out the shocking truth about her pregnancy. I was right, I am not the father... [From.FatherOfUnborn.GetTitledFirstName] is, her own [GetFromVsFatherOfUnbornRelation]!;x
EVTDESC21003_TRAP;I planted a note in my [GetFromRelation]'s bedroom, instructing her to meet her lover behind the smithy. I stood there waiting, hoping she wouldn't come... but she did. She confessed to an affair with [From.FatherOfUnborn.GetTitledName]!;x
EVTDESC21003_TRAP_CR;I planted a note in my [GetFromRelation]'s bedroom, instructing her to meet her lover behind the smithy. She came alright, and brokenly confessed to an affair with [From.FatherOfUnborn.GetTitledName] - her own [GetFromVsFatherOfUnbornRelation]!;x
EVTDESC21005;My [GetFromRelation] just stormed in, roaring and smashing chairs. He knows about my affair with [Root.FatherOfUnborn.GetTitledFirstName]. He knows the child I carry is not his...;x
EVTDESC21006;[From.GetTitledName] knows about my affair with [FromFrom.GetTitledFirstName]. He knows the child she carries is actually mine...;x
EVTDESC21010;The maid I hired to gain my [GetFromRelation] [From.GetFirstName]'s confidence has not found anything at all suspicious about her pregnancy.;x
EVTDESC21011;The spies I hired at great expense to discover anything suspicious about my [GetFromRelation] [From.GetFirstName] and her pregnancy have failed to turn up anything at all.;x
EVTDESC21012;My dear [GetFromRelation] [From.GetFirstName] is suspicious of my pregnancy. He is here right now asking me if the child is really his!;x
EVTDESC21013;[From.GetFirstName] started crying when I asked her if she's being unfaithful. She profusely ensures me of her undying love, virtue and steadfastness...;x
EVTDESC21015;[From.GetFirstName] got angry when I confronted her about the pregnancy, saying she lives in a prison and that I am denying her even the most basic freedoms...;x
EVTDESC21016;I found a note from my beloved [Root.FatherOfUnborn.GetTitledFirstName] to meet him behind the smithy today, but it was my [GetFromRelation] [From.GetFirstName] who waited for me there!;x

EVTOPTA21001;Hire someone to find out;x
EVTOPTA21003;By [Root.Religion.GetRandomGodName], I had better keep this quiet!;x
EVTOPTA21005;The flesh is weak...;x
EVTOPTA21006;This could spell my doom!;x
EVTOPTA21010;That's a relief!;x
EVTOPTA21011;I guess the child must be mine then..?;x
EVTOPTA21012;Assure him of my faithfulness!;x
EVTOPTA21013;I'll never be entirely sure...;x
EVTOPTA21015;Now I feel guilty...;x
EVTOPTA21016;Darling, I can explain!;x

EVTOPTB21001;No, I trust her word!;x
EVTOPTB21003;Unholy! Expose the traitors!;x
EVTOPTB21006;How embarrassing!;x
EVTOPTB21010;I must KNOW. I will confront her directly!;x
EVTOPTB21012;Tearfully admit my affair with [Root.FatherOfUnborn.GetTitledFirstName];x

EVTOPTC21003;Holy... but treasonous. Expose them!;x
EVTOPTC21010;Hire more spies!;x
EVTOPTC21012;He's such a baby. Wrap him around my finger.;x

EVTOPTD21003;This is High Treason!;x
EVTOPTD21010;Lay a trap for her;x

EVTTOOLTIP21003_TRAP;[This.GetFirstName] flies into a rage!;x

EVTDESC304;[FromFrom.Mother.GetFirstName] has borne the child of another man! I cannot believe this betrayal!;x
EVTDESC304_B;The fruit of [FromFrom.Mother.GetFirstName]'s shameful infidelity has finally been born. I still cannot believe [FromFrom.Mother.GetSheHe] would betray me so brazenly.;x

EVTDESC400;I am surely with child... my husband will be pleased.;x
EVTDESC400_widow;I am surely with child... I wonder what my late husband would think of this.;x
EVTDESC400_CONSORT;I am surely with child... my consort will be pleased.;x
EVTDESC400_CONSORTS;I am surely with child. I wonder which one of my consorts is the lucky father...;x

EVTDESC300;I am a bastard!;x
EVTDESC301;It seems my amorous adventures have resulted in a child - little [From.GetFirstName] is my spitting image.;x
EVTDESC302;I am [From.GetTitledFirstName]!;x
EVTDESC303;[From.GetTitledFirstName] has declared our baby trueborn!;x
EVTDESC305;[Root.Spouse.GetFirstName] has not only cheated on me, but has legitimized his accursed spawn!;x
EVTDESC306;I am [From.GetTitledFirstName]!;x
EVTDESC307;[From.GetTitledFirstName] has acknowledged our child.;x
EVTDESC308;My sweet [Root.Spouse.GetFirstName] has acknowledged the bastard child he had with some slut.;x
EVTDESC309;I remain [From.GetTitledFirstName];x
EVTDESC310;[From.GetTitledFirstName] refuses to acknowledge our baby as his.;x
EVTDESC311;The baby, [From.GetTitledFirstName], is surely my husband's bastard, though darling [Root.Spouse.GetFirstName] denies it.;x
EVTDESC315;My labor was difficult and I fear that something is wrong with me. The midwives look worried, and I feel so terribly weak...;x
EVTDESC319;It seems my dalliance with [From.Mother.GetTitledFirstName] has resulted in a child. Fortunately, [From.Father.GetTitledFirstName] thinks little [From.GetFirstName] is his!;x

EVTOPTA301;Legitimize [From.GetHerHim];x
EVTOPTA301_DESC;§Y[From.GetFirstName]§! is declared a legitimate [From.GetSonDaughter] with full inheritance rights.\n;x
EVTOPTA301_legchildren_TOOLTIP;All of §Y[Root.GetTitledFirstName]'s§! other children's opinion of [Root.GetHerHim] changes by §R-40§! for §Y12§! months. §Y(Legitimized Bastard)§!;x
EVTOPTA303;He must still love me...;x
EVTOPTA304;Woe is me!;x
EVTOPTA305;This means war!;x
EVTOPTA307;How gracious;x
EVTOPTA308;Well, it could be worse;x
EVTOPTA310;He's the true bastard!;x
EVTOPTA311;He's but a man;x
EVTOPTA315;I must pray to [Root.Religion.GetRandomGodName];x
EVTOPTA319;Oops;x

EVTOPTB301;Acknowledge [From.GetHerHim] as mine;x
EVTOPTB301_DESC;§Y[From.GetFirstName]§! remains illegitimate, but is sanctioned as my [From.GetSonDaughter] and can be married off to form alliances. If [From.GetSubjectPronoun] ever has children, a new dynasty will be created for that line.\n;x

EVTOPTC301;Denounce the child;x
EVTOPTC301_DESC;§Y[From.GetFirstName]§! is denounced as a bastard with an unknown father, having no official connection to me at all.\n;x

EVTOPTD301;Not my problem. [From.GetHerHisCap] mother will deal with this.;x

EVTTOOLTIP302;[This.GetFirstName] becomes a member of House [This.Father.GetOnlyDynastyName];x
EVTTOOLTIP303;Lady [This.GetFirstName], the mother, is most pleased;x
EVTTOOLTIP304;[This.GetTitledFirstName], the mother's husband, is most displeased...;x
EVTTOOLTIP305;[Root.Father.GetTitledFirstName]'s wife [Root.Father.Spouse.GetTitledFirstName] is enraged;x
EVTTOOLTIP306;[This.GetFirstName] will be regarded as your [This.GetSonDaughter] and can be legitimized later;x
EVTTOOLTIP307;Lady [This.GetFirstName], the mother, is pleased;x
EVTTOOLTIP308;[Root.Father.GetFirstName]'s wife [Root.Father.Spouse.GetFirstName] is angered;x
EVTTOOLTIP309;The child remains [This.GetDynName];x
EVTTOOLTIP310;Lady [This.GetFirstName], the mother, is humiliated;x

EVTDESC401;Unmarried and pregnant... The fates have cursed me!;x
EVTDESC402;Oh dear, I must be with child. Will my husband believe it is his?;x
EVTDESC403;Fate smiles upon me, my wife [From.GetFirstName] is pregnant!;x
EVTDESC404;My [GetFromRelation] is pregnant, but I was away, wasn't I?;x
EVTDESC404_2;My [GetFromRelation] [From.GetFirstName] tells me she is pregnant, but that can't be right, can it?;x
EVTDESC404_KF;My [GetFromRelation] [From.GetFirstName] is pregnant and I can't possibly be the father! The realm is already astir with gossip - everyone knows [From.FatherOfUnborn.GetTitledName] is the real father.;x
EVTDESC410;I am surely with child... my lord will be pleased.;x
EVTDESC412;Oh dear, I must be with child. Will my lord believe it is his?;x
EVTDESC413;Fate smiles upon me, my concubine [From.GetFirstName] is pregnant!;x

EVTOPTA402;Good news darling!;x
EVTOPTA404;Doubt besets me!;x
EVTOPTA412;Good news darling!;x

EVTOPTB404;Denounce them both as traitors!;x

EVTTOOLTIP403;You tell §Y[Root.FatherOfUnborn.GetFirstName]§! he will be a father.;x
EVTTOOLTIP404;You tell a white lie to §Y[Root.Spouse.GetFirstName]§!.;x
EVTTOOLTIP413;Tell §Y[Root.FatherOfUnborn.GetFirstName]§! he will be a father;x

EVTDESC450;I've caught [Root.Liege.GetTitle] [Root.Liege.GetFirstName] eyeing me...;x
EVTDESC451;I am starting to think [From.GetTitledFirstName] might fancy me...;x
EVTDESC452;I awaken to the sound of my door creaking open... It's [Root.Liege.GetTitle] [Root.Liege.GetFirstName]!;x
EVTDESC453;I went to [From.GetFirstName]'s chamber and gave [From.GetHerHim] a good tumble!;x
EVTDESC454;[From.GetLordLady] [From.GetFirstName] has spurned my subtle advances.;x
EVTDESC455;Lady [From.GetFirstName] screamed and made a fuss in front of my own guards!;x

EVTOPTA450;Encourage [Root.Liege.GetHerHim];x
EVTOPTA451;Make a move.;x
EVTOPTA452;What took [From.GetObjectPronoun] so long?;x
EVTOPTA453;It's good to be the [This.GetTitle];x
EVTOPTA454;How could [From.GetSheHe] resist my charms?;x
EVTOPTA455;Women!;x

EVTOPTB450;Avoid him;x
EVTOPTB451;It's not appropriate!;x
EVTOPTB452;Dissuade [From.GetObjectPronoun];x

EVTOPTC451;[From.GetSheHeCap]'s not my type;x
EVTOPTC452;Scream for help!;x

EVTTOOLTIP451;The [Root.Liege.GetTitle] responds to my advances;x
EVTTOOLTIP452;You will go to [This.GetHerHis] chamber...\n;x
EVTTOOLTIP453;[This.GetTitledFirstName] becomes my lover;x
EVTTOOLTIP454;[This.GetTitledFirstName] becomes disappointed;x
EVTTOOLTIP455;[This.GetTitledFirstName] becomes embarrassed and resentful;x

EVTDESCA316; Despite my physicians' assurances to the contrary, giving birth only worsened my condition. The midwives look worried, and I feel so terribly weak... I am bound to my bedroom, in a state halfway between nightmares and reality, struggling, on the brink of death.;x
EVTDESCB316;My labor worsened the already precarious condition I was in. The midwives look worried, and I feel so terribly weak... I am bound to my bedroom, in a state halfway between nightmares and reality, struggling, on the brink of death.;x
