#CODE;ENGLISH;x

EVTDESC68000;I cannot afford to pay my magistrates and my debts to the lower classes are dangerously high. The peasants of [Root.GetName] are now completely disregarding my divine right to rule!;x
EVTDESC68001;The peasants of [Root.GetName] are slowly starting to respect my rule again. I should never let my treasury go negative!;x
EVTDESC68010;Due to my lack of funds to pay my sheriffs and magistrates with, a Thieves' Guild has been established in [Root.GetName].;x
EVTDESC68011;Thanks to my wise Stewardship of §Y[Root.GetName]§!, the local Thieves' Guild has been eradicated.;x
EVTDESC68020;My acute budget deficit has allowed a Smugglers' Ring to appear in [Root.GetName].;x
EVTDESC68021;Thanks to my great diplomatic skill, the Smugglers' Ring in §Y[Root.GetName]§! has been destroyed. The head of the last smuggler is now rotting on a pike outside the city gates.;x
EVTDESC68021_FALLBACK;Thanks to the [target_wonder.GetName], and my great diplomatic skill, the Smugglers' Ring in §Y[Root.GetName]§! has been destroyed. The head of the last smuggler is now rotting on a pike.;x
EVTDESC68021_RETINUE;Thanks to the retinue stationed in the [target_wonder.GetName], and my great diplomatic skill, the Smugglers' Ring in §Y[Root.GetName]§! has been destroyed. The head of the last smuggler is now rotting on a pike.;x
EVTDESC68021_TEMPLE_GUARDS;Thanks to the temple guards of [target_wonder.GetName], and my great diplomatic skill, the Smugglers' Ring in §Y[Root.GetName]§! has been destroyed. The head of the last smuggler is now rotting on a pike.;x
EVTDESC68030;My underfunded sheriffs have allowed a large band of robbers to rise in [Root.GetName]. They are too craven to attack my castles though.;x
EVTDESC68031;With my great Martial ability, I have rounded up and executed the robber bands that were plaguing §Y[Root.GetName]§!!;x
EVTDESC68031_FALLBACK;Due to the [target_wonder.GetName], and my great Martial ability, the robber bands that were plaguing §Y[Root.GetName]§! have been rounded up and executed!;x
EVTDESC68031_RETINUE;The retinue stationed in the [target_wonder.GetName] have helped me to round up and execute the robber bands that were plaguing §Y[Root.GetName]§!!;x
EVTDESC68031_TEMPLE_GUARDS;The temple guards of [target_wonder.GetName] have helped me to round up and execute the robber bands that were plaguing §Y[Root.GetName]§!!;x

EVTOPTA68000;And we can't do anything about it...;x
EVTOPTA68001;Thank the Lord!;x
EVTOPTA68010;They have not stolen any of my property yet;x
EVTOPTA68011;It is good to be the [Root.County.Holder.PrimaryTitle.GetRulerTitle]!;x
EVTOPTA68020;I don't see how this matters to me?;x
EVTOPTA68021;I am such a great [Root.County.Holder.PrimaryTitle.GetRulerTitle];x
EVTOPTA68030;I am safe inside my walls..;x
EVTOPTA68031;Call me [Root.County.Holder.GetTitledFirstName] the Great!;x

EVTOPTB68001;Allah is merciful!;x
