#CODE;ENGLISH;x

EVTDESC_GBC_1;[GBC_dead_one.GetTitledFirstName] died from the plague. Oh noes!;x
EVTDESC_GBC_2;It's been a while since [GBC_dead_one.GetTitledName] left this mortal world, but not a day goes by that [GBC_dead_one.GetSheHe] does not cross your mind. It can be in the morning, when you first put your feet on the cold floor - you pause as you suddenly remember the black blisters on [GBC_dead_one.GetHerHis] skin. It can be during supper, when [GBC_dead_one.GetHerHis] favorite food is being served, but what can you do? Should you demand the next child at court be named after [GBC_dead_one.GetHerHim]? \n\nYou shake your head. Most often the doubts come in the night. When the stars are out, the world is quiet and you are alone with your thoughts. Such a horrible fate [GBC_dead_one.GetSheHe] suffered, in the end. Was it truly the will of [Root.Religion.GetHighGodName]?;x
EVTDESC_GBC_3_A;I've been thinking a lot on [GBC_dead_one.GetTitledName] and what happens when we die. My [Root.GetLordSpiritualName] has advised me to look inwards and let the wisdom of [Root.Religion.GetHighGodName] comfort me. Yet when I'm alone in the dark any divine presence fails me.;x
EVTDESC_GBC_3_B;I've been thinking a lot on [GBC_dead_one.GetTitledName] and what happens when we die. I've tried looking inwards and let the wisdom of [Root.Religion.GetHighGodName] comfort me, yet when I'm alone in the dark any divine presence fails me.;x
EVTDESC_GBC_5;[GBC_new_friend.GetTitledFirstName] approached me today. Apparently [GBC_new_friend.GetSheHe] has noticed the regularity with which I've been visiting the grave of [GBC_dead_one.GetTitledName], but [GBC_new_friend.GetSheHe] hasn't wanted to disturb me... "Surely a [Root.GetTitle] doesn't need to talk about [Root.GetHerHis] grief" [GBC_new_friend.GetSheHe] said, smiling awkwardly.;x
EVTDESC_GBC_6;[GBC_new_friend.GetFirstName] tells me that our [GBC_dead_one.GetTitledName] had a way with birds. I had no idea! Noticing my astonished expression, [GBC_new_friend.GetFirstName] has now introduced me to Hedwig, an adorable little owl. Apparently it used to belong to [GBC_dead_one.GetFirstName]. "I think she likes you" [GBC_new_friend.GetSheHe] says, stroking its head.;x
EVTDESC_GBC_8;Alone in my chambers, having just fed my beloved bird, [GBC_new_friend.GetFirstName] bursts into the room, promptly marching over to Hedwig. "I've changed my mind!" [GBC_new_friend.GetSheHe] says belligerently, grabbing the cage.;x
EVTDESC_GBC_9;[GBC_new_friend.GetFirstName] pauses and hides [GBC_new_friend.GetHerHis] face in [GBC_new_friend.GetHerHis] hands. "I'm sorry, [Root.GetFirstName]. I don't know what I'm doing." When [GBC_new_friend.GetSheHe] finally meets my eyes, tears stain [GBC_new_friend.GetHerHis] cheeks. "I think I'm dying. You're going to lose me, like we lost [GBC_dead_one.GetFirstName].";x
EVTDESC_GBC_10;[GBC_new_friend.GetFirstName] drops to [GBC_new_friend.GetHerHis] knees and starts to loudly sob, face in [GBC_new_friend.GetHerHis] hands. "Oh, [Root.GetFirstName], I shouldn't burden you with this. Nay, I should not even be here!" Hedwig tilts her head at you as [GBC_new_friend.GetFirstName] runs away, leaving you alone with the puzzled bird.;x
EVTDESC_GBC_11;[GBC_new_friend.GetFirstName] throws a fist into the wall and curses under [GBC_new_friend.GetHerHis] breath before turning to you. "You don't understand, do you, my [Root.GetLordLady]?! Everyone will disappear! You and me. Even this stupid bird!" [GBC_new_friend.GetSheHe] yells. The owl glances at you, indifference in her eyes.;x
