#CODE;ENGLISH;x

EVTDESC75000;[Root.GetMyChancellorName] [Root.job_chancellor.GetTitledFirstName] is doing a superb job! I am having trouble with a town and a castle in [Root.Location.GetName] and I shall of course send my [Root.GetMyChancellorName] [Root.job_chancellor.GetTitledFirstName] to try and increase the relation between them and us, but which one should I start with?;x
EVTOPTA75000;The town!;x
EVTOPTB75000;The castle!;x

EVTDESC75001;I have noticed Marshal [Root.job_marshal.GetTitledFirstName]'s hard-work and everyone seems to like [Root.job_marshal.GetHerHim]. I am deciding between having my Marshal heighten the morale of the troops or try to recruit more soldiers.;x
EVTOPTA75001;Send Marshal [Root.job_marshal.GetTitledFirstName] to heighten the troops' morale;x
EVTOPTB75001;Send Marshal [Root.job_marshal.GetTitledFirstName] to recruit soldiers;x

EVTDESC75002;My coffers are almost empty and the peasants are restless. I only have one Steward, [Root.job_treasurer.GetTitledFirstName] and even if [Root.job_treasurer.GetSheHe] is doing a wonderful job [Root.job_treasurer.GetSheHe] cannot do more than one thing at once.;x
EVTOPTA75002;Send Steward [Root.job_treasurer.GetTitledFirstName] to increase the tax income;x
EVTOPTB75002;Send Steward [Root.job_treasurer.GetTitledFirstName] to calm the peasants;x

EVTDESC75003;There is a man I need to arrest and another I want to assassinate. My Spymaster [Root.job_spymaster.GetTitledFirstName] could either help with the arrest or the assassination, but not both. ;x
EVTOPTA75003;Send Spymaster [Root.job_spymaster.GetTitledFirstName] to the arrest!;x
EVTOPTB75003;Send Spymaster [Root.job_spymaster.GetTitledFirstName] to the plot!;x

EVTDESC75004;There is no [Root.job_spiritual.GetManWoman] better at increasing the Church's opinion of me or teach me to become a more pious [Root.GetManWoman] than my [Root.GetLordSpiritualName] [Root.job_spiritual.GetTitledFirstName]!;x
EVTOPTA75004;I need you to talk to the Church, [Root.job_spiritual.GetTitledFirstName];x
EVTOPTB75004;Teach me to be a pious [Root.GetManWoman], [Root.job_spiritual.GetTitledFirstName];x

EVTDESC75005;There is no [Root.job_spiritual.GetManWoman] better at increasing the [Root.Religion.GetName] Church's opinion of me or teach me to become a more pious Muslim than my [Root.GetMyLordSpiritualName] [Root.job_spiritual.GetTitledFirstName]!;x
EVTOPTA75005;Talk to the [Root.Religion.GetName] Church, [Root.job_spiritual.GetTitledFirstName];x
EVTOPTB75005;Teach me to be a pious Muslim, [Root.job_spiritual.GetTitledFirstName];x

EVTDESC75010;My liege's [Root.GetChancellorName] [Root.Liege.job_chancellor.GetTitledFirstName] has been looking at my wife [Root.Spouse.GetTitledFirstName] with lust in his eyes. I need to tell my liege [Root.Liege.GetTitledFirstName] and ask [Root.Liege.GetHerHim] to do something about this before anything happens!;x
EVTOPTA75010;Complain to liege about the [Root.GetChancellorName]'s inappropriate behavior;x
EVTOPTB75010;Maybe it's nothing...;x

