#CODE;ENGLISH;x

# job_spymaster.txt

#########################
#
#	Spymaster events
#
#########################

# Plot Uncovered
evt_spymaster_001_title;Plot Uncovered;x
evt_spymaster_001_desc_a;The rumors about a plot brewing here in [Root.Location.GetName] seems to be true.;x
evt_spymaster_001_option_a;Hopefully I can uncover it in time.;x

# The plotter is informed
evt_spymaster_002_desc_a;It seems that [From.GetTitledName], the spymaster of [From.Liege.GetTitledName], has been sent to [From.Location.GetName] to investigate rumors of a plot... Maybe he should be silenced before he finds out about my plot to [Root.GetPlot].;x
evt_spymaster_002_option_a;That might be necessary...;x
evt_spymaster_002_option_b;Have him killed immediately!;x
evt_spymaster_002_option_c;Better not risk it.;x

# Assassination attempt on the spymaster fails
evt_spymaster_003_desc_a;I caught a man trying to assassinate me! It turns out he was sent by [From.GetTitledName] to make sure I wouldn't find out about his plot to [From.GetPlot].;x
evt_spymaster_003_option_a;I must report this to my liege!;x

# Spymaster informs liege about assassination attempt and plot
evt_spymaster_004_desc_a;My liege,\nI write to you with shocking news! [FromFrom.GetTitledName] tried to have me assassinated to make sure I wouldn't discover [FromFrom.GetHerHis] plot to [FromFrom.GetPlot].\n\nYour humble Spymaster,\n[From.GetTitledName];x
evt_spymaster_004_option_a;Expose [FromFrom.GetHerHim] immediately!;x
evt_spymaster_004_option_b;I will keep this information to myself...;x

# Liege writes to plotter
evt_spymaster_005_desc_a;I am shocked and appalled to find out that you have not only tried to assassinate my spymaster [FromFrom.GetTitledName], but are also plotting to [Root.GetPlot]!;x
evt_spymaster_005_option_a;Most unfortunate...;x


# The Spymaster is attacked by a Noble's thugs (Gets away, Is wounded, Is maimed, Is killed)
evt_spymaster_101_title;Thugs Attack the Spymaster;x
evt_spymaster_101_desc_a;My investigation into the rumor of a plot in [Root.Location.GetName] must have alerted someone. Armed thugs are breaking into my room!;x
evt_spymaster_101_option;Will I escape with my life?;x
evt_spymaster_101_option_tooltip_1;[Root.GetTitledName] gets away;x
evt_spymaster_101_option_tooltip_2;[Root.GetTitledName] gets wounded;x

# Spymaster gets away
evt_spymaster_102_desc_a;I managed to flee the thugs by escaping through the backdoor.;x
evt_spymaster_102_option_a;My prestige however did not go unscathed by the incident...;x

# Spymaster gets wounded
evt_spymaster_103_desc_a;I did manage to survive the thugs attacking me, but the incident has left me severely wounded.;x
evt_spymaster_103_option_a;I am lucky to be alive...;x
evt_spymaster_103_option_a_tooltip;I must send a letter to inform my liege;x

# Inform the Liege about wounding
evt_spymaster_104_desc_a;My liege,\nArmed thugs attacked me while investigating the rumor of a plot in [From.Location.GetName]! I barely escaped with my life and am now severely wounded.\n\nYour humble Spymaster,\n[From.GetTitledName];x
evt_spymaster_104_option_a;Sinister forces are at work!;x

# Inform the Liege about death
evt_spymaster_105_desc_a;[Root.GetTitledName], your Spymaster [From.GetTitledName] was killed by armed thugs when investigating a rumor about a plot in [From.Location.GetName].;x
evt_spymaster_105_option_a;Horrible!;x




# Faction Prevention - Spymaster finds Faction Member
evt_spymaster_201_title;Vassal Discouraged from Joining Factions;x
evt_spymaster_201_desc_a;You have spent some time investigating one of your liege's vassals in [Root.Location.GetName], and you feel that you have gathered enough information to gain a leverage that would discourage the vassal from supporting conspiratorial factions in the future.;x
evt_spymaster_201_option_a;My liege must be informed.;x
evt_spymaster_201_option_a_tooltip;Your liege is informed.;x

# Liege is informed
evt_spymaster_202_desc_a;My liege,\n\nI believe that one of your vassals can be discouraged from associating with conspiratorial factions if the proper leverage is obtained. How do you wish to proceed?\n\nYour humble Spymaster,\n[From.GetTitledName];x
evt_spymaster_202_option_a;Blackmail the vassal.;x
evt_spymaster_202_option_a_tooltip;You use blackmail to gain a leverage on your vassal.;x
evt_spymaster_202_option_b;Obligate the vassal.;x
evt_spymaster_202_option_b_tooltip;You use legalism to gain a leverage on your vassal.;x
evt_spymaster_202_option_c;Threaten the vassal.;x
evt_spymaster_202_option_c_tooltip;You use threats to gain a leverage on your vassal.;x
evt_spymaster_202_option_d;Ask politely.;x
evt_spymaster_202_option_d_tooltip;You forward a polite request.;x
evt_spymaster_202_option_e;We will do nothing for now.;x

# Faction Member Confronted: Blackmail
evt_spymaster_203_desc_a;My dear [Root.GetTitle],\n\nI regret that events have forced me to sully my hands in this manner, but unless you swear not to form new factions conspiring against me, I shall have to spread your unsavory secrets to anyone willing to listen.\n\nSigned,\n[From.GetTitledName];x
evt_spymaster_203_option_a;My preferences in bed must not be revealed...;x
evt_spymaster_203_option_b;Others may not understand the wonders of impalement...;x
evt_spymaster_203_option_c;My desires might make others think less of me...;x
evt_spymaster_203_option_d;If the full extent of my drinking problem became known...;x
evt_spymaster_203_option_e;I have not exactly led the most pious life...;x
evt_spymaster_203_option_f;My little problem must not be revealed...;x
evt_spymaster_203_option_tooltip;You decide it would be in your best interest to comply with this demand.;x

# Liege Informed: Successful Blackmail
evt_spymaster_204_desc_a;Honoured [Root.GetTitle],\n\nThough I curse your name, I will comply with your unfair demand. Just... keep the sensitive information to yourself.\n\nSigned,\n[From.GetTitledName];x

# Faction Member Confronted: Legalism
evt_spymaster_205_desc_a;My dear [Root.GetTitle],\n\nPermit me to remind you of your obligations and duties as my sworn vassal. To form a conspiratorial faction would be in direct violation of these, and I must ask for your promise never to do so.\n\nSigned,\n[From.GetTitledName];x
evt_spymaster_205_option_a;True. Scheming is not the honorable way of doing things.;x
evt_spymaster_205_option_b;Yes, enough lies and scheming.;x
evt_spymaster_205_option_c;Perhaps you are right, my liege.;x
evt_spymaster_205_option_d;Oh well. I wasn't planning on doing that anyway.;x
evt_spymaster_205_option_e;True. Founding such a faction wouldn't be very nice of me.;x

# Liege Informed: Successful Legalism
evt_spymaster_206_desc_a;Honoured [Root.GetTitle],\n\nThank you for reminding me of my duties and obligations as your vassal. You are right, of course. For the foreseeable future, you have my promise not to support factions conspiring against you.\n\nSigned,\n[From.GetTitledName];x
evt_spymaster_206_option_a;Very good.;x

# Faction Member Confronted: Threaten
evt_spymaster_207_desc_a;My dear [Root.GetTitle],\n\nIf you think I let any vassal of mine support factions conspiring against me without taking action, you are sorely mistaken. If you value your wretched life, you will swear not to form any such faction.\n\nSigned,\n[From.GetTitledName];x
evt_spymaster_207_option_a;Oh my! I swear it! I swear it!!;x
evt_spymaster_207_option_b;I know [From.GetSheHe] isn't bluffing...;x
evt_spymaster_207_option_c;It's not worth dying for if there's no afterlife...;x
evt_spymaster_207_option_d;There is no shame in backing down over this...;x
evt_spymaster_207_option_e;Forming a faction is too much work anyway...;x

# Liege Informed: Successful Threat
evt_spymaster_208_desc_a;Honoured [Root.GetTitle],\n\nI ask your forgiveness if I have done something to offend. I obviously wouldn't dream of associating with any faction conspiring against you or your enlightened rule.\n\nSigned,\n[From.GetTitledName];x
evt_spymaster_208_option_a;You are forgiven.;x

# Faction Member Confronted: Ask Nicely
evt_spymaster_209_desc_a;My dear [Root.GetTitle],\n\nI have learned that there are certain factions within the realm working to undermine my rule. If you are involved or planning to become so, I trust that your complicity in these matters ends now.\n\nSigned,\n[From.GetTitledName];x
evt_spymaster_209_option_a;Best not to risk it...;x
evt_spymaster_209_option_b;Ha! This letter was an act of desperation.;x
evt_spymaster_209_option_b_tooltip;You refuse this outrageous demand.;x

# Liege Informed: Failed Request
evt_spymaster_210_desc_a;Honoured [Root.GetTitle],\n\nDo not speak to me of obligations and duties! I may be your vassal, but that does not make me your slave. I am within my full right to associate with whichever faction I wish.\n\nSigned,\n[From.GetTitledName];x
evt_spymaster_210_option_a;That little...!;x

# Unused
EVTDESC9009;Honoured [Root.GetTitle],\n\nYour pitiful threats against myself and my loved ones have revealed your true nature once and for all. I shall never submit. Do your worst.\n\nSigned,\n[From.GetTitledName];x
EVTOPTA9009;The insolence!;x


# Faction Recruitment - Spymaster finds Faction Member
