#CODE;ENGLISH;x

EVTNAME107000;Learning Scenario;x
EVTNAME107001;Learning Scenario;x
EVTNAME107002;Learning Scenario;x
EVTNAME107003;Learning Scenario;x
EVTNAME107004;Learning Scenario;x
EVTNAME107005;Learning Scenario;x
EVTNAME107006;Learning Scenario;x
EVTNAME107007;Learning Scenario;x
EVTNAME107008;Learning Scenario;x
EVTNAME107009;Learning Scenario;x
EVTNAME107100;Learning Scenario;x
EVTNAME107101;Learning Scenario;x
EVTNAME107102;Learning Scenario;x
EVTNAME107103;Learning Scenario;x
EVTNAME107104;Learning Scenario;x
EVTNAME107202;Learning Scenario;x
EVTNAME107203;Learning Scenario;x
EVTNAME107204;Learning Scenario;x
EVTNAME107205;Learning Scenario;x
EVTNAME107250;Learning Scenario;x
EVTNAME107251;Learning Scenario;x
EVTNAME107252;Learning Scenario;x
EVTNAME107253;Learning Scenario;x
EVTNAME107254;Learning Scenario;x
EVTNAME107300;Learning Scenario;x
EVTNAME107301;Learning Scenario;x
EVTNAME107302;Learning Scenario;x
EVTNAME107303;Learning Scenario;x
EVTNAME107304;Learning Scenario;x
EVTNAME107305;Learning Scenario;x
EVTNAME107306;Learning Scenario;x
EVTNAME107307;Learning Scenario;x
EVTNAME107310;Learning Scenario;x
EVTNAME107311;Learning Scenario;x
EVTNAME107320;Learning Scenario;x
EVTNAME107325;Learning Scenario;x
EVTNAME107326;Learning Scenario;x
EVTNAME107327;Learning Scenario;x
EVTNAME107328;Learning Scenario;x
EVTNAME107329;Learning Scenario;x
EVTNAME107330;Learning Scenario;x
EVTNAME107331;Learning Scenario;x
EVTNAME107332;Learning Scenario;x
EVTNAME107333;Learning Scenario;x
EVTNAME107334;Learning Scenario;x
EVTNAME107340;Learning Scenario;x
EVTNAME107341;Learning Scenario;x
EVTNAME107342;Learning Scenario;x
EVTNAME107343;Learning Scenario;x
EVTNAME107344;Learning Scenario;x
EVTNAME107345;Learning Scenario;x
EVTNAME107350;Learning Scenario;x
EVTNAME107360;Learning Scenario;x

EVTDESC107000;Behold! The world as we know it in the year of our Saviour, 1066. As you can tell, it is divided into distinct regions - Counties - each controlled by some ruler or another. Crusader Kings II is a game about these rulers, their families, relations, intrigue... and power. Be a conqueror or a peaceful family father, as you will, but know that most other characters will lust after more land, more Counties.\n\nCrusader Kings II is a real-time game. Close this window and unpause the game using the speed widget...;x
EVTDESC107001;You will play as a succession of characters from the same Dynasty, down the ages. In this Learning Scenario, you will be safe from attack and internal strife until your ruler turns 40 years old. When this happens, [Root.GetFirstName] will die (normally though, characters die of old age, disease or violence) and the Learning Scenario will end. When [Root.GetSubjectPronoun] dies, you can keep playing a normal game as [Root.GetPossPronoun] Heir. Feel free to navigate through the game as you wish, but note that if you do not follow the Learning Scenario instructions you might miss out on further help.;x
EVTDESC107002;The main currencies in this game are your Wealth, Prestige and Piety. Wealth is of course the monetary currency (you can call it 'gold' if you like), and increases primarily through taxation. Prestige is a measure of your success and prestige as a ruler, and your Piety shows how respected you are by the clergy. The Prestige and Piety of all your characters will be added to your score, determining your final rank when the game ends.;x
EVTDESC107003;During the Learning Scenario, you will get messages like this to help you to figure out what you can do next. You are, however, free to click around and do things on your own. Whenever you run out of things to do, it might be helpful to check out the Alerts that appear at the top of the screen.;x
EVTDESC107004;Depending on what you are currently doing, there are several Map Modes to suit your needs. The default Map Mode is the Terrain Map Mode. Another helpful map mode is the Independent Realms Map Mode, showing the borders of the different Realms in the world. Feel free to check out the different Map Modes in the lower right corner to see what they show.;x
EVTDESC107005;This is you, up in the left corner. Clicking the Portrait will give you more information about [Root.GetTitledFirstName] and his family. You can also click on the Crest next to the portrait to get information about your Country.\n\nClick the Portrait to find out more about your Ruler and his family. Note that you are currently unmarried and your Heir is your brother, the King of Castille. Should you die at this point, you can keep playing as him since he is of your Dynasty. Yes, that means he would inherit León and be king of two Kingdoms...;x
EVTDESC107006;In the same screen, you can also see your Attributes and Traits, which represent your skills and personality.\n\nCharacters can also have an Ambition, which represents their current short term goal. Whenever an Ambition is fulfilled the character will get a reward, such as a Prestige or Piety bonus. Click on the 'Choose an Ambition'-button, look at your Ambitions and choose one.;x
EVTDESC107007;Although you do have a valid Heir of your Dynasty (your brother), having children of your own will ensure that there is a next generation of successors. Besides, your brother might die before you do. As soon as you have a son, he will be your new Heir. To produce legitimate children you need to get married! The Arrange Marriage view, found by clicking on your portrait, is a good tool for finding suitable spouses (it's the button with the two golden rings). You can also use the Character Browser in the bottom right corner of the screen to find more characters.;x
EVTDESC107008;When looking at potential spouses, there are a few things you should keep in mind: First, your spouse's Attributes will boost your own, so a skilled spouse is preferable. Secondly, marriages are the only way to secure Alliances in the game, so try to marry into the close family of rulers you want to ally. Third, you cannot marry children, but you can betroth them (though that will not yield any Attribute boost.) Right now it would be wise to marry a healthy adult woman of childbearing age.;x
EVTDESC107009;When you have found a good character to marry, right-click on their portrait to open the Diplomacy Menu. Here you may ask the Liege of your intended about the possibility of arranging a marriage. The Diplomacy Menu is the main way to interact with other characters. Go ahead and arrange the marriage!;x
EVTDESC107100;Congratulations on your marriage! While Alfonso is busy trying to get [Root.Spouse.GetFirstName] with child, you might want to select a new, family oriented Ambition.;x
EVTDESC107101;Your Realm consists of a number of Counties (the provinces on the map). Each County contains at least one Holding (Castle, City or Temple). By clicking on a County you can see - among other things - its Holdings. The Holdings held by you personally are collectively called your Demesne. Unfortunately, there is a limit to how many Holdings you can control directly. This value is shown in the top bar. If you have more Holdings than your limit, you will start to suffer serious penalties...;x
EVTDESC107102;The Demesne Limit is the reason you need Vassals! You can control more Holdings than your Demesne Limit allows indirectly through your Vassals. Your Vassals will give a part of their troop Levies and Taxes to you. There is a limit to how many Vassals you can have as well, which is why you might want to have fewer - but more powerful - Vassals. Vassals can also have Vassals, and so on. Vassals of the lowest rank (below Count, with a copper portrait frame) are not counted towards the Vassal Limit.;x
EVTDESC107103;You need to keep your Vassals happy, because their Opinion of you controls how much Tax and Levies they will give you. If they dislike you enough, they might even join rebellious Factions, which can lead to civil wars. Bishops (priestly vassals) who like the Pope more than you will actually send their Taxes to him instead! Opinions are represented by a number ranging from -100 to 100, and you can see exactly why they feel the way they do by hovering over the number.;x
EVTDESC107104;You currently have one unhappy Vassal. You can find this Vassal by clicking on your portrait and open the 'Vassals' tab. Try to increase the Opinion of this Vassal to a positive number. You can increase the Opinion of your Vassals towards you in several ways, for example by giving them more land (but do try to hold as much land as your Demesne Limit allows!). You can also give them an Honorary Title, or send them a gift. All this can be done in the Diplomacy Menu.;x
EVTDESC107202;Oh dear, it seems the ungrateful peasants of Salamanca have revolted against you! To deal with the Revolt, you need to raise your Levies. If you go to the Military View you will see the buttons that allow you to raise your Personal Levies and your Vassal Levies. By holding down Control when you click the button you will avoid raising levies in Counties with enemy troops.;x
EVTDESC107203;To move your Armies around, simply click on their Shield to select them and then right click on the Province you want them to go to. You can also select several Armies by holding down your left mouse button and dragging the mouse to create a selection box. It is wise to gather your troops together before attacking the enemy.;x
EVTDESC107204;When you have moved all your Armies to the same Province, select them all (by click-and-drag) and then click the Merge Troops button in the Army window to merge them into a single Army. You can also assign and change the Leaders of your Army by clicking on the name bar above each flank. Leaders can help you win battles, but there is always the risk of them getting injured or even killed.;x
EVTDESC107205;When attacking across a Strait or River, you will get a penalty for that fight. Click on a Province and hover over the River Icon (if any) to see on which border the Rivers and Straits are. Note that if the target Province is under siege, you will need to toggle from Siege View to Province View. Go ahead and crush the peasant rabble!;x
EVTDESC107250;You dealt with the Revolt nicely! Now that you are at peace, it would be wise to dismiss your Levies. Having raised Personal Levies will cost you money, and Vassals will get angry if you have their Levies raised for too long. You dismiss Levies in the Military tab, the same way they were raised.;x
EVTDESC107251;Now would be a good time to consider expanding your Realm. The easiest targets for military expansion are small neighboring realms. However, since you need to know about fleet operations, let's pick Canarias, a single County realm just off the coast of West Africa...;x
EVTDESC107252;In order to go to War in Crusader Kings II, you'll need a Casus Belli - a 'just cause'. A valid Casus Belli could be, for example, pressing a Claim on a Province that is rightfully yours, or waging a Holy War against infidels.;x
