#CODE;ENGLISH;x

EVTNAME60000;The Khan of Khans;x
EVTNAME60001;The Scourge Arrives;x
EVTNAME60002;The Golden Horde;x
EVTNAME60003;The Iron Khan;x
EVTNAME60010;The Ilkhanate Converts;x
EVTNAME60020;The Golden Horde Converts;x
EVTNAME60100;The Mongols sack Kiev!;x
EVTNAME60101;The Mongols sack Novgorod!;x
EVTNAME60102;The Mongols sack Krakow!;x
EVTNAME60103;The Mongols sack Aachen!;x
EVTNAME60104;The Mongols sack Paris!;x
EVTNAME60105;The Mongols sack London!;x
EVTNAME60106;The Mongols sack Rome!;x
EVTNAME60107;The Mongols sack Venice!;x
EVTNAME60108;The Mongols sack Constantinople!;x
EVTNAME60109;The Mongols sack Lisbon!;x
EVTNAME60110;The Mongols sack Smolensk!;x
EVTNAME60111;The Mongols sack Prague!;x
EVTNAME60112;The Mongols sack Vienna!;x
EVTNAME60113;The Mongols sack Esztergom!;x
EVTNAME60114;The Mongols sack Athens!;x
EVTNAME60115;The Mongols sack Belgrade!;x
EVTNAME60116;The Mongols sack Baghdad!;x
EVTNAME60117;The Mongols sack Damascus!;x
EVTNAME60118;The Mongols sack Jerusalem!;x
EVTNAME60119;The Mongols sack Alexandria!;x
EVTNAME60120;The Mongols sack Cairo!;x
EVTNAME60121;The Mongols sack Mecca!;x
EVTNAME60206;The Great Seljuk;x
EVTNAME60306;The Iron Khan;x
EVTNAME60406;Rise of the Ghaznavids;x
EVTNAME60500;The Mongols;x
EVTNAME60520;The Mongols;x

EVTDESC60000;My liege, vague rumors of an all-conquering menace have reached us from the far East. It seems that a Great Khan has united all the tribes of the vast steppes, leading millions of fierce horse warriors against the great cities of Cathay. In time, this new Khagan could pose a threat to the civilized world...;x
EVTDESC60001;My liege, the great Khagan has dispatched a numberless horde of barbarian horsemen against the lands of Central Asia and Eastern Persia. Appearing in Balkh, the heathen armies seem intent on conquering the Muslim world!;x
EVTDESC60002;My liege, another horde has been sent west by the terrible Khagan of the Mongols. This one - the 'Golden Horde' - has allegedly been ordered to conquer Europe all the way to the Atlantic Ocean!;x
EVTDESC60003;My liege, the great Khan Timur has gathered many of the horse clans of Central Asia under his banner, intent on creating an empire to rival that of the legendary Genghis Khan himself. His fearsome horde has been sighted in Khiva, poised to overrun the ancient realm of Persia.;x
EVTDESC60004;The Great Khagan has sent more warriors to aid our conquest!;x
EVTDESC60010;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the [catholic.GetName] faith!;x
EVTDESC60011;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Orthodox faith!;x
EVTDESC60012;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Sunni faith!;x
EVTDESC60013;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Shiite faith!;x
EVTDESC60014;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced Nestorian Christianity!;x
EVTDESC60100;The Mongol scourge has poured through the Golden Gates of Kiev and sacked the once proud trading hub. The city has been left a smoldering ruin and the Dnieper now runs red with the blood of its former inhabitants.;x
EVTDESC60101;Novgorod has been stormed by the Tartar horde and both the city and its population are now suffering beyond measure. The Cathedral of Saint Sophia is engulfed in flames as the steppe warriors loot that which can be carried away and put the rest to the torch.;x
EVTDESC60102;The Mongols continue their push beyond the Vistula and into Poland. Krakow has now fallen to the invaders, and it is said that at night the flames from the burning city can be seen from untold leagues away.;x
EVTDESC60103;Even Aachen, the former seat of Charlemagne's great Carolingian empire, has fallen under the shadow of the Mongol scourge. His spirit must surely be weeping at the atrocities now being committed within the city's walls.;x
EVTDESC60104;Like a swarm of locusts, the unstoppable Mongols have descended upon Paris and sacked the city. The still unfinished Notre Dame Cathedral is quickly set on fire and with the light provided by the rest of the burning city, the Mongol warriors can continue looting and murdering well into the night.;x
EVTDESC60105;Not even the sea has proved a formidable enough barrier to halt the Mongol advance. London has fallen to their vanguard and the city is now the scene of a slaughter on a scale unrivaled since the days of Queen Boudica and her rebellion. ;x
EVTDESC60106;Once more Rome suffers at the cruel hands of eastern barbarians. The Mongols have breached the Aurelian Walls, and their horses are now grazing on the field of the Circus Maximus while they raise their yurts on the Palatine Hill. As expected, no mercy is shown to those Romans who have not yet fled the city.;x
EVTDESC60107;The canals of Venice have been blocked by the bloated corpses of the dead as the city is sacked by frenzied Mongol warriors. Those few fortunate enough to have escaped the slaughter claim the bodies are packed tightly enough in the Venetian Lagoon for the Mongols to ride to and from the mainland as they please.;x
EVTDESC60108;The Theodosian Walls have not been enough to spare Constantinople from the vile touch of the Tartar scourge. The great imperial capital has been sacked, its citizens butchered or enslaved, the Hagia Sophia defiled and the Great Palace of the emperors put to the torch.;x
EVTDESC60109;The Mongols have now reached as far west as Lisbon in their conquests. While the city burns at their touch, the steppe warriors look out over the great blue expanse of the Atlantic. Who can tell where they will turn next?;x
EVTDESC60110;Smolensk has been swallowed up by the Mongol hordes as they continue their relentless advance to the west. When the great host finally moves on, little remains of the city but ashes and charred rubble, and those lucky few inhabitants who somehow escaped the notice of the rampaging horsemen.;x
EVTDESC60111;The city of Prague has become a beacon of light in an otherwise dark world, as the Mongol barbarians move from house to house and set fire to everything not yet looted. A flood of refugees spread horrific tales about the cruelty of the bloodthirsty Tartar horsemen to every corner of Europe.;x
EVTDESC60112;Vienna, a city of growing importance on the Danube river, has become the latest victim of the Mongol hordes as they continue to pillage and burn their way across Europe. The smoking ruins and arrow-riddled corpses they leave behind when they move on do not lend much faith in the city's future prospects.;x
EVTDESC60113;The Mongols have reached beyond the Carpathians and fanned out across the Great Hungarian Plain. Now the city of Esztergom has fallen to the murderous host and is the scene of indiscriminate slaughter. Those that attempt to flee on foot are cut down without mercy by the fast horsemen as dark, billowing smoke rises towards the sky above the city.;x
EVTDESC60114;The ancient city of Athens has fallen to the Mongols, and they now rampage unchecked behind its walls. Great monuments and artifacts dating back to the dawn of Western Civilisation are lost forever in a cultural desecration that will surely be felt by future generations thousands of years from now.;x
EVTDESC60115;The "White City" has turned red as the Mongol invaders seize Belgrade and massacre the inhabitants without exception. After several days of slaughter and looting, the smell of death and rotting flesh proves too much even for the Mongols to bear and they move their camp upwind from the scorched ruins of the city.;x
EVTDESC60116;The great city of Baghdad, one of the world's foremost centers of learning, has succumbed to the ravenous Mongol hordes after a siege. Nothing can sate their appetite for destruction it seems. The Tigris river runs not only red with blood, but black with the ink of priceless and irreplaceable tomes from the House of Wisdom and the city's other great libraries.;x
EVTDESC60117;Damascus, the ancient City of Jasmine, has been sacked by the advancing Mongols. They have gathered a colossal pile of severed heads on a field just outside the city walls, now renamed "burj al-ru'us" by the massacre's few survivors - the Tower of Heads.;x
EVTDESC60118;The Tartar infidels have sacked Jerusalem, spurring a moment of rare solidarity between members of all the city's different religions as they suffer equal horrors under the cruel yoke of the pagans.;x
EVTDESC60119;Not content with their vast empire surpassing Alexander the Great's in sheer size, the Mongol hordes are now laying waste to the city that is his namesake as well. Pompey's Pillar has been toppled, but at least the Pharos Lighthouse is spared when the Mongols deem it not worth the great effort it would require to raze it to the ground.;x
