#CODE;ENGLISH;x

EVTDESC_77800_A;My magnificent pet owl has finally taken her last breath. Although I have been her guardian for a long time, now when it is time to send her off, I realize that perhaps she has also been watching over me?;x
EVTDESC_77800_B;My owl won't wake up. They tell me she has moved on to the next world, but why would she not tell me?;x
EVTDESC_77801_A;A servant gasps as I throw myself from the balcony. Wind in my hair, I soar through the air and it feels like it goes on forever. The landing I make is soft - I'm surrounded by hay! A pigeon looks at me skeptically.;x
EVTDESC_77801_B;A servant gasps as I step off from the balcony. He does not know I can fly! The air caresses my cheek as I am carried forward by the wind, with incredible speed!;x
EVTDESC_77802_A;My magnificent cat curled up in its favorite spot by the window last night. I think now that maybe it knew it did not have long left in this world. At least it went peacefully.\n;x
EVTDESC_77802_B;They tell me my cat left to visit one of my distant aunts. Apparently, this aunt has a nice house in the country and my cat will be very happy there, roaming the wilderness, playing with a bunch of other cats.;x
EVTDESC_77803;The guard nods hesitantly and somewhat sullenly walks away. "Don't argue!" I yell after him, as he disappears down the corridor.\nNow that I think about it, I never smelled any smoke, and later I find a small grave behind the stables!;x
EVTDESC_77851;Lately I have had reasons to believe that [cat_hater.GetFirstName] has less than warm feelings for my feline companion. Today my suspicions were confirmed as [cat_hater.GetSheHe] threw a fit when the cat drank from [cat_hater.GetHerHis] cup! [cat_hater.GetSheHeCap] demands that I get rid of my pet.;x
EVTDESC_77852;Today I decided to go and visit my cat at [From.GetTitledFirstName]'s residence. When I arrived I found [From.GetHerHim] playing most enthusiastically with the little furball. I watched them for several minutes before I announced myself.;x
EVTDESC_77852_dog;Today I decided to go and visit my dog at [From.GetTitledFirstName]'s residence. When I arrived I found them playing together most enthusiastically. I watched them for several minutes before I announced myself.;x
EVTDESC_77853;Today I decided to go and visit my cat at [From.GetTitledFirstName]'s residence. However, when I arrived, [From.GetSheHe] could not produce the feline. When I angrily demanded to know the truth [From.GetSheHe] admitted to having gotten rid of the cat a few days earlier.;x
EVTDESC_77853_dog;Today I decided to go and visit my dog at [From.GetTitledFirstName]'s residence. However, when I arrived, [From.GetSheHe] could not produce the canine. When I angrily demanded to know the truth [From.GetSheHe] admitted to having gotten rid of the dog a few days earlier.;x
EVTDESC_77854;Things have been tense between [cat_hater.GetFirstName] and I since [cat_hater.GetSheHe] threw the tantrum the other today. [cat_hater.GetSheHeCap] has grown more and more irritated. Today it culminated in a harsh ultimatum – I must make a choice between [cat_hater.GetSheHe] and the cat.;x
