COMPL_AFFABLE;affable;x # male - gregarious
COMPL_ARCHITECT;architect;x # male female - architect
COMPL_AUDACIOUS;audacious;x # male female - adventurer
COMPL_AUGUSTUS;Augustus;x # male female - augustus
COMPL_BEAUTY;beauty;x # female - fair
COMPL_BERSERKER;berserker;x # male female - berserker
COMPL_BLADEMASTER;blademaster;x # male - duelist
COMPL_BRAVE;brave;x # male female - brave
COMPL_BRILLIANT;brilliant;x # male female - genius
COMPL_CHAMPION;champion;x # female - duelist
COMPL_CHARMER;charmer;x # male - seducer
COMPL_CHARMING;charming;x # male seducer
COMPL_CHASTE;chaste;x # male female - chaste
COMPL_CLEVER;clever;x # male female child - genius...
COMPL_CONQUEROR;conqueror;x # male female - adventurer
COMPL_CRUSADER;Crusader;x # male female - crusader
COMPL_DEAR;dear;x # male female
COMPL_DEMURE;demure;x # female - shy
COMPL_DEVIL;devil;x # female - arbitrary
COMPL_DILIGENT;diligent;x # male female - diligent
COMPL_ELOQUENT;eloquent;x # male female - (diplomacy)
COMPL_ENCHANTRESS;enchantress;x # female - seductress
COMPL_FAIR;fair;x # female - fair
COMPL_FAQIH;Faqih;x # male female - faqih
COMPL_FETCHING;fetching;x # female - gregarious
COMPL_FORTHRIGHT;forthright;x # female - honest
COMPL_FRUGAL;frugal;x
COMPL_GENIUS;genius;x # male female - genius
COMPL_GOOD;good;x # male female - timid charitable \ zealous honest child
COMPL_GREAT;great;x
COMPL_HAFIZ;Hafiz;x # male female - hafiz
COMPL_HAJJAJ;Hajjaj;x # male female - hajjaj
COMPL_HANDSOME;handsome;x # male - fair
COMPL_HERO;hero;x # child - gregarious
COMPL_HOLY_WARRIOR;holy warrior;x # male female - holy_warrior
COMPL_HUMBLE;humble;x # male female - humble
COMPL_HUNTMASTER;huntmaster;x # male - hunter
COMPL_IMPISH;impish;x # female - arbitrary
COMPL_JUST;just;x # male female - just
COMPL_KAILASH_GUARDIAN;Guardian;x
COMPL_KINDHEARTED;kindhearted;x # female - kind
COMPL_KINDLY;kindly;x # male - kind
COMPL_LADY;lady;x
COMPL_LEARNED;learned;x # male female - physician theologian
COMPL_LEVELHEADED;levelheaded;x # male - temperate
COMPL_LORD;lord;x
COMPL_LOVELY;lovely;x # male female - playful
COMPL_MAGNIFICENT;magnificent;x
COMPL_MIRZA;mirza;x # male female - mirza
COMPL_MONK;monk;x # male
COMPL_MUJAHID;Mujahid;x # male female - mujahid
COMPL_MYSTIC;mystic;x # male female - mystic
COMPL_NICE;nice;x # shy gregarious just child (diplomacy) \ lustful female
COMPL_NUN;nun;x # female
COMPL_PILGRIM;pilgrim;x # male female pilgrim
COMPL_PIRATE;pirate;x # male female - viking ravager seaking sea_queen
COMPL_PLEASANT;pleasant;x # female - temperate
COMPL_POET;poet;x # male female - poet
COMPL_PRETTY;pretty;x # child - fair
COMPL_PROUD;proud;x # male female - proud haughty
COMPL_PURPLE_BORN;purple-born;x # male female - born_in_the_purple
COMPL_RAFFISH;raffish;x # male - arbitrary
COMPL_RAVISHING;ravishing;x # female - seductress
COMPL_RIGHTEOUS;righteous;x # male female - zealous (religious warriors)
COMPL_ROGUE;rogue;x # male - arbitrary
COMPL_SAOSHYANT;Saoshyant;x # male female - saoshyant
COMPL_SAYYID;Sayyid;x # male - sayyid
COMPL_SAYYIDA;Sayyida;x # female - sayyid
COMPL_SCHOLAR;scholar;x # male female - physician theologian erudite
COMPL_SEDUCER;seducer;x # male - seducer
COMPL_SINCERE;sincere;x # male - honest
COMPL_SMARTY;smarty;x # child - genius mystic scholar arbitrary
COMPL_STRONG;strong;x # male - strong robust
COMPL_SWEET;sweet;x # male female - affectionate
COMPL_THRIFTY;thrifty;x # male female - (stewardship)
COMPL_VALHALLA_BOUND_FEMALE;Daughter of Odin;x
COMPL_VALHALLA_BOUND_MALE;Son of Odin;x
COMPL_VALKYRIE;valkyrie;x # female
COMPL_VIKING;viking;x # male female
COMPL_VIKING_adj;viking;x
COMPL_VIRTUOUS;virtuous;x # male female - celibate
COMPL_VIVACIOUS;vivacious;x # lustful
COMPL_WISE;wise;x # male female - erudite faqih
COMPL_WIT;wit;x # male female - gregarious
COMPL_WRY;wry;x # male female - cynical
DIPLOFLAVOR_FLATTERY_0;Blessings upon you and your House.;x
DIPLOFLAVOR_FLATTERY_1;Your wisdom and mercy are legendary.;x
DIPLOFLAVOR_FLATTERY_2;Peace be with you.;x
DIPLOFLAVOR_FLATTERY_3;May you live in harmony and contentment.;x
DIPLOFLAVOR_INSULT_0;Tales of your misdeeds are told from Ireland to Cathay.;x
DIPLOFLAVOR_INSULT_1;Your low character is the subject of Greek plays.;x
DIPLOFLAVOR_INSULT_2;May your humors rot in your living body.;x
DIPLOFLAVOR_INSULT_3;May your years be short and miserable.;x
DIPLOFLAVOR_INSULT_4;May wisdom ever elude you.;x
DIPLOFLAVOR_INSULT_muslim_0;Damn your seventh grandfather.;x
DIPLOFLAVOR_INSULT_muslim_1;May you be sewn up alive in the belly of a dead camel.;x
DIPLOFLAVOR_INSULT_muslim_2;May Allah destroy your house.;x
DIPLOFLAVOR_INSULT_muslim_3;You child of a mangy dog.;x
INSULT_ABOMINATION;abomination;x #noun - male - inbred
INSULT_ARROGANT;arrogant;x # male female - haughty
INSULT_BASEBORN;baseborn;x # male female - legit_bastard
INSULT_BASTARD;bastard;x #noun - male female - bastard
INSULT_BAT;bat;x #noun - female - lunatic
INSULT_BESOTTED;besotted;x # male female - drunkard
INSULT_BIGOT;bigot;x #noun -HARDCODED
INSULT_BIGOTED;bigoted;x #HARDCODED
INSULT_BLABBERER;blabberer;x #noun - male female - socializer
INSULT_BLATHERING;blathering;x # male female - erudite
INSULT_BLIND;blind;x # male female child - one_eyed blind
INSULT_BLOATED;bloated;x
INSULT_BOOKWORM;bookworm;x #noun - male female - scholar theologian physician
INSULT_BORE;bore;x #noun - male female child - zealous conscientious physician brooding erudite temperate scholar
INSULT_BRAT;brat;x #noun - male female - haughty
INSULT_BRUTE;brute;x #noun - male - cruel
INSULT_CALLOUS;callous;x # female - cruel
INSULT_CANNIBAL;cannibal;x #noun - male female - cannibal
INSULT_CANNIBALISTIC;man-eating;x # male female - cannibal
INSULT_CHILD;child;x #noun -HARDCODED
INSULT_CLEFT_LIPPED;cleft-lipped;x # male female - harelip
INSULT_CLINGY;clingy;x # male female - affectionate
INSULT_CLOWN;jester;x #noun -HARDCODED
INSULT_CLUBFOOT;clubfoot;x #noun - male female - clubfooted
INSULT_CORPSE;corpse;x
INSULT_CORRUPT;corrupt;x # female - (bad_priest)
INSULT_COVETOUS;covetous;x # male - greedy
INSULT_COW;cow;x #noun -HARDCODED
INSULT_COWARD;coward;x #noun - male female - craven in_hiding
INSULT_COY;coy;x # female - shy
INSULT_CRAVEN;craven;x # male - craven
INSULT_CRAZED;crazed;x # female lunatic \ male female berserker
INSULT_CRAZY;crazy;x # child - lunatic homosexual hedonist berserker rowdy
INSULT_CREEPY;creepy;x # male female timid brooding \ lustful child
INSULT_CRIPPLE;cripple;x #noun - male female child
INSULT_CROOKED;crooked;x # male female - hunchback
INSULT_CRUEL;cruel;x # male - cruel
INSULT_CRUMMY;crummy;x # child - adventurer (bad_priest)
INSULT_CURSED;cursed;x
INSULT_DEBASED;debased;x # female - seductress
INSULT_DEBAUCHER;debaucher;x #noun - male female hedonist
INSULT_DECADENT;decadent;x # male female - decadent bad_priest_christian bad_priest_muslim bad_priest_tengri bad_priest_zoroastrian
INSULT_DECAYING;decaying;x # male female - bubonic_plague
INSULT_DECEITFUL;deceitful;x # male female - deceitful
INSULT_DEGENERATE;degenerate;x # female - hedonist
INSULT_DEMENTED;demented;x # male - lunatic
INSULT_DEMONIC;demonic;x # female - possessed
INSULT_DESERT_RAT;desert rat;x #noun -male female - desert_terrain_leader
INSULT_DEVIL;devil;x #noun - child - cynical mystic excommunicated possessed
INSULT_DEVIL_WOMAN;devil-woman;x #noun - female - possessed
INSULT_DIM;dim;x # male - dull slow
INSULT_DODDERER;dodderer;x #noun - male - infirm
INSULT_DONKEY;donkey;x #noun - child - patient
INSULT_DRIVELING;driveling;x # male female - (ecclesiastical)
INSULT_DRUNKARD;drunkard;x #noun - male female - drunkard
INSULT_DULLARD;dullard;x #noun - male - dull slow
INSULT_DWARF;dwarf;x #noun - male female - dwarf
INSULT_EFFEMINATE;effeminate;x # male - homosexual
INSULT_ENVIOUS;envious;x # male female - envious
INSULT_ERRATIC;erratic;x # male female - arbitrary
INSULT_EUNUCH;eunuch;x #noun - male - eunuch
INSULT_EVIL;evil;x # male female impaler \ excommunicated child
INSULT_FALTERING;faltering;x # male female - lisp
INSULT_FANATIC;fanatic;x #noun - male female - (religious warriors)
INSULT_FARTMASTER;fartmaster;x # child - decadent
INSULT_FATPIG;fat pig;x
INSULT_FIEND;fiend;x #noun - female - cruel
INSULT_FILTHY;filthy;x #HARDCODED
INSULT_FLABBY;flabby;x # child - gluttonous
INSULT_FLOPPY;floppy;x # child - affectionate
INSULT_FOOL;fool;x #noun - male female - trusting
INSULT_FOUL;foul;x #HARDCODED
INSULT_FREAK;freak;x #noun - male female child - disfigured
INSULT_FRIGID;frigid;x # female - celibate
INSULT_GLUTTON;glutton;x #noun - male female - gluttonous
INSULT_GODLESS;godless;x # male female - excommunicated mystic
INSULT_GORGING;gorging;x # male female - gluttonous
INSULT_GORGON;gorgon;x #noun - female - ugly
INSULT_GRABBING;grabbing;x # male female - adventurer
INSULT_GRASPING;grasping;x # female - ambitious
INSULT_GROTESQUE;grotesque;x #noun - male - ugly
INSULT_GROUCHY;grouchy;x # child - paranoid haughty
INSULT_GROVELING;groveling;x # male female - humble
INSULT_GRUMBLER;grumbler;x #noun - male female - depressed
INSULT_GULLIBLE;gullible;x # male female - trusting
INSULT_HARELIP;harelip;x #noun - male female - harelip
INSULT_HARPY;harpy;x
INSULT_HARRIDAN;harridan;x #noun - female - wroth
INSULT_HAYBRAIN;haybrain;x #noun - child - hedonist
INSULT_HEINOUS;heinous;x # male female child - disfigured
INSULT_HERESIARCH;heresiarch;x #noun - male female - heresiarch
INSULT_HERETIC;heretic;x #noun -HARDCODED
INSULT_HIDEOUS;hideous;x # female inbred / male female ugly
INSULT_HUNCHBACK;hunchback;x #noun - male female - hunchback
INSULT_IDIOT;idiot;x # male female child - imbecile
INSULT_IDLER;idler;x #noun - slothful
INSULT_IMBECILE;imbecile;x #noun - male female - imbecile
INSULT_INDOLENT;indolent;x # male female - slothful
INSULT_INFIDEL;infidel;x #noun -HARDCODED
INSULT_INSTIGATOR;instigator;x #noun - male female - schemer
INSULT_INVALID;invalid;x #noun - male female child - (illness)
INSULT_JUNGLE_SNAKE;jungle snake;x #noun - male female - jungle_terrain_leader
INSULT_KINSLAYER;kinslayer;x #noun - male female - kinslayer
INSULT_LAZY;lazy;x # child - decadent slothful
INSULT_LECHER;lecher;x #noun - male - lustful
INSULT_LECHEROUS;lecherous;x # male - lustful
INSULT_LEFTHANDED;left-handed;x
INSULT_LEPER;leper;x #noun - male female - leper
INSULT_LESBIAN;lesbian;x #noun - female homosexual
INSULT_LIMPING;limping;x # male female child - clubfooted one_legged gout
INSULT_LISPER;lisper;x #noun - male female - lisp
INSULT_LITTLE;little;x # male female dwarf
INSULT_LOVER_OF_HEATHENS;lover of heathens;x #noun - male female - (sympathy_)
INSULT_LOWBORN;lowborn;x # male female - peasant_leader
INSULT_LUGUBRIOUS;lugubrious;x # male female - depressed
INSULT_LUNATIC;lunatic;x #noun - male lunatic \ male female berserker
INSULT_MAIMED;maimed;x # male female child - one_handed mangled
INSULT_MANIAC;maniac;x #noun - male female child - rabies
INSULT_MEANIE;meanie;x #noun - child - wroth
INSULT_MISERLY;miserly;x # male female - (stewardship)
INSULT_MONGREL;mongrel;x #noun -HARDCODED
INSULT_MONSTROUS;monstrous;x # male - inbred
INSULT_MULE;mule;x #noun - male female - stubborn willful
INSULT_NARROWMINDED;narrow-minded;x # male female - zealous (religious warriors)
INSULT_NASTY;nasty;x # child - zealous
INSULT_NITWIT;nitwit;x #noun - female - dull slow
INSULT_OCCULTIST;occultist;x #noun - male female - mystic
INSULT_OLD;old;x #HARDCODED
INSULT_PARANOID;paranoid;x # male female - paranoid
INSULT_PEABRAIN;peabrain;x #noun - child - adventurer heresiarch imbecile homosexual
INSULT_PEASANT;peasant;x #noun - male - peasant_leader
INSULT_PEASANT_WOMAN;peasant woman;x #noun - female - peasant_leader
INSULT_PERVERTED;perverted;x # male - hedonist
INSULT_PIGFACE;pigface;x #noun - child - chaste gluttonous
INSULT_PIGHEADED;pigheaded;x # male female - stubborn willful
INSULT_POX_RIDDEN;pox-ridden;x # male female child - pox
INSULT_PRUDE;prude;x #noun - male - chaste
INSULT_PRUDISH;prudish;x # female - chaste
INSULT_PRUNE;prune;x #noun - female - chaste
INSULT_PUTRID;putrid;x # male female child - dysentery food_poisoning
INSULT_RABID;rabid;x # male female child - rabies
INSULT_RAGING;raging;x # male - wroth
INSULT_RAPACIOUS;rapacious;x # male - ambitious
INSULT_RENEGADE;renegade;x #noun - male female - excommunicated
INSULT_ROUGH;rough;x
INSULT_RUFFIAN;ruffian;x #noun - male female - rowdy
INSULT_SAPPHIC;sapphic;x # female homosexual
INSULT_SCARECROW;scarecrow;x #noun - male female child - (bad_priest)
INSULT_SCATTERBRAIN;scatterbrain;x #noun - male female - arbitrary
INSULT_SCHEMING;scheming;x # male female - (schemer)
INSULT_SCURRYING;scurrying;x #HARDCODED
INSULT_SENILE;senile;x # male female - infirm
INSULT_SICKLY;sickly;x # male female child - (illness)
INSULT_SILLY;silly;x # child - eunuch socializer
INSULT_SMELLY;smelly;x # male female child - typhus bubonic_plague
INSULT_SNEAK;sneak;x #noun - male female child
INSULT_SNEAKING;sneaking;x # male female - in_hiding
INSULT_SODOMITE;sodomite;x #noun - male - homosexual
INSULT_SOFT;soft;x # male - kind
INSULT_SOW;sow;x
INSULT_SPIDER;spider;x #noun - male female - patient
INSULT_SPINELESS;spineless;x # male female - content
INSULT_SQUINTEYED;squint-eyed;x # male female - scholar theologian physician
INSULT_STARVED;starved;x
INSULT_STUPID;stupid;x # child -
INSULT_STUTTERING;stuttering;x # male female - stutter
INSULT_SYBARITE;sybarite;x #noun - male female - decadent
INSULT_SYPHILITIC;syphilitic;x # male female - great_pox
INSULT_TADPOLE;tadpole;x #noun -HARDCODED
INSULT_TEMPTRESS;temptress;x #noun - female - seductress
INSULT_TICK;tick;x #noun - male female - affectionate
INSULT_TIMID;timid;x # male - shy
INSULT_TORTURER;torturer;x #noun - male female - impaler
INSULT_TREEHUGGER;treehugger;x #noun - male female - gardener
INSULT_TROLL;troll;x #noun - inbred lustful cruel berserker haughty child \ ugly female
INSULT_TROLLOP;trollop;x #noun - female - lustful
INSULT_TWOFACED;two-faced;x # male female - (diplomacy)
INSULT_UGLY;ugly;x # child - great_pox leper ugly inbred
INSULT_UNBELIEVER;blasphemer;x
INSULT_UNCLEAN;unclean;x # male female - leper
INSULT_UNMANLY;unmanly;x # male - celibate
INSULT_UNMANNED;unmanned;x # male - eunuch
INSULT_UNPRINCIPLED;unprincipled;x # male female - (sympathy_)
INSULT_UPSTART;upstart;x #noun - male female - adventurer
INSULT_USELESS;useless;x # male female
INSULT_VACUOUS;vacuous;x # female - dull slow
INSULT_VEGETABLE;vegetable;x #noun - male female - sick_incapable incapable
INSULT_VENAL;venal;x # female - greedy
INSULT_VILE;vile;x #HARDCODED
INSULT_WANTON;wanton;x # female - lustful
INSULT_WARLOCK;warlock;x #noun - male - possessed
INSULT_WEAKLING;weakling;x
INSULT_WEIRD;weird;x # child - mystic
INSULT_WHOREMONGER;whoremonger;x #noun - male - seducer
INSULT_WHORING;whoring;x # male - seducer
INSULT_WICKED;wicked;x # child - impaler deceitful ambitious arbitrary cruel
INSULT_WILD;wild;x # male female - rowdy
INSULT_WINDBAG;windbag;x #noun - male female - erudite
INSULT_WITHERING;withering;x # male female child - cancer
INSULT_WORM;worm;x #noun -male female - idolizer
INSULT_WUSSY;wussy;x # female child - craven
