# GetStActivity
string_rp_bloodline;Forging a bloodline as ;x
string_rp_bloodthirsty_gods_1;Sacrificing people as ;x
string_rp_bloodthirsty_gods_2;Sacrificing a lot of people as ;x
string_rp_bloodthirsty_gods_3;Sacrificing everyone as ;x
string_rp_book;Writing a book as ;x
string_rp_cannibal;Having friends for dinner as ;x
string_rp_content;Enjoying life as ;x
string_rp_craven;Feeling terrified as ;x
string_rp_crazy_cannibal;Eating friends for dinner as ;x
string_rp_crusading;On a Crusade as ;x
string_rp_drinking;Getting drunk as ;x
string_rp_friends;Making friends as ;x
string_rp_gardener;Tending a garden as ;x
string_rp_ghw;On a Great Holy War as ;x
string_rp_gluttonous;Eating a lot as ;x
string_rp_greedy;Counting coins as ;x
string_rp_hoarding_gold;Hoarding gold as ;x
string_rp_horse;Horsing around as ;x
string_rp_immortal;Ruling Forever as ;x
string_rp_impaler;Oiling up the racks as ;x
string_rp_kinslayer;Culling their Family as ;x
string_rp_kow_tow;Kowtowing to the Emperor as ;x
string_rp_lodge;Fighting in a Warrior Lodge as ;x
string_rp_metalhand;Ruling with an iron fist as ;x
string_rp_paranoid;Trusting no one as ;x
string_rp_pilgrimage;On a pilgrimage as ;x
string_rp_plague;Dying of the plague as ;x
string_rp_poet;Writing poetry as ;x
string_rp_prison;Rotting in prison as ;x
string_rp_random_world;Exploring a Random World as ;x
string_rp_religion_head;Ruling the [Root.Religion.GetName] faith as ;x
string_rp_rivals;Making enemies as ;x
string_rp_rome;Restoring the Glory of Rome as ;x
string_rp_ruling_poorly;Ruling poorly as ;x
string_rp_sacred_xwedodah;Practicing sacred Xwedodah as ;x
string_rp_seduction;Seducing people as ;x
string_rp_shattered_world;Uniting a Shattered World as ;x
string_rp_stressed;Stressing out as ;x
string_hunting_with_their_dog;Hunting with their dog as ;x
string_taking_advice_from_their_cat;Taking advice from their cat as ;x
string_taming_an_eagle;Taming an eagle as ;x
string_riding_a_horse;Riding a horse as ;x
string_keeping_a_pet_owl;Keeping a pet owl as ;x
string_refusing_to_die;Refusing to die as ;x
string_dueling_for_their_life;Dueling for their life as ;x
string_provoking_enemies;Provoking their enemy as ;x
string_ruling;Ruling as ;x
