# Vanilla
alcohol_gift_decision;Send Alcohol Gift;x
alcohol_gift_decision_desc;As you have a §YBrewery§!, you can send [Root.GetTitledFirstName] a [Root.GetAlcoholContainerType] of [Root.GetAlcohol].;x
ask_help_to_manage_titles;Ask for Help with Managing your Titles;x
ask_help_to_manage_titles_desc;Ask your chancellor to help you take care of your newly acquired titles.;x
become_genghis_khan;Become Greatest of Khans;x
become_genghis_khan_desc;A Mongolian ruler who manages to unite the clans of the Great Steppe may claim the title of Genghis Khan, Greatest of Khans. While unifying the people of the step is quite a challenge, fullfilling the prophecy of ultimately becoming the leader of the world may prove to be even harder.;x
become_genghis_khan_tribal;Become Greatest of Khans;x
become_genghis_khan_tribal_desc;A Mongolian ruler who manages to unite the clans of the Great Steppe may claim the title of Genghis Khan, Greatest of Khans. While unifying the people of the steppe is quite a challenge, fullfilling the prophecy of ultimately becoming the leader of the world may prove to be even harder.;x
buy_indulgence_for_sins;Buy Indulgence for my Sins;x
buy_indulgence_for_sins_desc;Send a letter to the Pope in the hope of getting our sins forgiven and increasing our piety.;x
celibate_mom_dec;Become Celibate;x
celibate_mom_dec_desc;I have faced a particularly troublesome pregnancy. The next one could be lethal. Maybe it would be best to abstain rather than risk death.;x
come_out_of_hiding;Come out of Hiding;x
come_out_of_hiding_desc;Once the threatening danger is over, I may go out of hiding and return to public life.;x
commit_suicide;Commit Suicide;x
commit_suicide_desc;Your depression has gotten the better of you and you have decided to end it all.;x
conscript_merchant_ships;Conscript Merchant Ships;x
conscript_merchant_ships_desc;With holdings overseas, my realm has a quite a bit of merchant shipping that can be conscripted in times of war - for a tidy sum of gold, of course...;x
convert_to_andalusian;Embrace Andalusian Culture;x
convert_to_andalusian_desc;Southern Spain is a melting pot of old and new, Christian and Muslim, Iberian and Arabic. Out of all this, a new Andalusian identity is emerging. Perhaps it is time we recognized it as our own...;x
convert_to_attacker_religion;Convert to Attacker's Religion;x
