caught_with_forgery;Forgery Discovered;x
ate_beating_heart;Heart-Eater;x
religious_tolerance;Religious Tolerance;x
religious_tolerance_desc;The Ruler has given signs of Religious Tolerance to the population.;x
weak_leader_modifier;Weak Leader;x
weak_leader_modifier_desc;Could not control [GetHerHis] own troops.;x
strong_leader_modifier;Strong Leader;x
strong_leader_modifier_desc;Does not tolerate indiscipline in the army.;x
plundering_leader_modifier;Plundering Leader;x
plundering_leader_modifier_desc;Likes to sack and plunder.;x
burghers_appeased;Burghers Appeased;x
burghers_appeased_desc;This ruler respects the third estate, and has won their favor.;x

# Hardcoded
the_dungeon;In the Dungeon;x
the_oubliette;In the Oubliette;x
house_arrest;Under House Arrest;x
truce_breaker;Truce Breaker;x
nomad_agitation;Nomad Agitation;x
nomad_agitation_desc;This county used to belong to free-spirited nomads. The formerly nomadic population of the county is displeased with having to stay in one place.;x
negative_money;Lack of Funds;x
negative_money_desc;Our coffers are empty and we cannot afford to pay our troops properly.;x

# Character relations modifiers
promised_a_title;Promised a Title;x
promised_a_marriage;Promised a Marriage;x

# Medieval Legends Events
the_merciful;Merciful;x
the_bountiful;Bountiful;x
illumination;Illumination;x
aspiring_poet;Aspiring Poet;x
aspiring_duelist;Aspiring Duelist;x
aspiring_falconer;Aspiring Falconer;x
aspiring_hunter;Aspiring Hunter;x
sweet_temptation;Sweet Temptation;x
stay_strong;Stay Strong;x
no_green_man;No Green Man;x
dead_green_man;Dead Green Man;x
hidden_green_man;Hidden Green Man;x
headof_green_man;The Head of The Green Man;x
green_man;Green Man;x
green_mans_ghost;The Ghost of the Green Man;x
noble_heart;Noble Heart;x
fear_of_the_stag;Fear of the Stag;x
fear_of_the_stag_desc;Some call you craven for your wise decision to avoid the unusually large stag. Still those fools have never counted up the number of nobles killed and injured in hunting accidents every year.;x
a_mighty_trophy;A Mighty Trophy;x
a_mighty_trophy_desc;The head of the mighty stag now hangs proudly above your fireplace and word has spread far and wide about your prowess with arms.;x
one_celibate;Pleasures in the after-life: Celibacy;x
one_hedonist;Pleasures in life: Hedonism;x
true_christian_knight;True Christian Knight;x
true_christian_knight_desc;Bravery and no mortal sins gives a true Christian knight respect from the church.;x
diligent_on_cost;Diligent on Cost;x
diligent_on_time;Diligent on Time;x
diligent_liege_morale;Diligent Liege;x
diligent_liege_size;Diligent Liege;x
mercy_to_sinners;Mercy to Sinners;x

# Married Life
unrighteous_spouse;Unrighteous Spouse;x
offended_moneylenders;Offended Moneylenders;x
offended_moneylenders_desc;Has horribly offended the moneylenders, causing harm to the whole economy.;x
diplomacy_advice;Diplomacy Advice;x
martial_advice;Martial Advice;x
stewardship_advice;Stewardship Advice;x
intrigue_advice;Intrigue Advice;x
learning_advice;Learning Advice;x
for_the_sake_of_love;For the sake of love;x

# Trait effects
chaste_learning;Chastity Learning;x
defer_to_church_decision;Defers to Church;x

# Feudal Life
imprison_lawbreakers;Imprison Lawbreakers;x
kill_lawbreakers;Kill Lawbreakers;x
modifier_witch;Found a Witch!;x
tortured_witch;Tortured Witch;x
punish_cook;Punish the Cook;x
the_strong;Strong;x
spy_imprison;A Spy in your Prison;x
the_content;The Contented One;x
the_fainthearted;Fainthearted;x
mod_poachers;Poachers;x
the_cynical;Cynical;x
the_pompous;Pompous;x
the_pitiful;Pitiful;x
the_judger;Just;x
mod_ashamed;Ashamed;x
the_greedy;Greedy One;x
the_suspicious;Suspicious;x
the_kind;Kind;x
the_sullen;Sullen;x
the_prude;Prude;x
the_reveller;Reveller;x
the_compassionate;Compassionate;x
church_unfunny;Unfunny Church;x
mod_confused;Confused;x
the_vicious;Vicious;x
the_impaler;Impaler;x
the_gardener;Gardener;x
kings_stipend;The King's Stipend;x
emperors_stipend;The Emperor's Stipend;x
wine_meat;Wine and Meat;x
modifier_positive;Positive Trait;x
modifier_negative;Negative Trait;x
mod_interrogated;Interrogated;x
interrogation_success;Successful interrogation of prisoner!;x
evil_rumours;Evil Rumors;x
iron_shackles;Iron Shackles;x
lighter_shackles;Lighter Shackles;x
no_shackles;No Shackles;x
master_builder;Master Builder;x
sabotaged_building;Sabotaged Building;x
great_inventor;Great Inventor;x
secret_mil_invention;Secret Military Invention;x
the_idle;Idle;x
slothful_ruler;Slothful Ruler;x
levy_reinforcements;Levy Reinforcements;x
unintentional_saboteur;Unintentional Saboteur;x
missing_reinforcements;Lost Reinforcements;x
the_perturbed;Perturbed;x
the_apologetic;Apologetic;x
the_sincere;Sincere;x
the_regretful;Regretful;x
the_cruel;Cruel;x
the_bookaddict;Book Addict;x
the_bibliophage;Bibliophage;x
flower_power;Power of Flowers;x
the_naturalist;Naturalist;x
the_natural_addict;Nature Addict;x
magnanimous_person;Magnanimous Person;x
the_paranoid;Paranoia;x
mod_bloodlust;Bloodlust;x
intriguing_book;Intriguing Book;x
esoteric_religion;Esoteric Religion;x
the_pious;Pious;x
the_curious;Curious;x
the_alchemist;Alchemist;x
brazen_bull;Brazen Bull;x
tortured_prisoner;Tortured;x
master_impaler;Master Impaler;x
mother_daughter;Such mother, such daughter;x
father_son;Such father, such son;x
mother_son;Such mother, such son;x
father_daughter;Such father, such daughter;x
master_duelist;Master Duelist;x
averted_duel;Averted Duel;x
the_dour_duellist;Dour Duellist;x
master_hunter;Master Hunter;x
wild_hunter;Wild Hunter;x
tortured;Tortured;x
the_ruthless;Ruthless;x
the_eager;Eager;x
the_amiable;Amiable;x
the_naive;Naïve;x
big_spender;Spending Money on Baubles;x

# on_action
war_knowledge;War Knowledge;x
war_knowledge_desc;This community is working hard on military technological innovation.;x

# Province
recent_revolt;Recent Revolt;x
religious_tension;Religious Tension;x
force_converting;Forced Conversion;x
heretic_stronghold;Heretic Stronghold;x
high_taxes;High Taxes;x
incompetent_rule;Incompetent Ruler;x
thieves_guild;Thieves' Guild;x
thieves_guild_desc;The amount of thieves preying upon the people of this county is enormous.;x
smugglers_ring;Smugglers' Ring;x
smugglers_ring_desc;Smugglers infest the area.;x
highway_robber_band;Highway Robber Band;x
highway_robber_band_desc;A large band of robbers is prowling the countryside.;x

excessive_bureaucracy;Excessive Bureaucracy;x
suspected_impaler;Suspected Impaler;x
student_of_language;Student of Language;x
multilingual;Multilingual;x
multilingual_desc;This [GetGirlWomanBoyMan] has mastered many languages.;x
bad_breath;Bad Breath;x
sanctuary;Sanctuary;x
sanctuary_desc;It has been declared that this [GetGirlWomanBoyMan]'s home is built on holy ground.;x
harbour_the_homeless;Harboring the homeless;x
appeased_religious;Blessed People;x
appeased_religious_desc;The people living in this county feel that they and their ruler are blessed by God. They are therefore less likely to revolt.;x
prepared_home;Home Defense;x
prepared_home_desc;This [GetGirlWomanBoyMan] has had [GetHerHis] home prepared to make it hard to sneak around unnoticed.;x
guard_dogs;Guard Dogs;x
guard_dogs_desc;This [GetGirlWomanBoyMan] has acquired dogs trained to identify strangers sneaking around.;x
realm_religious_fervor;The entire realm is gripped by religious fervor and an unquestioning belief in the ruler's divine mandate.;x

neglected_development;Neglected development.;x
peasants_protected;Subjects Are Feeling Protected;x
merchants_unhappy;The merchants are unhappy;x
temple_corruption;Temple Corruption;x
local_death_cult;Local Death Cult;x

pyramid;Pyramid;x
trade_route;Trade Route;x
trade_route_desc;This county has a thriving trade with a foreign realm bringing in exotic goods.;x
stone_quarry;Stone Quarry;x
stone_quarry_desc;A stone quarry in this county produces a surplus of cheap building materials.;x
magnificent_maze;Magnificent Maze;x
magnificent_maze_desc;This [GetGirlWomanBoyMan]'s beautiful garden maze is known far beyond the realm for it's beauty.;x
leaning_tower_bad;Leaning Tower;x
leaning_tower_bad_desc;A leaning tower dominates the landscape shamefully for the founder.;x
leaning_tower;Leaning Tower;x
leaning_tower_desc;A leaning tower dominates the landscape. This spectacular sight attracts people from afar.;x
caravan_raiders;Caravan Raiders;x
caravan_raiders_desc;Raiders are ravaging the countryside making it difficult to conduct trade in this county.;x
caravan_guards;Caravan Guards;x
caravan_guards_desc;Commissioned caravan guards protects the trade in this county;x
chinese_embargo;Chinese Embargo;x
publicly_humiliated;Publicly Humiliated;x
publicly_humiliated_desc;This [GetGirlWomanBoyMan] has been publicly put through something absolutely humiliating, and still carries the shame.;x
dung_collector;Dung Collector;x
trade_governor;Trade Governor;x
trade_governor_desc;The trade in this county is supervised by a proficient administrator.;x
surge_of_traders;Surge of traders;x
aspiring_trader;Aspiring Trader;x
aspiring_trader_desc;This [GetGirlWomanBoyMan] is starting to learn the art of making money and fame from money.;x
trader;Trader;x
trader_desc;This [GetGirlWomanBoyMan] has learned how to attract money to his coffers in all kinds of ways.;x
maze_pavilion;Pavilion;x
maze_pavilion_desc;This [GetGirlWomanBoyMan] has a romantic and secluded pavilion in [GetHerHis] garden.;x
construction_accident;Construction Accident;x
construction_accident_desc;An accident that could've been avoided angers the population of [GetName].;x
maze_fountain;Fountain;x
maze_fountain_desc;This [GetGirlWomanBoyMan] has a large fountain in [GetHerHis] garden.;x
maze_fountain_extravagant;Fountain;x
maze_fountain_extravagant_desc;This [GetGirlWomanBoyMan] has a large fountain in [GetHerHis] garden filled with wine.;x
business_contacts;Business Contacts;x
business_contacts_desc;This [GetGirlWomanBoyMan] has helped to create a thriving business climate in the realm.;x

# Possessed events
voice_of_jesus;Voice Of Jesus;x
voice_of_jesus_desc;The Lord Jesus Christ Speaks to me;x
holy_comet;Holy Comet;x
holy_comet_desc;I saw a comet in the Sky, it is an Omen;x
voice_of_satan;Voice of Satan;x

# Stressed events
stressed_commander;Stressed Commander;x
misplaced_food;Misplaced the troop's food;x

# Zealous events
one_year_fasting;One year of fasting;x
religious_tract;Religious Tract;x
rats_in_cell;Rats in cell;x
rats_in_cell_desc;Your jailer, for whatever cruel reason, released some rats in your cell.;x

# Drunkard events
slept_in_church;Slept drunk in Church;x
drunk_commander;Drunk Commander;x

# Court events
peasants_scorned;Peasant traditions scorned;x
peasant_unrest;Peasant Unrest;x
religious_unrest;Religious Unrest;x
cultural_unrest;Cultural Unrest;x

# Pagans
minor_pagan_border_raids;Pagan Border Raids;x
minor_pagan_border_raids_desc;Pagan raiders have plundered the county.;x
major_pagan_border_raids;Major Pagan Border Raids;x
major_pagan_border_raids_desc;Pagan raiders have plundered and ravaged the county severely.;x

# Rumour events
gambler;Gambler;x
whoremaster;Whoremaster;x
whoremaster_desc;You visit brothels to consort with whores;x
good_deeds;Good Deeds;x
good_deeds_desc;You are doing good deeds to increase your [Player.Religion.GetPietyName];x
proving_bravery;Proving Bravery;x
proving_bravery_desc;To prove your bravery you neglect your other skills;x
suspected_coward;Suspected Coward;x
suspected_coward_desc;As a suspected coward, your sex appeal diminishes;x
ignored_confessor;Ignored Confessor's advice;x
peasants_upset;The Peasants are Upset;x
peasants_upset_desc;The injustice has upset the peasants;x
public_execution;Public Execution;x
public_execution_desc;The public execution has calmed down the peasants;x
restricted_peasant_access;Restricted Peasant Access;x
restricted_peasant_access_desc;At the request of the Mayor you have restricted the peasants access to the county;x
military_jesus;Jesus Gives Military Advice;x
speaking_in_tounges;Speaking in Tongues;x
town_appreciate;Townspeople Approve;x
town_appreciate_desc;The genius of your [GetMyChancellorName] has made the people in the Town appreciate you more;x
castle_appreciate;Castle Denizens Approve;x
castle_appreciate_desc;The genius of your [GetMyChancellorName] has made the people in the Castle appreciate you more;x
troops_likes_marshal;Marshal increases Morale;x
troops_increases;Marshal recruits Soldiers;x
steward_taxincome;Steward increases Tax Income;x
steward_revoltrisk;Steward Calms Peasants;x
increase_arrest_chance;Spymaster Increases Arrest Chance;x
increase_plot_power;Spymaster increases plot power;x
church_appreciates;The Church Approves;x
religious_appreciate;The Religious Authorities Approve;x
spiritual_increase_piety;Pious Person;x
arbitrary_steward;Peasants Complain About the Arbitrary Steward;x
just_steward;Justice Prevails;x
intelligent_steward;Economic Innovations;x
intelligent_steward_desc;Steward improves economy.;x
marshal_highway_robbers;Marshal chased highway robbers away;x
marshal_improves_capital;Military Innovations;x
marshal_improves_capital_desc;Your Marshal's ideas improve your Capital.;x
lovers_retreat;Lovers Retreat;x
lovers_entertainment;Entertainment from my lover;x
holding_large_feast;Holding a Large Feast;x
holding_grand_hunt;Holding Grand Hunt;x
holding_summer_fair;Holding a Summer Fair;x
love_poem;Love Poem;x
beautiful_flower;Beautiful Flower;x
precious_item;Precious Item;x
stop_commerce;Stopped Commerce in all Church Squares;x
prima_noctae;Prima Noctae;x
peasants_forbidden_sale;Peasants are forbidden to sell goods within City walls;x
clergy_extra_tithe;The Church collect an extra tithe on free peasants;x
the_flagellant;The Flagellant;x
