custom_andalusian;South Iberia;x
custom_aragon;Aragon;x
custom_balearic;Balearic Islands;x
custom_beja;Western Coast of Iberia;x
custom_castille;Castille;x
custom_castillian;North Iberia;x
custom_catalan;East Iberia;x
custom_chinese_invasion_target_region;Chinese Region of Influence;x
custom_cordoba;Central Iberia;x
custom_danish;Denmark;x
custom_eastern_access;Vicinity of China;x
custom_eastern_baltic;Eastern Baltic;x
custom_eastern_edge_of_map;Eastern Edge;x
custom_england;England;x
custom_frisia;Frisia;x
custom_galicia;Galicia;x
custom_granada;Southern Iberia;x
custom_historical_plague_free_zone;Historical Plague Exclusion Zone;x
custom_leon;León;x
custom_navarra;Navarra;x
custom_norwegian;Norway;x
custom_portuguese;North-West Iberia;x
custom_scotland;Scotland;x
custom_swedish;Sweden;x
custom_valencia;Eastern Coast of Iberia;x
world_africa;Africa;x
world_africa_central;Central Africa;x
world_africa_east;East Africa;x
world_africa_north;North Africa;x
world_africa_west;West Africa;x
world_europe;Europe;x
world_europe_east;Eastern Europe;x
world_europe_north;Northern Europe;x
world_europe_south;Southern Europe;x
world_europe_south_east;South-East Europe;x
world_europe_south_italy;Italia;x
world_europe_west;Western Europe;x
world_europe_west_germania;Germania;x
world_europe_west_iberia;Iberia;x
world_himalayas;Himalayas;x
world_india;India;x
world_india_bengal;Bengal;x
world_india_deccan;Deccan;x
world_india_rajastan;Rajastan;x
world_middle_east;Middle East;x
world_middle_east_arabia;Arabian Peninsula;x
world_near_east;Near East;x
world_steppe;Steppes;x
world_steppe_east;Eastern Steppes;x
world_steppe_tarim;Tarim Basin;x
world_steppe_west;Western Steppes;x

# CleanSlate
# Replacements for obsolete regions below
world_middle_east_asia_minor;Asia Minor;x
world_europe_west_british_isles;British Isles;x
world_europe_west_gaul;Gaul;x
world_middle_east_levant;The Levant;x
world_middle_east_persia;Persia;x
world_europe_east_russia;Rus Region;x

# New regions
world_europe_west_ireland;Ireland;x
world_europe_west_britain;Britain;x
world_europe_west_great_britain;Great Britain;x
world_europe_south_sicily;Sicily;x
world_europe_south_sardinia_corsica;Sardinia and Corsica;x
world_europe_north_sea;North Sea;x
world_europe_north_jutland;Jutland;x
world_europe_north_fennoscandia;Fennoscandia;x
world_europe_east_timan_ridge;Timan Ridge;x
world_europe_north_danish_archipelago;Danish Archipelago;x
world_europe_east_pannonia;Pannonia;x
world_europe_east_baltic;Baltic Rim;x
world_asia;Asia;x
world_africa_north_west;Northwest Africa;x
world_africa_north_nile;Lower Nile Valley;x

# Obsolete
custom_russia;Rus Region;x
world_asia_minor;Asia Minor;x
world_europe_west_britannia;Britannia;x
world_europe_west_francia;Francia;x
world_middle_east_jerusalem;Jerusalem;x
world_persia;Persia;x
