b_aabenraa;Abenrå;x
b_aachen;Aachen;x
b_aakirkeby;Åkirkeby;x
b_aalborg;Aalborg;x
b_aalst;Aalst;x
b_aar;Aar;x
b_aarau;Aarau;x
b_aarau_augstgau;Aarau;x
b_aardenburg;Aardenburg;x
b_aarhus;Aarhus;x
b_aarschot;Aarschot;x
b_aba;Aba;x
b_abaatha;Abaatha;x
b_abadan;Abadan;x
b_abadeh;Abadeh;x
b_abadha;Abadha;x
b_abakan;Abakan;x
b_abalessa;Abalessa;x
b_abanhagari;Abanhagari;x
b_abar;Abar;x
b_abarda;Abarda;x
b_abarkawan;Abarkawan;x
b_abarkuh;Abarkuh;x
b_abarquh;Abarquh;x
b_abasan;Abasan;x
b_abauj;Abaúj;x
b_abaul;Abaul;x
b_abaza;Abaza;x
b_abbayedemortemer;Abbaye de Mortemer;x
b_abbeit;Abbeit;x
b_abbeville;Abbeville;x
b_abdanan;Abdanan;x
b_abdannabi;Abd an Nabi;x
b_abeche;Abeche;x
b_abenberg;Abenberg;x
b_aberaeron;Aberaeron;x
b_abercorn;Abercorn;x
b_aberdeen;Aberdeen;x
b_aberedw;Aberedw;x
b_aberffraw;Aberffraw;x
b_abergavenny;Abergavenny;x
b_abergwesyn;Abergwesyn;x
b_abergwyngregyn;Abergwyngregyn;x
b_abernethy;Abernethy;x
b_aberystwyth;Aberystwyth;x
b_abeshkan;Abeshkan;x
b_abetam;Abetam;x
b_abeyek;Abeyek;x
b_abha;Abha;x
b_abhar;Abhar;x
b_abingdon;Abingdon;x
b_abiward;Abiward;x
b_abohar;Abohar;x
b_aboniteichos;Aboniteichos;x
b_abonon;Abonon;x
b_abqaiq;Abqaoq;x
b_abrahamtelke;Ábrahámtelke;x
b_abri;Abri;x
b_abrudbanya;Abrudbánya;x
b_abs;Abs;x
b_absheron;Absheron;x
b_abu;Abu;x
b_abu_musa;Abu Musa;x
b_abu_ujayyijat;Abu Ujayyijat;x
b_abualhasan;Abu-al-Hasan;x
b_abuaweigila;Abu-Aweigila;x
b_abudis;Abu Dis;x
b_abughorob;Abu Ghorob;x
b_abughusun;Abu Ghusun;x
b_abuhadi;Abu Hadi;x
b_abuhadriya;Abu Hadriya;x
b_abukamal;Abu Kamal;x
b_abukir;Abukir;x
b_abuminqar;Abu Minqar;x
b_abunujaym;Abu Nujaym;x
b_aburowash;Abu Rowash;x
b_abusir;Abusir;x
b_abuzqayqa;Abu-Zqayqa;x
b_abyaneh;Abyaneh;x
b_abydos;Abydos;x
b_acalapura;Acalapura;x
b_acenzera;Acenzera;x
b_acerno;Acerno;x
b_acerra;Acerra;x
b_achalgarh;Achalgarh;x
b_achamayli;Achamayli;x
b_achim;Achim;x
b_achit;Achit;x
b_achit_tsambagarav;Achit;x
b_acinganorum;Acinganorum;x
b_acores;Açores;x
b_acqui;Acqui;x
b_acre;Acre;x
b_acroma;Acroma;x
b_ad_dukaydik;Ad Dukaydik;x
