emperor_title_queen_mother_female;Empress Dowager;x
emperor_title_queen_mother_female_german;Kaiserin;x

title_administrator;Scholar-Bureaucrat;x
title_administrator_desc;A scholar-bureaucrat is an educated member of the Chinese gentry, who has earned academic degrees by passing the imperial examinations. They will aid you with the administration of your realm by organizing the local building projects.;x
title_anthypatos;Anthypatos;x
title_anthypatos_desc;Anthypatos is Greek for Proconsul. However, the office no longer denotes a provincial governor but is purely honorary.;x
title_appointed_regent;Designated Regent;x
title_appointed_regent_desc;This character will become the Regent if one is needed.;x
title_augusta;Augusta;x
title_augusta_desc;Most Pious Augusta: Unlike the male counterpart the Augusta continues to be the most important woman of the empire. Wielding great power and authority, she is second only to the Basileus.;x
title_baghatur;Baghatur;x
title_baghatur_desc;This honorific, which means hero or valiant warrior, is the rough equivalent of European knighthood. It is usually granted only to those who have truly distinguished themselves in battle.;x
title_behi;Behi;x
title_behi_desc;This title was given to women in the families within the Mongolian nobility.;x
title_caesar;Caesar;x
title_caesar_desc;Originally the highest honor in the Roman Empire, the title of Caesar can now be awarded to anyone.;x
title_canjun;Canjun;x
title_canjun_desc;The Staff Officer of an army, the position of Canjun is granted to trustworthy deputies in a military body or sometimes a political arm, and is a prestigious title to hold.;x
title_cardinal;Cardinal;x
title_castellan;Castellan;x
title_castellan_desc;This honorific is awarded to a vassal that is held in high regard by their liege. As Castellan they are responsible for the maintenance and daily ongoings of the Fortress.;x
title_champion;Champion;x
title_champion_desc;The person that this title is bestowed upon is considered to be the Champion of the Realm. There is surely no greater honor for mortal men to aspire to.;x
title_cherbi;Cherbi;x
title_cherbi_desc;The Cherbi is the leader of the Kheshig, the imperial guard of the Mongol Empire. They are charged with the protection of the empire's most important nobility, and the position as their commander is a very prestigious one.;x
title_chief_architect;Chief Architect;x
title_chief_architect_desc;The Chief Architect is responsible for designing and overseeing the construction of palaces, mosques and grand monuments.;x
title_chief_qadi;Chief Qadi;x
title_chief_qadi_desc;The Chief Qadi is the supreme judge and authority of the Law (Sharia) in the realm. The most prestigious of all Muslim honorary titles, it is only open to characters with a proper religious education.;x
title_china_emperor;Emperor;x
title_china_emperor_female;Empress;x
title_commander;Commander;x
title_commander_desc;§YCommanders§! are the only ones after the §YMarshal§! and the ruler who are allowed to command armies.;x
title_councilmember_emperor;Advisor;x
title_councilmember_emperor_desc;The Advisor is a respected member of the realm's council and is responsible for giving sound advice on any matters that the ruler has to deal with.;x
title_councilmember_king;Advisor;x
title_councilmember_king_desc;The Advisor is a respected member of the realm's council and is responsible for giving sound advice on any matters that the ruler has to deal with.;x
title_court_architect;Court Architect;x
title_court_architect_desc;As 'the Grand Axe of Craftsmanship', the position of Court Architect holds much prestige.;x
title_court_calligrapher;Court Calligrapher;x
title_court_calligrapher_desc;Islamic suspicion of figurative art makes skilled calligraphers highly respected.;x
title_court_dwarf;Court Dwarf;x
