nick_bleeding_eyes;Bleeding-Eyes;x
nick_bloodaxe;Bloodaxe;x
nick_bluetooth;Bluetooth;x
nick_butterteeth;Butterteeth;x
nick_darc;d'Arc;x
nick_dry_throat;Dry-Throat;x
nick_dust_biter;Dust-Biter;x
nick_elder;Elder;x
nick_fairhair;Fairhair;x
nick_ferrante;Ferrante;x
nick_girl_arm;Girl-Arm;x
nick_haardraade;Hårdråde;x
nick_half_hand;Half-Hand;x
nick_hardeknud;Hardeknud;x
nick_hundred_flagons;Hundred-Flagons;x
nick_ironfist;Ironfist;x
nick_irongrip;Irongrip;x
nick_ironhand;Ironhand;x
nick_ironheart;Ironheart;x
nick_ironside;Ironside;x
nick_knuckle_slammer;Knuckle-Slammer;x
nick_ladder_legs;Ladder-Legs;x
nick_lodbrok;Loðbrok;x
nick_longsword;Longsword;x
nick_lord_lady_ground;[This.GetLordLady] [battlefield_location.GetGroundDescCap];x
nick_lord_lady_of_the_terrain;[This.GetLordLady] of the [battlefield_location.GetTerrainCap];x
nick_oakskin;Oakskin;x
nick_of_a_thousand_faces;of a Thousand Faces;x
nick_of_the_empty_pockets;of the Empty Pockets;x
nick_of_the_nine_hostages;of the Nine Hostages;x
nick_of_the_wilds;of the Wilds;x
nick_one_eye;One-Eye;x
nick_one_hand;One-Hand;x
nick_peg_leg;Peg Leg;x
nick_poison_tooth;Poison-Tooth;x
nick_priest_hater;Priest-Hater;x
nick_quick_fingers;Quick-Fingers;x
nick_quick_foot;Quickfoot;x
nick_red_cheeks;Red-cheeks;x
nick_ring;Ring;x
nick_roughhair;Roughhair;x
nick_scarlet_hands;Scarlet-Hands;x
nick_sharp_teeth;Sharp-Teeth;x
nick_sharp_tongue;Sharp-Tongue;x
nick_silvertongue;Silvertongue;x
nick_snake_in_the_eye;Snake-in-the-eye;x
nick_son_of_evilgod;[This.GetSonDaughterCap] of [This.Religion.GetRandomEvilGodName];x
nick_stonefist;Stonefist;x
nick_strongarm;Strongarm;x
nick_the_able;the Able;x
nick_the_abomination;the Abomination;x
nick_the_absolved;the Absolved;x
nick_the_accursed;the Accursed;x
nick_the_adjudicator;the Adjudicator;x
nick_the_affable;the Affable;x
nick_the_alchemist;the Alchemist;x
nick_the_ambitious;the Ambitious;x
nick_the_angel;the Angel;x
nick_the_angel_of_jerusalem;the Angel of Jerusalem;x
nick_the_apostate;the Apostate;x
nick_the_apostle;the Apostle;x
nick_the_architect;the Architect;x
nick_the_armorsmith;the Armorsmith;x
nick_the_artist_ruler;the Artist-[This.GetTitle];x
nick_the_astrologer;the Astrologer;x
nick_the_avenger;the Avenger;x
nick_the_awoken;the Awoken;x
nick_the_bald;the Bald;x
nick_the_bane_of_realm;the Bane of [nickname_target.PrimaryTitle.GetName];x
nick_the_bard;the Bard;x
nick_the_bastard;the Bastard;x
nick_the_bastion_of_capital;the Bastion of [This.Capital.GetName];x
nick_the_beanstalk;the Beanstalk;x
nick_the_bear;the Bear;x
nick_the_beef_thrasher;the Beef-Thrasher;x
nick_the_beguiling;the Beguiling;x
nick_the_beheader;the Beheader;x
nick_the_belligerent;the Belligerent;x
nick_the_bellower;the Bellower;x
nick_the_benevolent;the Benevolent;x
nick_the_betrayer;the Betrayer;x
nick_the_bewitched;the Bewitched;x
nick_the_black;the Black;x
nick_the_black_boar;the Black Boar;x
nick_the_black_skull;the Black Skull;x
nick_the_black_widow;the Black Widow;x
nick_the_bleeder;the Bleeder;x
nick_the_blessed;the Blessed;x
nick_the_blind;the Blind;x
nick_the_bloodhound;the Bloodhound;x
nick_the_bloodlime;the Bloodlime;x
nick_the_bloodmonger;the Bloodmonger;x
nick_the_bloody;the Bloody;x
nick_the_blushing;the Blushing;x
nick_the_boar;the Boar;x
nick_the_bold;the Bold;x
nick_the_bone_gnasher;the Bone-Gnasher;x
nick_the_bone_squeezer;the Bone-Squeezer;x
nick_the_boneless;the Boneless;x
nick_the_bookworm;the Bookworm;x
nick_the_bottomless;the Bottomless;x
nick_the_brave;the Brave;x
nick_the_broken_lute;the Broken Lute;x
nick_the_broken_nail;the Broken-Nail;x
nick_the_brute;the Brute;x
nick_the_bull;the Bull;x
nick_the_bulwark;the Bulwark;x
nick_the_burden;the Burden;x
nick_the_butch;the Butch;x
nick_the_butcher;the Butcher;x
nick_the_cannibal;the Cannibal;x
nick_the_careless;the Careless;x
nick_the_carpenter;the Carpenter;x
nick_the_castellan;the Castellan;x
nick_the_celestial;the Celestial;x
nick_the_champion_of_province;the Champion of [This.Location.GetName];x
nick_the_chaste;the Chaste;x
nick_the_cheater;the Cheater;x
nick_the_chest_buster;the Chestbuster;x
nick_the_chosen_of_gabriel;the Chosen of Gabriel;x
nick_the_civilized;the Civilized;x
nick_the_cleansing_flame;the Cleansing Flame;x
nick_the_clueless;the Clueless;x
nick_the_clumsy;the Clumsy;x
nick_the_compassionate;the Compassionate;x
nick_the_confessor;the Confessor;x
nick_the_conqueror;the Conqueror;x
nick_the_cowardly;the Cowardly;x
nick_the_crimson_flurry;the Crimson Flurry;x
nick_the_crimson_gorgon;the Crimson Gorgon;x
nick_the_crimson_reaper;the Crimson Reaper;x
nick_the_cruel;the Cruel;x
nick_the_crusader;the Crusader;x
nick_the_culture;the [This.Culture.GetName];x
nick_the_culture_marauder;the [nickname_receiver.Culture.GetName] Marauder;x
nick_the_cyclops;the Cyclops;x
nick_the_dane;the Dane;x
nick_the_deaths_child;the Reaper's Child;x
nick_the_decadent;the Decadent;x
nick_the_defender;the Defender;x
nick_the_delivered;the Delivered;x
nick_the_depraved;the Depraved;x
nick_the_despoiler;the Despoiler;x
nick_the_destroyer;the Destroyer;x
nick_the_devil;the Devil;x
nick_the_diplomat;the Diplomat;x
nick_the_dove;the Dove;x
nick_the_dragon;the Dragon;x
nick_the_dragoness;the Dragoness;x
nick_the_dreaded;the Dreaded;x
nick_the_drunkard;the Drunkard;x
