abuse_of_office;Abuse of Office;x
accused_of_murder;Accused of Murder;x
acknowledged_bastard;Acknowledged Bastard;x
acknowledged_child;Acknowledged Child;x
ally_inactive_in_war;Didn't fight in the war;x
ambitious_neg;Despises Ambition;x
ambitious_pos;Approves of Ambition;x
approves_of_my_behaviour;Feels accepted;x
arbitrary_neg;Despises Arbitrariness;x
arbitrary_pos;Approves of Arbitrariness;x
asked_for_claim;Asked for Claim;x
asked_for_crusade;Asked for Religious War;x
asked_for_divorce;Asked for divorce;x
asked_for_excommunication;Asked for excommunication;x
asked_for_invasion;Asked for invasion;x
asked_for_money;Asked for Money;x
asked_to_lift_excommunication;Asked to lift excommunication;x
asked_to_nominate_bishop;Asked to Nominate Bishop;x
attempted_murder;Attempted Murder;x
attempted_murder_of_child;Attempted Murder of Child;x
attempted_murder_of_parent;Attempted Murder of Parent;x
attempted_murder_of_sibling;Attempted Murder of Sibling;x
attempted_murder_of_spouse;Attempted Murder of Spouse;x
attempted_murder_of_spouse_vassal;Attempted Murder of Spouse;x
attempted_murder_of_vassal;Attempted Murder of Vassal;x
bad_succ_law_change;Outraged by Succession Law Change;x
bishop_bribed_by_pope;Follows Papal Instructions;x
black_honor;Breaking Feudal Obligations;x
blasphemous_pyromaniac;Blasphemous Pyromaniac;x
bought_indulgences;Bought Indulgences;x
brave_neg;Envies Bravery;x
brave_pos;Approves of Bravery;x
broke_alliance;Dishonored Alliance;x
broke_truce;Broke a Truce;x
broken_non_aggression_pact;Broken pact;x
called_into_war;Called into War;x
campaign_friend;Common History in Campaigns;x
campaign_rival;Bad history in campaigns;x
charitable_neg;Despises Charity;x
charitable_pos;Approves of Charity;x
charitable_to_you;Showed Charity;x
childhood_sweetheart;Childhood Sweetheart;x
claimant_vs_holder;Title Claimant;x
clan_opinion_absorbed_blood_brother_clan;Absorbed the Clan of my Blood Brother;x
clan_opinion_absorbed_clan;Absorbed Clan;x
clan_opinion_absorbed_my_clan;Tried to Absorb My Clan;x
clan_opinion_attempted_splitted_my_clan;Tried To Split My Clan;x
clan_opinion_blood_oath;Blood Brothers;x
clan_opinion_created;Loyal Clan;x
clan_opinion_feud;Feud;x
clan_opinion_feud_blood_brother;Feud with Blood Brothers;x
