
usurp_title_interaction_LONG_DESC;Usurp this title.;x
usurp_title_interaction_TITLE;Usurp Title;x

create_title_interaction_LONG_DESC;Create this title.;x
create_title_interaction_TITLE;Create Title;x

destroy_title_interaction_LONG_DESC;Destroy this title.;x
destroy_title_interaction_TITLE;Destroy;x

make_capital_settlement_interaction_DESC;I can make this my capital.;x
make_capital_settlement_interaction_LONG_DESC;Make this Holding your capital.;x
make_capital_settlement_interaction_TITLE;Make Capital;x

make_primary_title_interaction_DESC;I can declare this my primary title.;x
make_primary_title_interaction_LONG_DESC;Make this your primary title.;x
make_primary_title_interaction_TITLE;Make Primary Title;x
