baptized_emperor_from;Converted Empire;x
baptized_emperor_to;Converted Empire;x
baptized_king_from;Converted Realm;x
baptized_king_to;Converted Realm;x
blood_haruspicy_positive;Favorable Blood Divination;x
bloodthirsty_mass_sacrifice;Mass Sacrifice;x
built_great_pillar;Great Pillars Built;x
cosmopolitan_religion;Cosmopolitan;x
decadent_clergy;Decadent Clergy;x
depose_impious_pope_modifier;Overthrew immoral Pope;x
deposed_antipope;Deposed an Antipope;x
destroyed_great_pillar;Great Pillars Destroyed;x
dogmatic_religion;Dogmatic;x
failed_heretic_dialogue;Lost Theological Debate;x
failed_inquisition;Failed Inquisition;x
failed_to_depose_impious_pope_modifier;Impious Pope won the war for the Holy See;x
failed_to_launch_crusade_modifier;Canceled Crusade;x
great_sacrifice_negative;Great Heathen Sacrifice;x
great_sacrifice_positive;Great Sacrifice;x
great_tribal_festival_1;Festivals Held;x
great_tribal_festival_2;Great Festivals Held;x
haruspicy_tempted_faith;Religious Head died ominously;x
haruspicy_very_bad_omen;Apocalyptic Stars;x
haruspicy_very_good_omen;Favorable Stars;x
head_of_religion_neglect;Neglectful Head of Religion;x
hellenic_resurgence;Hellenic Resurgence;x
holy_order_expelled;Holy Order Expelled;x
impious_beatification;Impious Beatification;x
impious_canonization;Impious Canonization;x
irminsul_destroyed;Irminsul Destroyed;x
looted_infidel_temple;Infidel Temples Looted;x
lost_county_conquest;Failed County Conquests;x
lost_crusade;Defeated in Crusade;x
lost_flower_war;Lost Flower Wars;x
lost_heretic_revolt;Heretic Rebel Victories;x
lost_holy_war;Lost Holy Wars;x
lost_religious_revolt;Infidel Rebel Victories;x
lost_viking_invasion;Failed Prepared Invasions;x
northern_crusade_won;Northern Crusade Victory;x
pagan_revival;Pagan Revival;x
papacy_instituted;Papacy Instituted;x
paragon_of_enlightenment;Paragon of Enlightenment;x
paragon_of_virtue;Paragons of Virtue;x
patriarchy_instituted;Patriarchate Instituted;x
reconquista_lost;Lost Reconquest War;x
reconquista_won;Won Reconquest War;x
religious_order_formed;Religious Orders Formed;x
restored_primacy;Restored Primacy;x
rise_of_the_shia_caliphate;Rise of the Shi'a Caliphate;x
rome_destroyed;Rome Burned;x
ruler_bowed_to_patriarch;Patriarchal Demands Accepted;x
ruler_bowed_to_pope;Papal Demands Accepted;x
ruler_converted_from;Rulers Led Astray;x
ruler_converted_to;Rulers Converted;x
ruler_defied_patriarch;Patriarchal Demands Refused;x
ruler_defied_pope;Papal Demands Refused;x
sacrificed_head_bad;Our Religious Head was sacrificed to Heathen Gods.;x
sacrificed_head_good;We sacrificed the Head of a false Religion!;x
stopped_reconquista;Defended against Reconquest;x
strengthened_religion;Strengthened Religion;x
successful_heretic_dialogue;Won Theological Debate;x
successful_inquisition;Successful Inquisition;x
temple_built;Temples Built;x
temple_desecrated;Temples Desecrated;x
temple_looted;Temples Looted;x
theology_debates;Debated Dogma;x
won_county_conquest;Successful County Conquests;x
won_crusade;Victorious in Crusade;x
won_flower_war;Won Flower Wars;x
won_heretic_revolt;Heretic Rebels Crushed;x
won_holy_war;Won Holy Wars;x
won_religious_revolt;Infidel Rebels Crushed;x
won_viking_invasion;Successful Prepared Invasions;x
zoroastrian_rebirth;Zoroastrian Rebirth;x
