#CODE;ENGLISH;x

# Uncomment lines here to enable languages in-game
ENGLISH_SUPPORTED;Yes;x
#FRENCH_SUPPORTED;Yes;x
#GERMAN_SUPPORTED;Yes;x
#POLISH_SUPPORTED;Yes;x
#SPANISH_SUPPORTED;Yes;x
#ITALIAN_SUPPORTED;Yes;x
#SWEDISH_SUPPORTED;Yes;x
#CZECH_SUPPORTED;Yes;x
#HUNGARIAN_SUPPORTED;Yes;x
#DUTCH_SUPPORTED;Yes;x
#PORTUGESE_SUPPORTED;Yes;x
#RUSSIAN_SUPPORTED;Yes;x
#FINNISH_SUPPORTED;Yes;x

ENGLISH;English;x
FRENCH;French;x
GERMAN;German;x
POLISH;Polish;x
SPANISH;Spanish;x
ITALIAN;Italian;x
SWEDISH;Swedish;x
CZECH;Czech;x
HUNGARIAN;Hungarian;x
DUTCH;Dutch;x
PORTUGESE;Portuguese;x
RUSSIAN;Russian;x
FINNISH;Finnish;x
