abdominal_pain;Abdominal Pain;x
abdominal_pain_death;clutching at [GetHerHis] gut;x
abdominal_pain_desc;This [GetGirlWomanBoyMan] experiences abdominal pains - perhaps due to eating something bad, what else could it be?;x
administrator;Administrator;x
administrator_desc;This [GetGirlWomanBoyMan] is a devoted administrator who loves order and efficiency above all things.;x
adventurer;Adventurer;x
adventurer_desc;This [GetGirlWomanBoyMan] has a background as an adventurer, which means that [GetSheHe] might be somewhat more ambitious than others.;x
affectionate;Affectionate;x
affectionate_desc;This [GetBoyGirl] is kind and is quick to show love and affection. Can develop into: §YKind§!, §YContent§! or §YTrusting§!.;x
aggressive_leader;Aggressive Leader;x
aggressive_leader_desc;This [GetGirlWomanBoyMan] does not shy away from battle, and will show no mercy to opponents who attempt to quit the field.;x
amateurish_plotter;Amateurish Plotter;x
amateurish_plotter_desc;The Amateurish Plotter has received an education emphasizing intrigue skills. Unfortunately, it didn't stick.;x
ambitious;Ambitious;x
ambitious_desc;Ambitious characters work harder, making [GetHerHim] better at everything. However, [GetHerHis] drive to reach the top means that they tend to make poor vassals...;x
arbitrary;Arbitrary;x
arbitrary_desc;This [GetGirlWomanBoyMan] could not care less about justice - a [GetGirlWomanBoyMan] flaw that is not appreciated by vassals and courtiers.;x
architect;Architect;x
architect_desc;This [GetGirlWomanBoyMan] loves buildings, architecture and machinery, particularly anything related to siege warfare.;x
ares_own;Ares' Own;x
ares_own_desc;Ares' Own are overwhelming, insatiable in battle, destructive, and man-slaughtering. They fight for the Hellenic faith.;x
aryika;Aryika;x
aryika_desc;This woman has taken the Mahavrata vows and lives a life of asceticism, thus making her unable to marry or inherit.;x
ashari;Ash'ari;x
ashari_desc;This [GetGirlWomanBoyMan] is an adherent of the Sunni Ash'ari school of theology, placing emphasis on tradition, revelation and occasionalism.;x
attractive;Attractive;x
attractive_desc;This [GetGirlWomanBoyMan] has a most pleasing physique, most attractive to the opposite sex.;x
augustus;Augustus;x
augustus_desc;[GetAltAugustusName];x
aztec_disease;Syphilitic;x
aztec_disease_death;of Syphilis;x
aztec_disease_desc;This [GetGirlWomanBoyMan] suffers from Syphilis, a virulent strain of Great Pox brought from across the sea by the Aztec conquerors.;x
bad_priest_aztec;Unworthy Priest;x
bad_priest_aztec_desc;The personality and habits of this priest are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;x
bad_priest_christian;Wicked Priest;x
bad_priest_christian_desc;The personality and habits of this priest are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;x
bad_priest_muslim;Wicked Caliph;x
bad_priest_muslim_desc;This Caliph's personality and habits are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;x
bad_priest_norse;Unworthy Priest;x
bad_priest_norse_desc;The personality and habits of this priest are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;x
bad_priest_tengri;Unworthy Priest;x
bad_priest_tengri_desc;The personality and habits of this priest are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;x
bad_priest_zoroastrian;Immoral Priest;x
bad_priest_zoroastrian_desc;The personality and habits of this priest are very inappropriate for [GetHerHis] position. And what's worse, [GetSheHe] has been unable to hide them from public view.;x
baltic_leader;Forest Ambusher;x
baltic_leader_desc;This [GetGirlWomanBoyMan] is used to defending ancient and sacred woodlands.;x
baptized_by_bishop;Baptized by [GetBaptizedByName];x
baptized_by_bishop_desc;This [GetGirlWomanBoyMan] was baptized by a notable member of the [Religion.GetName] clergy, a clear show of [GetHerHis] illustrious birth and of the good relationship between [GetHerHis] dynasty and the Church.;x
baptized_by_patriarch;Baptized by [GetBaptizedByName];x
baptized_by_patriarch_desc;This [GetGirlWomanBoyMan] was baptized by the Ecumenical Patriarch himself of the [Religion.GetName] Church with great pomp and circumstance, during a magnificent ceremony that will not soon be forgotten.;x
baptized_by_pope;Baptized by [GetBaptizedByName];x
baptized_by_pope_desc;This [GetGirlWomanBoyMan] was baptized by the Pope himself with great pomp and circumstance, during a magnificent ceremony that will not soon be forgotten.;x
baptized_by_satan;Baptized by [baptizing_satanist_per.GetTitledFirstName];x
baptized_by_satan_desc;This [GetBoyGirl] was baptized in the blood of the innocent during a grotesque satanic ritual that bound [GetHerHim] forever to the Prince of Darkness.;x
bastard;Bastard;x
bastard_desc;This [GetGirlWomanBoyMan] was born out of wedlock and has not been legitimized - and is thus disqualified from the line of succession.;x
battlefield_terrain_master;Battlefield Terrain Master;x
battlefield_terrain_master_desc;This [GetGirlWomanBoyMan] has mastered the craft of finding the perfect terrain for defensive battles.;x
beatified;Beatified;x
beatified_desc;This [GetGirlWomanBoyMan] has been beatified by the Church as a pious exemplar of the faith.;x
berserker;Berserker;x
berserker_desc;This [GetGirlWomanBoyMan] works himself into a mad frenzy during battle, charging fearlessly at the enemy.;x
bhikkhu;Bhikkhu;x
bhikkhu_desc;This man lives a life of asceticism in accordance with the Patimokkha rules, thus making him unable to marry or inherit.;x
bhikkhuni;Bhikkuni;x
bhikkhuni_desc;This woman lives a life of asceticism in accordance with the Patimokkha rules, thus making her unable to marry or inherit.;x
blessed_ancestor;Blessed Ancestor;x
blessed_ancestor_desc;A blessed ancestor of old, venerated by [GetHerHis] descendants.;x
blinded;Blinded;x
blinded_death;from complications of being blinded;x
blinded_desc;This [GetGirlWomanBoyMan] has been permanently blinded and cannot see.;x
bloodthirsty_gods_1;Haemophiliac;x
bloodthirsty_gods_1_desc;This [GetManWoman] has performed a notable amount of human sacrifices.;x
bloodthirsty_gods_2;Haemophant;x
bloodthirsty_gods_2_desc;This [GetManWoman] is renowned as a bloodthirsty fanatic, always looking for the next victim to sacrifice to [GetHerHis] cruel gods.;x
bloodthirsty_gods_3;Haemoarch;x
bloodthirsty_gods_3_desc;This [GetManWoman] has filled rivers with the blood of [GetHerHis] victims and built mountains out of their skulls in [GetHerHis] psychotic desire to please the cruel gods [GetSheHe] worships.;x
bon_leader;Mountain Guardian;x
bon_leader_desc;This [GetGirlWomanBoyMan] can move hastily through the hills and plateaus of any mountain range. Especially when leading troops of light infantry.;x
born_in_the_purple;Born in the Purple;x
born_in_the_purple_desc;[GetBornInPurpleDesc];x
brahmin;Brahmin;x
brahmin_desc;[GetBrahminDesc];x
brave;Brave;x
brave_desc;This [GetGirlWomanBoyMan] never shies from personal danger, enjoying the respect of vassals but the envy of cravens.;x
brawny;Brawny;x
brawny_desc;This [GetGirlWomanBoyMan] is physically brawny.;x
