chapter_name_0;Feudal System;x
chapter_name_1;Economy;x
chapter_name_2;Council;x
chapter_name_3;Succession;x
chapter_name_4;Diplomacy;x
chapter_name_5;Military and Combat;x
chapter_name_6;War;x
chapter_name_7;Plots and Intrigue;x
chapter_name_8;Religion;x
chapter_name_9;Introduction;x
tut_0a_1;Welcome to Crusader Kings II;x
tut_0a_2;This is an introduction to Crusader Kings II, a Grand Strategy Game set in medieval Europe. As emperor, king, count or duke, lead your dynasty to glory! \nSo where do you come into all this? Click next to find out.;x
tut_0a_3;Realm View;x
tut_0a_4;The realm view is where you can get a quick overview of your realm. Your vassals, economy, history and more. Click on the shield next to the portrait to find it. You can click the 'De Jure' checkbox to see the regions that are tied to your title by bonds that will never break.;x
tut_0a_5;Character View;x
tut_0a_6;Click the portrait. All characters have a view like this. This is the King of Scotland, and here you can see that his parents and grandparents are dead. He has three children and three siblings.;x
tut_0a_7;To the upper right you can open the family and dynasty trees. Above that you'll see a small 'W' icon. Sometimes you can click this and it will link you to the actual character on Wikipedia. You can also see the titles and claims here, as well as the stats and traits the character has.;x
tut_0a_7b;Note that you can also right click the portrait of characters to open a diplomacy menu with that character.;x
tut_0a_8;The Information Bar;x
tut_0a_9;Here you can get a quick overview of your realm.;x
tut_0a_10;From left to right, we have:;x
tut_0a_11;Wealth. How much money you have. Hover over the sum to see your monthly income or loss.;x
tut_0a_12;Prestige. This is a measure of your success. Hover over the sum to see your monthly gain or loss. Hover longer to see exactly what the sources are. You can also gain or lose prestige from actions.;x
tut_0a_13;Piety. How the church sees you. Hover over the sum to see monthly gain or loss. Hover longer to see exactly what the sources are. You can also gain or lose piety from actions.;x
tut_0a_14;Demesne Size. If you go over the limit, your vassals will dislike you and you will get taxation penalties. Remedy this by handing out landed titles to decrease the size of your demesne. Hover over the number to see where the max size is coming from.;x
tut_0a_15;Vassal Limit. Going over the limit will have a negative effect on the amount of taxes and levies you get from your vassals, and you might lose the grip of your vassals upon death. Remedy this by giving your vassals higher tier titles to allow them to have vassals on their own. Hover over the number to see where the limit is coming from.;x
tut_0a_16;Realm Size. This is the total number of holdings owned by you and your vassals.  Hover over the number to see holdings per vassal.;x
tut_0a_17;Score. This is your dynasty's total score. The score is calculated by adding the prestige and piety of each of your rulers at the time of their death. This will determine your final rank.;x
tut_0a_18;The Map;x
tut_0a_19;On the world map you can see your troops, borders and buildings. To move the map you can move the mouse pointer to the edges or use the arrow keys. You can zoom by using the mouse wheel. By default this will zoom in to the cursor position. You can try that now before clicking next.;x
tut_0a_20;Lost?;x
tut_0a_21;You can easily navigate over long distances using the minimap. Click on it and you will be transported to that location. There is also a 'Go to home province' button to transport you home immediately. Press that now.;x
tut_0a_22;Map Modes;x
tut_0a_23;For different types of information, there are different map modes. We are in the terrain map mode right now. The independent map mode paints the name of the countries neatly over the map. If you zoom further in, the name of the individual provinces will pop up instead. Switch to the independent realms map mode now to see more defined borders.;x
tut_0a_24;Time;x
tut_0a_25;The game starts paused. You can do all of the aforementioned actions while the game is paused or unpaused. However, nothing will actually happen until you unpause.;x
tut_0a_26;As you can see the current date is September 15, 1066. Next to the date you see a pause symbol and a plus and minus sign. By clicking the pause symbol you can start the time and by using the + and - signs you can increase or decrease how fast the time moves. The keyboard shortcut to pause/unpause is space. You can also use the + and - signs on the numpad part of the keyboard to increase/decrease speed. Unpause now to continue.;x
tut_0a_27;How to Stay in Control ;x
tut_0a_28;There are a lot of things going on in the world. Some very important, some less. There are a few different ways to be notified:;x
tut_0a_29;Popups. Large messages that pop up and usually demands that you take some kind of action. Read the tooltips on the buttons before you choose.;x
tut_0a_30;Messages. To the upper right you have the more important messages on top, less important below. You can change the settings for when these show up.;x
tut_0a_31;Alerts. These round icons show important things that need an action from you. They can be related to, for example, succession or diplomacy. Keeping an eye on them can make or break your fortunes, so ignore at your peril!;x
tut_1a_1;Economy - Basic Level;x
tut_1a_2;The income you have comes from provinces, both the ones you control directly and those owned by your vassals. Each province gives you money and troops, so the more provinces you have, the more troops and money you can have.;x
tut_1a_3;Because you are playing as a Catholic ruler, provinces owned by religious holders like bishops will only give you money if their opinions of you are higher than their opinion of the Pope. Otherwise the money goes to him. Vassals other than bishops will always give you money, but you will get more if they like you.;x
tut_1a_3a;Taxes;x
tut_1a_4;Your expenses are any military that you have raised, and if you have a liege, you might pay taxes to them. You can click the realm view now to get an overview of your economy. Then click next.;x
tut_1b_1;Economy - Intermediate Level;x
tut_1b_2;As you can see in the upper right, you have a limit for how many Holdings you can control directly. If you cross this limit, you will get negative effects in the form of tax penalties and your vassals disliking you;x
tut_1b_3;To prevent this from happening, make sure you keep under your Demesne limit by handing out landed titles to your vassals. Now, click a County.;x
tut_1b_4;Holdings;x
tut_1b_5;A County can have different types of Holdings. Depending on what you build in the County, you will get different amounts of tax money, and different kinds of troops from it.;x
tut_1b_6;For example, a city gives you more money but fewer and lighter troops.;x
tut_1c_1;Economy - Advanced Level;x
tut_1c_2;We now have holdings in the provinces instead of buildings. These holdings can be improved upon, or you can build new ones.;x
tut_1c_3;To build a new holding you need three things:;x
tut_1c_4;1. A free slot.;x
tut_1c_5;2. Enough money.;x
tut_1c_6;3. A balanced province. You can't build a second city holding if you do not have one of each already. Click on a province to view some holdings. York down in England has one of each.;x
tut_1c_7;The Province View;x
tut_1c_8;In the province view you can see how much income the province has, and also how much of it goes to you in taxes.;x
tut_1c_9;You can also hover over each holding slot to see how much tax it yields and its fort level.;x
tut_2a_1;The Council - Basic Level;x
tut_2a_2;A ruler does not rule alone. You have access to five types of advisors that help you. The first advisor is the chancellor, who assists your ruler in the diplomatic field. Further you have the marshal, who is your resident military expert. Then you have the steward, who is in charge of your economy. The spymaster is responsible for keeping you safe from internal as well as external intrigue, and the chaplain is your guide in everything spiritual.;x
tut_2a_3;These vassals can perform missions for you. The chancellor can for example forge claims on foreign lands, while the steward can bolster taxes, all for the benefit of your dynasty! They also add their stats to yours.;x
tut_2b_1;The Council - Intermediate Level;x
tut_2b_2;Now it is time to learn more about each type of advisor. Click the council button to see your appointed advisors.;x
tut_2b_3;Advisor Types;x
tut_2b_4;The different types are:;x
tut_2b_5;Chancellor. Your diplomatic advisor. Select one with as high diplomatic skill as possible since this person's value, plus your own, plus half of your wife's is what makes up the state diplomacy value. That affects how all characters not employed by you view you.;x
tut_2b_6;Marshal. Your military advisor. This one will also command your levies, so make sure you pick one with a high military score.;x
tut_2b_7;Steward. Your treasurer. Choose one with high value for stewardship, and you will increase your tax income.;x
tut_2b_8;Spymaster. An unofficial position as the advisor in the darker things a regent might need to do. Choose one with a high intrigue skill. This is important even if you do not have plans to have anyone assassinated, as it will help you to uncover plots against your own person as well.;x
tut_2b_9;Court Chaplain. Your personal advisor to turn to in question concerning faith. This advisors important trait is learning, and a higher value will help your technological research.;x
tut_2c_1;The Council - Advanced Level;x
tut_2c_2;All members of the council have three unique missions you can send them on. They can only go on one mission at the time, you will still get their stat bonus though.;x
tut_2c_3;Let's go through all of them in short. Click the council button to continue.;x
tut_2c_4;The Council Missions;x
tut_2c_5;There are three missions per advisor, you can hover over them to the right on this screen to get a more extensive explanation of what all of them does:;x
tut_2c_6;Chancellor - Improve diplomatic relations, fabricate claims and sow dissent.;x
tut_2c_7;Marshal - Suppress revolts, train troops and research military tech.;x
tut_2c_8;Steward - Collect taxes, oversee construction, research economy tech.;x
tut_2c_9;Spymaster - Scheme, build spy network, study technology.;x
tut_2c_10;Court Chaplain - Proselytize, research cultural tech, improve religious relations.;x
tut_2c_11;Most of the missions also has the risk of a negative effect, so be sure to check the numbers in the tooltip before you send everyone off.;x
tut_3a_1;Succession - Basic Level;x
tut_3a_2;Succession laws are what determines who you will play as next and what they will inherit. The most common start is that your eldest son will inherit most of your titles while your younger son(s) also gets their share. This kind of inheritance is called gavelkind.;x
tut_3b_1;Succession - Intermediate Level;x
tut_3b_2;There are two kinds of succession laws. The agnatic/cognatic ones, that decide who will inherit, and then you have the other ones, that decide how the inheritance will work. Your children, dynasty and vassals will have an opinion on which ones you have. Press the laws button to continue.;x
tut_3b_3;The Succession Laws.;x
tut_3b_4;Agnatic. Only males can inherit.;x
tut_3b_5;Absolute Cognatic. Women inherit on the same terms as men do. ;x
tut_3b_6;Agnatic Primogeniture. This one means that the oldest male child of the ruler will inherit all their titles on ruler death.;x
tut_3b_7;Agnatic-Cognatic. If you have this, women can also inherit, but only when there are no eligible males.;x
tut_3b_8;Gavelkind. This law will give the primary title to the oldest male child, and then divide the rest of the titles among the other children.;x
tut_3b_9;Seniority. The oldest member of the entire dynasty inherits all titles. ;x
tut_3b_10;Elective. The ruler and his/her vassals one step down can nominate one successor each. ;x
tut_3c_1;Succession - Advanced Level;x
tut_3c_2;For you to be able to change succession laws, you have a few things to consider.;x
tut_3c_3;The same ruler can only change succession laws once, must have reigned for at least 10 years and there must be peace in your realm.;x
tut_3c_4;The ruler must be an adult, i.e. no regency. No vassals can be fighting and no vassal count or above can have a negative attitude of you. ;x
tut_3c_5;These demands can be hard to fulfill, so changing succession law is not something to do on a whim, it is often something you need to work for.;x
tut_3c_6;Multilayered Laws;x
tut_3c_7;When you open the laws screen, you will see the ducal laws of Brittany. Brittany is de jure a part of France though, so the crown laws of france will affect you too. To see how, you need to click the shield to the upper right.;x
tut_3c_8;Multilayered Laws II;x
tut_3c_9;There are the laws in France that might affect Brittany. On the top part you can see the succesion laws France is using, and also the crowns laws on the bottom half. Click next to end this part.;x
tut_4a_1;Diplomacy - Basic Level;x
tut_4a_2;Diplomacy is what we call the interactions between characters. It can be to start wars or send a child off to be educated. Now, to find a number of characters who you can use different diplomatic options on, click the ruler portrait to continue.;x
tut_4a_3;Diplomatic Actions;x
tut_4a_4;To get started, right click your half-brother, Earl Malmure of Atholl. You will find him at the bottom left of the family tab, under the header 'siblings'. (The portrait you see here is just an example, not the actual Earl.);x
tut_4a_5;To the left, we see a list of possible diplomatic actions. To the right you will be able to adjust the diplomatic choices and see what effect they will net once you have decided. Click next to continue.;x
tut_4a_7;Make Him Like Us;x
tut_4a_8;If we for example want to make a character to like us a bit more, we can grant them an honorary title. Click the 'award honorary title' button. The Court Jester title is not very nice to give someone if you want to stay on their good side. Click Keeper of the Swans instead.;x
tut_4a_9;When you click, you will see above what effects it will bring if you award your brother this title. When you are done looking, click send and then click the next button below to end this part.;x
tut_4b_1;Diplomacy - Intermediate Level;x
tut_4b_2;There are two kinds of diplomacy. The state level, and then the personal level. Your vassals and other people you employ are affected by personal diplomacy, all others by your state diplomacy. Click your ruler portrait to continue.;x
tut_4b_3;Actions and Modifiers;x
tut_4b_4;Let's take a look at personal diplomacy first. You have a tab in the middle that says 'Vassals', click that.;x
tut_4b_5;Now, if you hover over the opinion values, the green or red numbers towards the right, you'll see why each person has a particular opinion of you.;x
tut_4b_6;Check the tooltips on the opinion number for some of your vassals. The opinions they have of you is based on a number of things, like personal diplomacy, free investiture, autonomy, and some personality traits will go better or worse together. If you are patient and your vassal is wroth, that does not make for a good relationship.;x
tut_4b_7;Modifiers;x
tut_4b_8;The opinion modifiers that are based on character traits are all permanent. Other things can change the opinions between characters affected by trait modifiers, but as long as the trait stays, so does the modifier. Then we have temporary modifiers of course. ;x
tut_4b_9;Temporary modifiers have an expiration date. Certain events for example can give you an opinion modifier towards other characters and these will usually last a limited time (like a year or two). Click next to continue.;x
tut_4b_10;Claims and Titles;x
tut_4b_11;To be able to declare war, there are a few different methods including plots and holy war, but the most common way is to simply claim the title you are interested in.;x
tut_4b_12;You do this by sending your chancellor to the province and fabricating a claim there. It will take a while, but you can try it in the basic war tutorial.;x
tut_4b_13;Now you have the claim, but if you want the land, you will need to take action. The claim is held by your current ruler, so as soon as you change ruler, the claim will be gone. Click next to end this part.;x
tut_4c_1;Diplomacy - Advanced Level;x
tut_4c_2;There are no formal alliances in Crusader Kings II, it is all a matter of bloodlines, dynasty and prestige.;x
tut_4c_3;Our wife is dead, so now would be a good time to marry into another dynasty to form bonds that can be used. Click your ruler portrait to continue.;x
tut_4c_4;Marriage;x
tut_4c_5;Below the portrait of your wife are two golden rings on blue background. This is a button that will allow you to arrange a marriage for the current character. Click it to continue.;x
tut_4c_5a;Choices;x
tut_4c_6;Here you can see a list of unmarried women. Not all are appropriate of course. Some are too young, a real marriage will not start until both of you are over 16. Some are too old, you want them to be able to have your children. Some have nothing to offer you. To help you decide, there are buttons that can sort the list according to your desires. Click next to continue.;x
tut_4c_7;Find a Suitable Mate;x
tut_4c_9;Consider carefully who would be the best choice for you, and keep in mind that dynasty and her rank will matter for your prestige gain or loss when entering the marriage. When you have made your choice, right-click her portrait to continue.;x
tut_4c_8;If you know what dynasty you want to marry into, sort by dynasty. If you are primarily looking to up your military score, sort by martial skill. Right now we are looking for a way to expand our influence though, so sort them by rank.;x
tut_4c_10;Now you are a full-fledged diplomat, time to move on! Click next to end this part.;x
tut_4c_10a;Congratulations!;x
tut_4c_11;Marriage Effects;x
tut_4c_12;Here you can see what effects this marriage will have on your prestige. You can also see that she will answer yes to your proposal, so just go ahead and send it.;x
tut_5a_1;Military - Basic Level;x
tut_5a_2;This part of the tutorial will teach you how to move your troops around and a little bit about combat. Click the military tab to continue.;x
tut_5a_3;Raising Troops;x
tut_5a_4;This is the military screen. Here you can see how many troops you have, how many you can raise and what they will cost you. ;x
