#CODE;ENGLISH;x

EVTTITLE91241;The Price of Decadence;x

EVTDESC91000;The excesses of the [Root.GetOnlyDynastyName] Dynasty have gone too far. A dynamic warrior clan has taken up arms and is riding to purify the realm of our decadence!;x
EVTDESC91200;Alcoholic beverages are considered haraam in the Islamic faith - forbidden. This, however, has not stopped you from consuming copious amounts of wine and getting plastered on a regular basis.;x
EVTDESC91201;Your attraction to those of your same sex is frowned upon by the rest of society, but there are times when you simply grow tired of keeping up appearances. The people do not look kindly on this.;x
EVTDESC91202;Some visiting imams walk in on you as your servants are busily smearing your body with honey, covering you from top to bottom. For some reason they react in horror at this sight.;x
EVTDESC91203;It is becoming increasingly difficult to conceal your secret vice - impaling your enemies on wooden stakes and listening to their cries of despair. Concerns have been raised about how appropriate this behavior is for someone of your station.;x
EVTDESC91204;Why should you settle for one woman, or two, or a dozen? The carnal pleasures of the flesh beckon, and let no man say you are undeserving!;x
EVTDESC91205;Your enormous appetite cannot be sated. As the poor of your realm starve, your servants bring delicacies from the most distant lands to your table. A 'light lunch' for you would be enough to feed a peasant family for a week or two.;x
EVTDESC91206;You have been doing your best to suck the people of [Root.Location.GetName] dry of what few possessions they have. No matter how much of their wealth is channeled your way, you always want more. The lifestyle you have grown accustomed to is an expensive one indeed.;x
EVTDESC91207;The truly enlightened ruler must conserve all energy for the act of ruling itself. It is for this reason that you have expanded your staff of servants tenfold. Tedious activities such as walking, bringing food to your mouth or the wiping of your regal behind are a thing of the past for you.;x
EVTDESC91208;More and more of your waking hours are being spent comparing your worldly possessions with those of other rulers. For someone of your same station to have a more lavish palace or prettier garments is simply unacceptable.;x
EVTDESC91209;Your foul temper is frequently discussed in hushed voices among your palace staff. Furniture, silverware, mirrors - everything is fair game when your mood turns bad and you feel the need to break or throw something. If your palace was ever looted, would anyone be able to tell the difference?;x
EVTDESC91210;You order the construction of a massive bronze statue over the main entrance of [Root.Location.GetName] depicting yourself holding a raised sword, challenging the very heavens to strike you down if they dare. This generous gift to the people will help them remember your splendor and brilliance.;x
EVTDESC91211;Your deceitfulness and guile sometimes serve you well, but it has also earned you a reputation among your subjects as someone who is not to be trusted. They simply do not see you as a man of honor.;x
EVTDESC91212;While there are some rulers who take an active role in military affairs, the safety of the palace life is far more appealing to you. Why, if you ventured beyond the palace gates, something could hurt you!;x
EVTDESC91213;While there are always those who moan and mutter about the need to continually better oneself and strive for improvement, you are quite content with the way things are now. The land is yours to rule, you have a beautiful palace and the sun still shines warmly.;x
EVTDESC91214;Justice and the rule of law do not interest you, unless they happen to coincide with your own sense of how things should be. Many of your subjects are grumbling about how you seem to hold yourself above the laws they have to observe.;x
EVTDESC91215;Your cynical view of all religious matters has resulted in you only observing those elements of the Muslim faith you find convenient and ignoring the rest. Some of your subjects are muttering about this lack of piousness on your part.;x
EVTDESC91216;You suspect everyone around you of treachery, to the point where your servants and staff are terrified of even breathing in your presence. The size and influence of your palace guard has increased tenfold as everything, good or bad, has to pass through them before reaching you.;x
EVTDESC91217;You take great pleasure in inflicting cruel punishments on your servants and subjects. If there is no reason to punish them, you find it easy enough to invent one.;x
