

EVTDESC106000;A man named Al-Ghazali has returned to [Root.GetName] after seven years of studying fiqh, the expansion of the code of conduct called sharia. His scholarly interest in sufism, kalam, philosophy, logic and Islamic jurisprudence has led him to start writing a book he calls 'The Incoherence of the Philosophers' which will surely be a masterpiece when it is finished.;x
EVTDESC106001;Al-Ghazali, the scholar from [From.GetName], was well-spoken and respectful, with an incredible knowledge of sufism, kalam, philosophy, logic and fiqh. I invited him to stay at my court, to study and share his knowledge with my court.;x
EVTDESC106005;A famous traveller, Muhammad al-Idrisi - a geographer, cartographer and Egyptologist - has arrived to [Root.GetName], a man who can trace his descent through long line of Princes, Caliphs and Sufi leaders, to the Prophet Muhammad. Muhammad al-Idrisi wishes to meet [Root.Holder.TopLiege.GetTitledFirstName].;x
EVTDESC106006;A most fascinating man, that traveller Muhammad al-Idrisi! He is a geographer, cartographer and Egyptologist and his famous map Tabula Rogeriana has I myself many times consulted. Muhammad al-Idrisi asks for permission to stay at my court and work on his book 'Kitab nuzhat al-mushtaq' or 'A Diversion for the Man Longing to Travel to Far-Off Places'...;x
EVTDESC106010;A prominent scholar in [Root.GetName] - Ibn Khaldun - who is currently working on the first book of seven of 'Kitabu l-'ibar wa Diwanu l-Mubtada' wa l-Habar fi tarikhi l-'arab wa l-Barbar wa man 'Asarahum min Ðawi Ash-Sha'n l-Akbar' or 'Book of lessons, Record of Beginnings and Events in the history of the Arabs and Berbers and their Powerful Contemporaries' is looking for a patron and is humbly asking me to present him to [Root.Holder.TopLiege.GetTitledFirstName].;x
EVTDESC106011;Ibn Khaldun from [From.GetName] honored me when he allowed me to thumb through the first few pages of 'Book of lessons, Record of Beginnings and Events in the history of the Arabs and Berbers and their Powerful Contemporaries', a book that would grow into seven books over several years.;x
EVTDESC106015;Zakariya al-Qazwini from [Root.GetName], who has written a cosmography titled 'Athar al-bilad wa-akhbar al-‘ibad' or 'Marvels of Creatures and Strange Things Existing', is currently working on a geographical dictionary and is keen on talking to [Root.Holder.TopLiege.GetTitledFirstName] to ask for [Root.Holder.TopLiege.GetHerHis] patronage.;x
EVTDESC106016;I am more than familiar with Zakariya al-Qazwini from [Root.GetName], his cosmography titled 'Athar al-bilad wa-akhbar al-‘ibad' or 'Marvels of Creatures and Strange Things Existing' has long delighted me and taught me more about the strange animals and creatures in our world. Now he is working on yet another book, this time a geographical dictionary and he has asked me for my patronage.;x
EVTDESC106020;A young scholar and teacher named Al-Juwayni in [Root.GetName], originally from Nishapur, has requested an audience with [Root.Holder.TopLiege.GetTitledFirstName] to ask for permission to teach the Ashari theological perspective to all who wishes to learn more.;x
EVTDESC106021;I have been fascinated with the Ashari theological perspective, especially the notion that complete comprehension of the Unique Nature and Attributes of Allah is beyond the capacity of human reasoning and sense experience. The young scholar Al-Juwayni, a teacher of the Ashari theological perspective has asked my permission to start teaching all who wishes in [From.GetName].;x
EVTDESC106025;In [Root.GetName], a prominent scholar named Kamal al-Din al-Farisi has just published his first book titled 'Asas al-qawa'id fi usul al-fawa'id' or 'The base of the rules in the principles of uses' and he is eager to show it to [Root.Holder.TopLiege.GetTitledFirstName].;x
EVTDESC106026;Five chapters of arithmetic, notarial and sales rules, the areas of surfaces and solids, with the last two essays are on algebra, the book 'Asas al-qawa'id fi usul al-fawa'id' or 'The base of the rules in the principles of uses' written by Kamal al-Din al-Farisi is fascinating if you enjoy arithmetic. The man himself has asked for my patronage.;x
EVTDESC106030;A physician in [Root.GetName], Rashid-al-Din Hamadani, is writing a book he will call 'Jami' al-tawarikh' or 'Compendium of Chronicles', a book that will encompass all the history of the world as it has been when it is finished. The cost of producing this book is too great for a mere physician and so he has come to ask [Root.Holder.TopLiege.GetTitledFirstName] if [Root.Holder.TopLiege.GetSheHe] would be willing to help produce the book.;x
EVTDESC106031;A book on world history and you want me to help produce it? Rashid al-Din Hamadani, though your idea sound reasonable enough, why would you consider me to help you produce 'Jami' al-tawarikh' or 'Compendium of Chronicles'? I am interested though...;x
