cruel_imprisoner_trait_chance_TT;A 25% chance to become §YCruel§!;x
deploy_fleet;An imperial task force prowls the Black Sea for pirates.;x
eunuch_declined;You decline the gift.;x
eunuch_offer;The merchant continues his tales.;x
free_varangians;The Varangians are released and return to their commander.;x
hippodrome_nobet;You wash your hands of chariot racing.;x
hippodrome_refuse;You refuse to take part in this scheme.;x
hippodrome_refuse_second;Anaximandros is thrown into the dungeons and you put this vile scheme behind you for good.;x
hippodrome_riots;The city is beset by rioters and hooligans.;x
hippodrome_tooltip;To the Hippodrome!;x
introduce_eunuch;Your servants leave to fetch the eunuch.;x
liquid_fire_settled;This affair has been settled.;x
no_to_eunuchs;You refuse to deal with this eunuch.;x
not_interested_in_explosion;You forget all about this explosion and drink some more wine.;x
punish_varangians;The responsible Varangians are executed.;x
rome_capital;Rome once more becomes the seat of imperial power.;x
send_in_spies;Your spies are sent to infiltrate the ports.;x
send_merchants_away;You send the merchants away.;x
ship_hoists_sails;Your ship hoists its sails.;x
triumph_held;Your vassals are impressed by this display of Imperial power.;x
tzykanion_accepted;You accept the challenge.;x
tzykanion_declined;You refuse the challenge.;x
mend_the_schism_holder_religion;Holder is §YOrthodox§!, §YPaulician§!, §YMonothelite§! or §YIconoclast§! and NOT a heretic\n;x
