EVTDESC_CM_1;With foreign rulers come foreign influences. The local culture in the county of [Root.GetName] has evolved over time into something new, and the people living there are no longer referred to as Picts.;x
EVTDESC_CM_2;Far from their ancestral Northern lands, the Lombards have over the centuries slowly but steadily adopted more and more Latin and Roman traditions. In the county of [Root.GetName], the people have now gone so far as to start considering themselves properly Italian.;x
EVTDESC_CM_3;The lowlands near the mouth of the Rhine have long been a crossroads where empires and cultures meet. In the county of [Root.GetName] a new identity now seems to be appearing. They are no longer [Root.Culture.GetName], but Dutch.;x
EVTDESC_CM_4;The traditionally Saxon population of the county of [Root.GetName] has with time and under foreign rule become more and more similar to their Germanic cousins.;x
EVTDESC_CM_5;The Franks in the county of [Root.GetName] have now adopted enough of Latin customs that they can no longer be recognized as Germanic. The scholars call them 'French'.;x
EVTDESC_CM_6;Under Latin influence, the Visigothic population in the county of [Root.GetName] have now adopted new speech and new customs, becoming Occitan in culture.;x
EVTDESC_CM_7;The Visigoths in various regions are slowly developing unique local identities with distinctive speech and customs. The latest news is that the county of [Root.GetName] has become Castilian in culture.;x
EVTDESC_CM_8;The Visigoths in various regions are slowly developing unique local identities with distinctive speech and customs. The latest news is that the county of [Root.GetName] has become Catalan in culture.;x
EVTDESC_CM_9;Through foreign trade and Visigothic influence new traditions are evolving among the Suebi. This is highly noticeable in the county of [Root.GetName], which is now Portuguese in culture.;x
EVTDESC_CM_10;The dynamic society in Muslim Spain is giving rise to a new cultural identity. Thus the people in the county of [Root.GetName] are now calling themselves Andalusian.;x
EVTDESC_CM_11;The people in the county of [Root.GetName] have assimilated new customs from afar, blending them with old Slavic traditions. They have also taken to calling themselves 'Rus' or 'Russians'.;x

EVTOPTA_CM_1;They are Scottish now!;x
EVTOPTA_CM_2;New times, new customs.;x
EVTOPTA_CM_3;Dutch people? Interesting.;x
EVTOPTA_CM_4;They are Germans now.;x
EVTOPTA_CM_5;Such are the times.;x
EVTOPTA_CM_6;Occitans, I see...;x
EVTOPTA_CM_7;The times are changing.;x
EVTOPTA_CM_8;The times are changing.;x
EVTOPTA_CM_9;The times are changing.;x
EVTOPTA_CM_10;Something distinct and truly Spanish.;x
EVTOPTA_CM_11;New, but still recognizable.;x
