potion_unforeseen_effects;This might have unforeseen effects...;x
cottage_person_dies;You kill the treacherous vagrant!\n;x
trains_dog;You will spend time outside training your dog.;x
architect_refused;You send the architect away.;x
building_towards_heaven;Building Towards Heaven;x
castle_construction_begins;Construction of a new castle begins.;x
construction_ceases;Construction on the castle ceases.;x
peasant_hanged;The peasant is hanged for his crimes.;x
peasant_imprisoned;The peasant is thrown into the dungeons.;x
peasant_set_free;The peasant is set free.;x
peasant_tortured;The peasant is brought to your torture chamber.;x
tower_start;We will begin with the necessary preparations for the construction.;x
dishonest_duel_tooltip;This is considered dishonest and people might be upset about this act.;x
duel_title;The Duel;x
is_not_ascetic;Is NOT an Ascetic\n;x
studying_strategy_tooltip;[Root.GetTitledName] studies military strategy.;x
tower_stands;Tower stands.;x
tower_topples;Tower topples.;x
stop_seduce_decision_tt;Seduction ends;x
stop_spy_on_decision_tt;Spying ends;x
