attempting_suicide_tooltip;Has not attempted to commit suicide recently.;x
CHESS_BAD_MOVE;you making a bad move.;x
CHESS_BAD_TRICK;of you botching the attempt to cheat.;x
CHESS_GOOD_MOVE;you making a good move.;x
CHESS_GOOD_TRICK;of you cheating successfully.;x
CHESS_GREAT_MOVE;you making a great move.;x
CHESS_NEUTRAL_MOVE;you making a neutral move.;x
chess_score_number;[Root.chess_score.GetValue];x
CHESS_TERRIBLE_MOVE;you making a terrible move.;x
commit_suicide_allow_tooltip;§Y[Root.GetTitledFirstName]§! must have a reason to commit suicide.\n;x
crazymurderdog_court_tooltip;The Court is shocked! ;x
crazymurderdog_tooltip;Their family will be rather upset. ;x
immortal_hunter_tooltip;You are, or you believe yourself to be, a great hunter and trainer of unusual creatures. Creatures which get hungry... ;x
IMMORTAL_RIVAL_COMING_TOOLTIP;How ominous.;x
CHESS_GOOD_MOVE_100;§Y100%§! chance of you making a good move.;x
CHESS_GREAT_MOVE_100;§Y100%§! chance of you making a great move.;x
3_year_physician_cooldown;Can only look for a Physician once every §Y3§! years;x
add_symptom_tooltip;You begin to feel unwell;x
become_bedridden_ill;Becomes bedridden with illness;x
become_mild_ill;Suffers a mild illness;x
become_normal_ill;Suffers a normal illness;x
become_severe_ill;Suffers a severe illness;x
capital_prospers_custom_tooltip;The §YProsperity§! of your capital county (§Y[This.Capital.GetName]§!) increases slightly\n;x
court_physician_tooltip_1;Must not hold a temporary title\n;x
court_physician_tooltip_2;Must be male unless your realm accepts women as equals\n;x
drink_the_concoction_custom_tooltip;You drink the concoction [physician_target.GetFirstName] has brewed;x
educated_court_physician;Is an educated Court Physician\n;x
employ_court_physician_tooltip;Ensure the entire realm knows you are looking for a candidate for the position of Court Physician.\n;x
epidemic_present_tooltip;An Epidemic is Active and Close\n;x
eunuch_gift_tooltip;A eunuch named §Y[eunuch_gift.GetFullName]§! arrives at your court;x
expelling_holy_order_decision_tooltip;Is NOT already considering to expel the Holy Order;x
fertility_treatment_custom_tooltip;[physician_target.GetFirstName] begins looking for ways to increase your fertility;x
gain_tech_custom_tooltip;Gain §G5.00§! random tech points.\n;x
increase_prosperity_custom_tooltip;The §YProsperity§! of §Y[This.GetName]§! increases slightly\n;x
increase_prosperity_event_custom_tooltip;The §YProsperity§! of §Y[prosperity_target.GetName]§! increases!;x
is_at_home_tooltip;Is at Home Court\n;x
join_in_dance;Join the peasant's dance!\n;x
maimed_effect_tooltip;§Y[This.GetBestName]§! will be §YMaimed§!\n;x
make_shieldmaiden_custom_tooltip_2;Must be neither §Y'Shy'§!, §Y'Content'§!, §Y'Slothful'§!, §Y'Envious'§!, nor §Y'Gluttonous'§!\n;x
make_shieldmaiden_custom_tooltip_3;Must NOT have been recently relieved of (or refused to accept) this duty\n;x
make_shieldmaiden_custom_tooltip_4;If [Root.GetTitledFirstName] accepts your offer you will lose §R50§! gold, but gain §G50§! prestige.\n[Root.GetTitledFirstName] will gain §G100§! prestige and the trait §Y'Shieldmaiden'§!.\n;x
mutilate_castrated_tooltip;§Y[From.GetTitledFirstName]§! is castrated.;x
mutilate_disfigured_tooltip;§Y[From.GetTitledFirstName]§! becomes disfigured.;x
mutilate_eye_tooltip;§Y[From.GetTitledFirstName]§! becomes one-eyed.;x
mutilate_hand_tooltip;§Y[From.GetTitledFirstName]§! becomes one-handed.;x
mutilate_leg_tooltip;§Y[From.GetTitledFirstName]§! becomes one-legged.;x
open_the_gates_info_tooltip;§Y[Root.GetBestName]§! opens up the gates and comes out of seclusion but the common people will remember [Root.GetHerHis] neglect for some time.\n;x
physician_learning_custom_tooltip;Join [physician_target.GetFirstName] in [physician_target.GetHerHis] lab for a few days;x
physician_apothecaries_custom_tooltip;Your §YDemesne Counties§! receive a significant §YProsperity§! boost!;x
prepare_worship_ancestors;You begin preparations for the sacrifice.;x
raise_defensive_unit_tooltip;Is the Primary Defender against a Religious Enemy\n;x
realm_prospers_custom_tooltip;All §YRealm Provinces§! receive a significant §YProsperity§! boost!;x
refuse_to_join_in_dance;Get some rest\n;x
seek_treatment_tooltip_1;Must be ill or show a symptom\n;x
seek_treatment_tooltip_2;Has not been treated recently\n;x
seek_treatment_tooltip_3;Does not already have a successful treatment;x
seek_treatment_tooltip_4;Your Court Physician is called\n;x
shut_the_gates_info_tooltip;§Y[Root.GetBestName]§! secludes [Root.GetHerselfHimself] with [Root.GetHerHis] courtiers\n;x
stop_pillaging_custom_tooltip;Has not decided to Stop Pillaging the holding;x
summon_defensive_unit;You summon a band of devout warriors.\n;x
upgrade_hospital;[From.GetTitledName] has suggested that for a small donation to their holy coffers the hospital in [Root.Capital.GetName] could be expanded.;x
worship_cooldown_tooltip;Has not performed a sacrifice to the ancestors in the last 10 years.;x
tooltip_obj_see_the_realm_prosper;Has ruled the realm in peace for §Y5 years§!;x
