#CODE;ENGLISH;x

EVT_MNM_20003_TT;Demonic orgies can be rewarding, but remember that [Root.Religion.GetRandomEvilGodName] is a cruel master...;x
EVT_MNM_20013_TT;Demonic outings can be rewarding, but remember that [Root.Religion.GetRandomEvilGodName] is a cruel master...;x
EVT_MNM_20015_TT;You picked the wrong neighbor, my friends...;x
EVT_MNM_20016_TT;The locals will surely be... upset.;x
EVT_MNM_20017_TT;The locals will surely be... upset.;x
EVT_MNM_20022_TT;That drug can ruin the mind permanently!;x
EVT_MNM_20033_TT;Summoning rituals of this magnitude carry serious risks...;x
EVT_MNM_20044_TT;That is outside my Realm so we can safely stir up some real trouble!;x
EVT_MNM_20046_TT;With baggy clothes and enough grime on the face, one of us can probably manage a passing likeness...;x
EVT_MNM_20047_TT;We shall discredit the local clergy with a party that will live in infamy!;x
EVT_MNM_20062_TT;[This.GetSubjectPronounCap] will think this is an offer of reconciliation, but I'll have [This.GetObjectPronoun] scream for real...;x
EVT_MNM_20064_TT;My treacherous rival is in for a very nasty surprise!;x

EVTDESC_MNM_7001_A;I'm having dinner and plenty of drinks with [satanists_recruiter.GetTitledName] tonight. It's lovely, yet what I am most charmed by is [satanists_recruiter.GetFirstName] [satanists_recruiter.GetHerselfHimself]. Why else would I not immediately stop our conversation, which has slowly begun to touch upon some almost heretical ideas, questioning the salvation of [Root.Religion.GetHighGodName]?;x
EVTDESC_MNM_7001_B;I'm having dinner and plenty of drinks with [satanists_recruiter.GetTitledName] tonight. It's lovely, yet what I am most charmed by is [satanists_recruiter.GetFirstName] [satanists_recruiter.GetHerselfHimself]. Why else would I not immediately stop our conversation, which has slowly begun to touch upon some unsavory and deviant topics about the primal needs of every [Root.GetManWoman]?;x
EVTDESC_MNM_7002_A;Meeting with [satanists_recruit.GetTitledFirstName], I made sure to only cautiously question the absolute power of [satanists_recruit.GetHerHis] almighty [satanists_recruit.Religion.GetHighGodName]... Thankfully, it seems that my carefully chosen words had the desired effect on [satanists_recruit.GetHerHim]. From [satanists_recruit.GetHerHis] glittering eyes I got the distinct impression that [satanists_recruit.GetSheHe] enjoyed the philosophical aspect of our conversion.;x
