#CODE;ENGLISH;x

EVTDESC_MNM_1980;As I expect many members of [Root.Society.GetName] to appear for the Grand Debate, it is of the utmost importance that everything is to be as flawless as possible. In this spirit the preparations are well underway – my staff has seen to the lodgings and the chef has stocked up the larders. All that is left now is to send out the invitations.;x
EVTDESC_MNM_1981;A courier just arrived carrying a letter from [FromFrom.GetSocietyRank] [FromFrom.GetFirstName]. Reading the letter, I see that it is an invitation bidding all members of [FromFrom.Society.GetName] to attend the Grand Debate.;x
EVTDESC_MNM_1983;The guest are arriving in this very moment. It is time for the grand debate to begin and spend the next few days to have each and every one display their knowledge to decide who the best of us is.;x
EVTDESC_MNM_1989;I have been declared the winner of the grand debate! Showing all that no one is as knowledgeable as me, or has the ability to put forth arguments quite like me.;x
EVTDESC_MNM_1990;Many distinguished themselves during the debates. None however, performed as well as [From.GetTitledFirstName], who has been declared the winner of the grand debate!;x
EVTDESC_MNM_1993;After several days of long discussions and much debating, the grand debate is over for now. There might have been a few heated arguments, but I think most attenders would agree that it was a learning experience.;x
EVTDESC_MNM_1994;I may not have won the grand debate itself, but I have had plenty of success nonetheless. The debates allowed me to learn new ways of putting my education to good use and even how to improve upon it!;x
EVTDESC_MNM_1994_HOST;The final guests just left, leaving peace and quiet behind. As I sit here and reflect upon my own contribution to the debate, I realize that I have learned new ways of putting my education to good use.;x
EVTDESC_MNM_1995;The grand debate ends and I was not able to win. I did however, show some skillful debating during a few arguments that got applauded by the others.;x
EVTDESC_MNM_1995_HOST;The final guests just left, leaving peace and quiet behind. As I sit here and reflect upon my own contribution to the debate, I think that I was able to show some skillful debating during a few arguments that got applauded by the others.;x
EVTDESC_MNM_1996;The grand debate ends and although I was unable to win, I learned a few things by observing the other participants.;x
EVTDESC_MNM_1996_HOST;The final guests just left, leaving peace and quiet behind. As I sit here and reflect upon my own contribution to the debate, I did learn a few things by observing the other participants.;x
EVTDESC_MNM_1997;The grand debate ends and I was unable to win. I cannot say that I learned anything during the discussions either. Study and preparation will be key for the next debate.;x
EVTDESC_MNM_1997_HOST;The final guests just left, leaving peace and quiet behind. As I sit here and reflect upon my own contribution to the debate, I realize that I have much to learn. I will have to prepare myself better for the next debate.;x
EVTDESC_MNM_1998;The grand debate ends and I did not achieve anything at all. I got ridiculed for my meager efforts as I was easily outsmarted by my opponents.;x
EVTDESC_MNM_1998_HOST;The final guests just left, leaving peace and quiet behind. As I sit here and reflect upon my own contribution to the debate, I realize that I did not achieve anything. I got ridiculed for my meager efforts as I was easily outsmarted by my opponents.;x
EVTDESC_MNM_5100;Being at the debate is a draining process. I have not had a good night's sleep since I got here. Either I cannot fall asleep due to a searing pain in the back or I get woken up by loud arguments outside about yesterday's debate topics. Days like these I just long for a warm and cozy bed.;x
EVTDESC_MNM_5101;An opportunity has presented itself for me to level the playing field of the debate. [sabotage_target.GetSocietyRank] [sabotage_target.GetFirstName] a great debater under normal circumstances, [sabotage_target.GetSheHe] is very dependent on [sabotage_target.GetHerHis] meticulous notes.;x
