#CODE;ENGLISH;x

EVT_DESC_MNM_4303;My former ward [From.GetTitledFirstName] has finished [From.GetHerHis] education, in our final discussions we talked about following the [GetMOCode] and trying improve one's self in the eyes of [GetMOGod]. I have tried to encourage [From.GetHerHim] to do this for [From.GetHerselfHimself] and [From.GetSheHe] has attempted to take my advice, I wonder if [From.GetSheHe] made any progress.;x
EVT_DESC_MNM_4304;My former tutor [From.GetTitledFirstName] has come to ask me how well my attempts to follow the [From.GetMOCode] and improve myself in the eyes of [From.GetMOGod]. [From.GetSheHeCap] wants to know if I have had any success.;x
EVT_DESC_MNM_4305;[From.GetFirstName] came and told me all about how [From.GetSheHe] has strived to follow [GetMOCode] and become a better [From.GetManWoman]. [From.GetSheHeCap] talks vigorously of all [From.GetHerHis] prayers and time spent [GetMOPenanceMeditation] in [From.GetHerHis] strive to come closer to [GetMOGod]. [From.GetSheHeCap] seems to have had great success!;x
EVT_DESC_MNM_4306;[From.GetFirstName] quickly changes the topic and no matter what I say [From.GetSheHe] refuses to talk about the matter... It seems [From.GetSheHe] has found "better" things to do... I am disappointed at [From.GetHerHis] lack of dedication to [GetMOGod] and [GetMOCode] and I hang my head in shame as I bid [From.GetHerHim] farewell. I failed [From.GetHerHim] as a tutor and must spend time [GetMOPenanceMeditation] to clear my mind.;x
EVT_DESCA_MNM_4301;One day as I am sitting with my [From.GetRootRelation] [From.GetFirstName] I decide that I should show [From.GetHerHim] an excerpt from [GetMOCode] in the hopes of teaching [From.GetHerHim] the way of [GetMOGod]. [From.GetSheHeCap] is very attentive and I am sure [From.GetSheHe] will grow up to join me in the [Root.Society.GetName].;x
EVT_DESCB_MNM_4301;I have decided to take [From.GetFirstName] along with me today as I preach to the people about [GetMOGod] and how they should try to live their lives according to [GetMOCode]. [From.GetFirstName] is attentive throughout and I am sure [From.GetSheHe] has learnt some valuable lessons about [GetMOGod] and the [Root.Society.GetName] today.;x
EVT_DESCC_MNM_4301;I am bringing [From.GetFirstName] to the local [GetMOBuilding] today, there [From.GetSheHe] meets with many of my Brothers and Sisters [GetMOPenanceMeditation] who greet [From.GetHerHim] politely. As we leave the [GetMOBuilding] my [From.GetRootRelation] says "[GetMOFarewell]" to all those [From.GetSheHe] met today. I am very proud of [From.GetHerHis] attitude to the ways of [GetMOSaint].;x

EVT_OPTA_MNM_4301;[From.GetSheHeCap] is an excellent student!;x
EVT_OPTA_MNM_4303;I shall ask [From.GetHerHim] how well it is going.;x
EVT_OPTA_MNM_4304;I will tell [From.GetHerHim] how I have followed the ways of [From.GetMOSaint].;x
EVT_OPTA_MNM_4305;I knew [From.GetSheHe] could do it!;x
EVT_OPTA_MNM_4306;I expected better of [From.GetHerHim];x
EVT_OPTB_MNM_4304;Ha! I found better things to do!;x

EVTDESC_MNM_3262;I have received a letter from my fellow member of [This.Society.GetName], [monastic_poet.GetTitledFirstName]: "Dear [Root.GetSisterBrother] [Root.GetFirstName]. Will you, as the [Root.Religion.GetGroupName] scholar you are, please offer me some advice on my poetry? Or, the attempt of it?" Reading through the attached documents, there are multiple verses, all in honor of [monastic_poet.Religion.GetHighGodName].;x
EVTDESC_MNM_3264;I was beginning to think that [monastic_poet.GetTitledFirstName] took offense to my comments, but today I have received a new draft of [monastic_poet.GetHerHis] work – I am surprised to find that [monastic_poet.GetHerHis] words really speak to me. Scribbled in the margin I can just make out: "I implore you, [Root.GetSisterBrother], bear with me. It is not finished".;x
EVTDESC_MNM_3266_A;"I cannot believe that you went against my wishes", [monastic_poet.GetTitledName] writes to me. "The poems were far from finished, and now I receive word that my metaphors could use work? I have been humiliated!" I put the letter away, frowning.;x
EVTDESC_MNM_3266_B;"I cannot believe that you went against my wishes", [monastic_poet.GetTitledName] writes to me. "The poems were far from finished, and now people are saying that perhaps I do not understand the comforting aspects of [monastic_poet.Religion.GetHighGodName]? I have been humiliated!" I put the letter away, frowning.;x
EVTDESC_MNM_3267;"I am flattered that you think [This.Society.GetName] could benefit from my work", [monastic_poet.GetTitledName] writes in [monastic_poet.GetHerHis] letter. "Thank you for your support, [Root.GetSisterBrother]" [monastic_poet.GetSheHe] continues, before assuring me of the finishing touches [monastic_poet.GetSheHe] intends to see to before the final version of the manuscript will enter the library.;x
