#CODE;ENGLISH;x
accuse_rival_tooltip;Take this opportunity to get back at your rival and accuse [rival_target.GetHerHim] of apostasy. §Y[rival_target.GetBestName]§! might not be guilty - but your liege will be none the wiser either way...;x
apostate_found_tooltip;You bring §Y[accused_apostate.GetBestName]§! to the court of §Y[Root.Liege.GetTitle] [Root.Liege.GetFirstName]§!, [Root.Liege.GetSheHe] will decide the fate of the apostate!;x
assassins_recruit_block_tooltip;Has not been approached by the Assassins previously.;x
destroy_all_ingredients_tt;All §YIngredients§! are destroyed and will be removed from the Treasury.\n;x
destroy_selected_ingredient_1_and_2_tt;§Y[selected_ingredient_1.GetIngredientShortName]§! and §Y[selected_ingredient_2.GetIngredientShortName]§! will be removed from the Treasury.\n;x
destroy_selected_ingredient_1_plus_random_other_ingredient_tt;§Y[selected_ingredient_1.GetIngredientShortName]§! and one random ingredient will be removed from the Treasury.\n;x
destroy_selected_ingredient_1_tt;§Y[selected_ingredient_1.GetIngredientShortName]§! will be removed from the Treasury.\n;x
destroy_selected_ingredient_2_tt;§Y[selected_ingredient_2.GetIngredientShortName]§! will be removed from the Treasury.\n;x
ingredient_option_available_tt;This option is available to you because you have an §YIngredient§! in your Treasury.;x
ingredients_are_sent_tt;Some §YIngredients§! will be removed from the Treasury and sent to §Y[From.GetTitledFirstName]§!, in preparation for the ritual.\nThere is a chance this will enhance your experience.\n;x
multiple_ingredient_option_available_tt;This option is available to you because you have multiple §YIngredients§! in your Treasury.;x
must_have_ingredients_tt;Has at least two §YIngredients§!;x
must_not_already_be_preparing_potion_tt;NOT already preparing a potion;x
random_ingredients_are_destroyed_tt;Some §YIngredients§! are destroyed and will be removed from the Treasury.\n;x
religion_openly_aztec_or_reformed_tooltip;Publicly follows the §Y[aztec_pagan_reformed.GetName]§! religion;x
religion_openly_baltic_or_reformed_tooltip;Publicly follows the §Y[baltic_pagan_reformed.GetName]§! religion;x
religion_openly_finnish_or_reformed_tooltip;Publicly follows the §Y[finnish_pagan_reformed.GetName]§! religion;x
religion_openly_norse_or_reformed_tooltip;Publicly follows the §Y[norse_pagan_reformed.GetName]§! religion;x
religion_openly_slavic_or_reformed_tooltip;Publicly follows the §Y[slavic_pagan_reformed.GetName]§! religion;x
religion_openly_tengri_or_reformed_tooltip;Publicly follows the §Y[tengri_pagan_reformed.GetName]§! religion;x
religion_openly_west_african_or_reformed_tooltip;Publicly follows the §Y[west_african_pagan_reformed.GetName]§! religion;x
religion_openly_zun_or_reformed_tooltip;Publicly follows the §Y[zun_pagan_reformed.GetName]§! religion;x
religion_openly_bon_or_reformed_tooltip;Publicly follows the §Y[bon_pagan_reformed.GetName]§! religion;x
religion_openly_hellenic_or_reformed_tooltip;Publicly follows the §Y[hellenic_pagan_reformed.GetName]§! religion;x
spiritual_guidance_tooltip;Has a sin that §Y[From.GetTitledFirstName]§! does NOT have;x
teach_virtue_tooltip;Does NOT have all the virtues that §Y[From.GetTitledFirstName]§! has;x
they_accept_your_offer_TT;them accepting your offer, leaving you alone for now\n;x
they_drag_you_off_to_burn;them laughing at your offer, before dragging you off to be burnt at the stake\n;x
they_escape_TT;them being defeated, leaving you alone for now\n;x
they_impale_you;the woman rolling her eyes at you, before killing you\n;x
they_saw_you_in_half;the demon hunter ignoring your offer, before killing you slowly\n;x
you_are_killed_in_personal_combat_TT;you getting killed in personal combat\n;x
you_are_seriously_injured_TT;you getting badly injured\n;x
accessible_lab_tooltip;The plans for your laboratory will only be dictated by what is most efficient but your secrets will not be as well guarded.;x
accomodate_gossipers_tooltip;[Root.GetFullName] will make changes to [Root.GetHerHis] laboratory to placate the frightened locals rather than to increase efficiency.;x
acquire_ingredients_decision_apprentice_requirement;Has a vassal with the apprentice minor title;x
acquire_ingredients_decision_cooldown_timer_tt;Has NOT recently ventured to acquired ingredients;x
acquire_ingredients_decision_too_many_ingredients;Does NOT have a full stockpile of ingredients;x
