#CODE;ENGLISH;x

EVT_DESC_JD_60312;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe heavenly [offmap_china.Ruler.GetLongChineseEmperorName], is most sorry to hear about the death of [FromFrom.GetTitledName], your [FromFrom.GetChineseCharacterRole], and offers you [offmap_china.Ruler.GetHerHis] most sincere condolences.;x
EVT_DESC_JD_60314;The [offmap_china.Governor.GetTitle] of the [offmap_china.Ruler.GetChineseComplimentAdjective] [offmap_china.Ruler.GetTitle] addresses a letter to the [Root.GetTitle] of the [Root.PrimaryTitle.GetFullName].\n\nYou squander the gifts of the heavenly [offmap_china.Ruler.GetLongChineseEmperorName]. We know that the death of [FromFrom.GetChineseCharacterRole] [FromFrom.GetTitledName] was by your hands. Do not think that the [offmap_china.Ruler.GetTitle] will look lightly upon this.;x

EVT_OPTA_JD_60312;[From.GetSheHeCap] will be missed.;x

EVT_OPTA_60306;I shall not press the matter...;x
EVT_OPTA_60307;That sounds like a reasonable request.;x

EVT_OPTB_60306;Then war it must be!;x
EVT_OPTB_60307;I was a fool to think this was possible!;x
EVT_OPTC_60307;These demands are absolutely unacceptable! The Silk Road will be taken by force!;x

EVTDESC_JD_3001;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe heavenly [offmap_china.Ruler.GetLongChineseEmperorName], has graciously fulfilled your wish. War Engineer [chinese_siege_engineer_1.GetDynName] along with two of [chinese_siege_engineer_1.GetHerHis] apprentices, [chinese_siege_engineer_2.GetDynName] and [chinese_siege_engineer_3.GetDynName], have been dispatched to your court.;x
EVTDESC_JD_3011;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe heavenly [offmap_china.Ruler.GetLongChineseEmperorName], has graciously received your relief expedition and put their supplies to good use. The generosity of the [Root.GetOnlyDynastyName] dynasty will not be forgotten.;x
EVTDESC_JD_3021;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe heavenly [offmap_china.Ruler.GetLongChineseEmperorName], agrees with your wise judgement that [chinese_invasion_target.GetFullName] threatens to destabilize the world. The forces of the [offmap_china.GetFullName] are already marching out of the Middle Kingdom.;x
EVTDESC_JD_3022_A;Following the wicked lies of [chinese_invasion_instigator.GetBestName], the [offmap_china.GetName] has declared war upon us with the intent of shattering our glorious realm! [offmap_china.Ruler.Culture.GetName] armies are already marching towards [chinese_invasion_target.PrimaryTitle.GetName], we must prepare for a long and bloody struggle.;x
EVTDESC_JD_3022_B;Following the sage advice of [chinese_invasion_instigator.GetBestName], the [offmap_china.GetName] has declared war upon [chinese_invasion_target.GetFullName] with the intent of shattering the [chinese_invasion_target.PrimaryTitle.GetAdjective] [chinese_invasion_target.PrimaryTitle.GetTier]! [offmap_china.Ruler.Culture.GetName] armies are already marching towards [chinese_invasion_target.PrimaryTitle.GetName], and it seems possible that this spells the end for [chinese_invasion_target.GetTitledFirstName]'s great realm.;x
EVTDESC_JD_3031;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe heavenly [offmap_china.Ruler.GetLongChineseEmperorName], has graciously fulfilled your wish. A wondrous artifact of expert [offmap_china.Ruler.Culture.GetName] craftsmanship will be bestowed upon you for safekeeping.;x
EVTDESC_JD_3041;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe heavenly [offmap_china.Ruler.GetLongChineseEmperorName], has graciously accepted your offer of supplying [offmap_china.Ruler.GetHerHis] army with magnificent steeds.;x
EVTDESC_JD_3051;The [offmap_china.Governor.GetTitle] of the [offmap_china.Ruler.GetChineseComplimentAdjective] [offmap_china.Ruler.GetTitle] addresses a letter to the marauding [Root.GetTitle] of the [Root.PrimaryTitle.GetFullName]. May your realm crumble under your incompetent rule.\n\nDo be warned that angering the heavenly [offmap_china.Ruler.GetLongChineseEmperorName] is most unwise, do not act suprised when our forces come to put an end to your misguided raids.;x
EVTDESC_JD_10050;The heavenly [offmap_china.Ruler.GetLongChineseEmperorName], has graciously accepted your gift. [person_sent_as_tribute.GetImpressionOfTribute]. \n\nThe generosity of the [Root.GetOnlyDynastyName] dynasty will not be forgotten.;x
EVTDESC_JD_20022;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe heavenly [offmap_china.Ruler.GetLongChineseEmperorName], has generously decided to send you a skilled physician from [offmap_china.Ruler.GetHerHis] court. [chinese_doctor.GetDynName] will serve you well.;x
EVTDESC_JD_20024;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe heavenly [offmap_china.Ruler.GetLongChineseEmperorName], has graciously accepted your gift. The generosity of the [Root.GetOnlyDynastyName] dynasty will not be forgotten.;x
EVTDESC_JD_20026;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe heavenly [offmap_china.Ruler.GetLongChineseEmperorName], has decided that there shall be no war and strife between our two nations. [offmap_china.Ruler.GetHerHisCap] infinite mercy and wisdom is an inspiration to us all.;x
EVTDESC_JD_20028;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe heavenly [offmap_china.Ruler.GetLongChineseEmperorName], sends [offmap_china.Ruler.GetHerHisCap] sincerest regards and accepts your pledge of allegiance. May the bond between our two nations last for all time.;x
EVTDESC_JD_20030;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe heavenly [offmap_china.Ruler.GetLongChineseEmperorName], has generously granted your request. The sage scholar-bureaucrat [chinese_administrator.GetDynName] will join your court. [chinese_administrator.GetHerHisCap] administrative skills will serve you well.;x
EVTDESC_JD_20032;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe heavenly [offmap_china.Ruler.GetLongChineseEmperorName], has generously granted your request. The master engineer [chinese_master_engineer.GetDynName] will enlighten your nation.;x
EVTDESC_JD_20034;A paper mill has been built in §Y[jd_build_province.GetName]§! by Master Engineer §Y[From.GetDynName]§!.;x
EVTDESC_JD_20035;A fireworks guild has been built in §Y[jd_build_province.GetName]§! by Master Engineer §Y[From.GetDynName]§!.;x
EVTDESC_JD_20036;A dry dock has been built in §Y[jd_build_province.GetName]§! by Master Engineer §Y[From.GetDynName]§!.;x
EVTDESC_JD_20037;An administrative outpost has been built in §Y[jd_build_province.GetName]§! by Master Engineer §Y[From.GetDynName]§!.;x
EVTDESC_JD_20038;A blast furnace has been built in §Y[jd_build_province.GetName]§! by Master Engineer §Y[From.GetDynName]§!.;x
EVTDESC_JD_20040;[Root.GetGovernorLetterGreeting]. [Root.GetChineseLetterBlessing].\n\nThe heavenly [offmap_china.Ruler.GetLongChineseEmperorName], has graciously fulfilled your wish. The skills of [chinese_strategist.GetDynName] will be at your disposal, in the war room as well as on the field of battle.;x
