EVTDESC_HF_2;My giant body has given me troubles since I was born, and now I have grown to the point where I can barely walk without assistance. I am lucky to still have the strength to lift my own head...;x
EVTDESC_HF_3;Since I was a mere child my body has been growing and growing, and with its growth I have constantly trained it. I now stand an imposing figure, not only tall like a mountain - but also with muscles like a [Root.GetRegionalFerociousAnimal]!;x
EVTDESC_HF_4;As I get older and older my body will just not stop its incessant growth! My skin is getting thicker, my voice is becoming deeper, my limbs hurt and I have a headache that just will not go away. While my immense stature is more imposing than ever, I feel my spirit slowly leaving my body...;x

EVTOPTA_HF_2;No - from now on I will work out every day!;x
EVTOPTA_HF_3;How is the weather down there?;x
EVTOPTA_HF_4;How long am I for this world?;x

EVTOPTB_HF_2;Why is [Root.Religion.GetRandomEvilGodName] playing this cruel trick on me?;x

EVTDESC_HFP_30000;[concerned_relative.GetFirstName] grabbed the bottle out of my hand as I reached for more wine and hurled it against the wall. "You're killing yourself!", [concerned_relative.GetSheHe] shouted, tears in [concerned_relative.GetHerHis] eyes. "Stop drinking, for your family's sake.";x
EVTDESC_HFP_30002;[concerned_relative.GetFirstName] passed away recently and though [concerned_relative.GetSheHe] is not around to make sure I don't drink anymore, maybe I should stop to respect [concerned_relative.GetHerHis] memory.;x
EVTDESC_HFP_30003;After hardly touching a drop of alcohol for weeks, [concerned_relative.GetFirstName] pointed out how much healthier I appear these days. "You look so much better". ;x
EVTDESC_HFP_30004;I woke up today craving a drink more than anything. I feel absolutely terrible, but I won't give up. [concerned_relative.GetFirstName] would never forgive me.;x
EVTDESC_HFP_30005;I tried to stop I really did, but I found a bottle that had been left out one night and drunk it all down. No one would have known if the servant hadn't told [concerned_relative.GetFirstName]. ;x
EVTDESC_HFP_30010;Due to my massive size I am constantly hitting my head on every door I go through, much to the amusement of anyone passing by.;x
EVTDESC_HFP_30020;"I know you've been feeling down recently" my court physician [physician.GetFirstName] said to me, "Try drinking this it could help, though there are some risks involved". The grey concontion smells vaguely of ash, not the most appealing prospect.;x
EVTDESC_HFP_30100;The heavens briefly lit up and the ground shook as the rock from the sky crashed into the castle gardens. I sent my men to investigate and they came back with a lump of a curious metal we have not seen before.;x
EVTDESC_HFP_30102;It has been a few weeks since the great rock from the sky landed in my gardens, and the weapon that I ordered forged from the metal is complete. I look upon the sword with wonder – all the way from the heavens and now in my hand!;x

