#CODE;ENGLISH;x
a_commander_joins_your_court_tt;A commander named §Y[invited_character.GetBestName]§! joins your court, ready for service.;x
accept_baptism_request;[Root.GetTitledName] will sign a Non-Aggression Pact with [From.GetTitledName] and assist [From.GetHerHim] in converting [From.PrimaryTitle.GetName]'s population.;x
active_reconquista_condition_TT;No active Reconquests in the Iberian Peninsula;x
add_allies_reconquista_TT;Add promised allies to the §YReconquest War§!;x
adopt_culture_and_religion_tt;Adopt the §Y[Root.Capital.Culture.GetName]§! culture and §Y[Root.Capital.Religion.GetName]§! faith.;x
adopt_culture_tt;Adopt the §Y[Root.Capital.Culture.GetName]§! culture.;x
adopt_religion_tt;Adopt the §Y[Root.Capital.Religion.GetName]§! faith.;x
africa_surplus_grain_tt;All of your direct demesne provinces with §Y'Light Rain'§! or §Y'Heavy Rain'§! will be more likely to withstand drought related hardships in the future.;x
african_sympathy_abrahamic;One of your neighbors or lieges must follow a §YChristian§!, §YIslamic§! or §YJudaic§! religion;x
already_attempted_recruitment_tt;Has NOT recently been asked to join [From.Society.GetName]\n;x
alternate_crusade_artifact_distribution_effect_TT;Receive an §YArtifact§! from §Y[From.GetTitledFirstName]§!;x
always_approve_custom_tooltip;I will always approve this type of war!;x
any_child_gets_angry_tt;Your other children might not approve of this...\n;x
army_of_destiny_tt;An army with which to claim your destiny assembles!;x
artifact_is_removed_tt;§Y[equipped_artifact.GetName]§! will be removed from your Treasury.\n;x
assassins_raise_troops_cooldown_TT;Recently raised an Assassin army - cannot raise more troops until §Y[Root.assassins_raise_troops_cooldown.GetExpiryDate]§!;x
available_because_benevolent_tt;This option is available because you are §Y[Root.GetBenevolentTrait]§!;x
available_because_better;This option is available because you are §Y[From.GetFirstName]§!'s better;x
available_because_books_tt;This option is available because you have §Y[book_target.GetName]§! in your §YTreasury§!;x
available_because_duels;[Root.GetDuelOptionAvailable];x
available_because_duels_bad;[Root.GetDaringDuelOptionAvailable];x
available_because_dumb;This option is available because you are dumb;x
available_because_dynasty_member_tt;This option is available to you because you are of the same §YDynasty§! as §Y[other_combatant.GetTitledFirstName]§!;x
available_because_good_hunter;This option is available because of your §YHunting§! skills.;x
available_because_loves_family;This option is available because you love your §YFamily§!;x
available_because_malevolent_tt;This option is available because you are §Y[Root.GetMalevolentTrait]§!;x
available_because_pretty;This option is available because you are §YAttractive§!;x
available_because_relative;This option is available because §Y[From.GetFirstName]§! is your §Y[GetFromRelation]§!;x
available_because_religious_doctrine;This option is available because of your religious §YDoctrine§!;x
available_because_rivals_tt;This option is available because your rival is at risk.;x
available_because_same_society;This option is available to you because you are also a member of §Y[Root.Society.GetName]§!;x
available_due_to_smart;This option is available because you either have the §YGenius§!, §YQuick§!, or §YShrewd§! trait;x
available_due_to_warrior_lodge;This option is available because you are a member of §Y[Root.Society.GetName]§!.;x
bacchants_recruit_block_tooltip;Has not been approached by the Bacchants before.;x
baptism_new_missionaries_tooltip;Missionaries from §Y[From.PrimaryTitle.GetName]§! will be dispatched to one of your pagan provinces in order to convert it to the new faith.\nNote that their actions might upset the peasantry.;x
baptism_request_cooldown;Has recently asked for a mass conversion;x
baptism_sponsor_ally;§Y[Root.GetTitledFirstName]§! is your §YAlly§!;x
baptism_sponsor_distance;Distance from §Y[Root.GetTitledFirstName]'s§! realm;x
baptism_sponsor_emperor;§Y[Root.GetTitledFirstName]§! is an §YEmperor§!;x
baptism_sponsor_enemy;§Y[Root.GetTitledFirstName]§! is your §YEnemy§!;x
baptism_sponsor_fylkir;§Y[Root.GetTitledFirstName]§! is the §YReligious Head§! of the §Y[Root.Religion.GetName]§! faith;x
baptism_sponsor_opinion;§Y[Root.GetTitledFirstName]'s§! Opinion of §Y[From.GetTitledFirstName]§!;x
baptism_sponsor_pagan;§Y[Root.GetTitledFirstName]§! is a §YReformed Pagan§!;x
baptism_sponsor_patriarch;§Y[Root.GetTitledFirstName]§! rules over the §Y[Root.Religion.GetName]§! religious head;x
baptism_sponsor_power;Relative power of §Y[Root.GetTitledFirstName]'s§! realm;x
baptism_sponsor_proselytizer;§Y[Root.GetTitledFirstName]§! belongs to a proselytizing religion;x
baptism_sponsor_relative;§Y[Root.GetTitledFirstName]§! is your §YRelative§!;x
baptism_sponsor_size;Relative size of §Y[Root.GetTitledFirstName]'s§! realm;x
baptism_sponsor_suzerain;§Y[Root.GetTitledFirstName]§! is your §YSuzerain§!;x
baptism_sponsor_sympathetic;§Y[Root.GetTitledFirstName]§! is sympathetic towards §YPagans§!;x
baptism_sponsor_tributary;§Y[Root.GetTitledFirstName]§! is a tributary of §Y[From.GetTitledFirstName]§!;x
baptism_sponsor_wealth;§Y[Root.GetTitledFirstName]§! is wealthy;x
bastard_eunuch_celibate_or_incapable_tt;Has the trait §YBastard§!, §YEunuch§!, §YCelibate§! or §YIncapable§!;x
because_bloodline_tt;This option is available because of your §YBloodline§!;x
begin_coronation_tooltip;Start preparing for your Coronation Ceremony.;x
bektashi_loan_money_TT;§Y[d_bektashi.Holder.GetTitledName]§! has §G25§! or higher opinion of §Y[Root.GetTitledName]§!;x
